Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
120;1;1;0.0058479532;0.0058479532
121;0;1;0;0.0058479532
122;0;1;0;0.0058479532
123;0;1;0;0.0058479532
124;1;2;0.0058479532;0.0116959064
125;0;2;0;0.0116959064
126;0;2;0;0.0116959064
127;0;2;0;0.0116959064
128;1;3;0.0058479532;0.0175438596
129;0;3;0;0.0175438596
130;3;6;0.0175438596;0.0350877193
131;0;6;0;0.0350877193
132;0;6;0;0.0350877193
133;0;6;0;0.0350877193
134;0;6;0;0.0350877193
135;6;12;0.0350877193;0.0701754386
136;0;12;0;0.0701754386
137;0;12;0;0.0701754386
138;0;12;0;0.0701754386
139;0;12;0;0.0701754386
140;0;12;0;0.0701754386
141;1;13;0.0058479532;0.0760233918
142;0;13;0;0.0760233918
143;0;13;0;0.0760233918
144;0;13;0;0.0760233918
145;0;13;0;0.0760233918
146;0;13;0;0.0760233918
147;0;13;0;0.0760233918
148;0;13;0;0.0760233918
149;0;13;0;0.0760233918
150;15;28;0.0877192982;0.1637426901
151;0;28;0;0.1637426901
152;0;28;0;0.1637426901
153;0;28;0;0.1637426901
154;0;28;0;0.1637426901
155;2;30;0.0116959064;0.1754385965
156;0;30;0;0.1754385965
157;0;30;0;0.1754385965
158;0;30;0;0.1754385965
159;0;30;0;0.1754385965
160;3;33;0.0175438596;0.1929824561
161;0;33;0;0.1929824561
162;1;34;0.0058479532;0.1988304094
163;0;34;0;0.1988304094
164;0;34;0;0.1988304094
165;2;36;0.0116959064;0.2105263158
166;1;37;0.0058479532;0.216374269
167;1;38;0.0058479532;0.2222222222
168;2;40;0.0116959064;0.2339181287
169;1;41;0.0058479532;0.2397660819
170;1;42;0.0058479532;0.2456140351
171;0;42;0;0.2456140351
172;0;42;0;0.2456140351
173;0;42;0;0.2456140351
174;0;42;0;0.2456140351
175;6;48;0.0350877193;0.2807017544
176;0;48;0;0.2807017544
177;0;48;0;0.2807017544
178;0;48;0;0.2807017544
179;0;48;0;0.2807017544
180;8;56;0.0467836257;0.3274853801
181;0;56;0;0.3274853801
182;1;57;0.0058479532;0.3333333333
183;0;57;0;0.3333333333
184;0;57;0;0.3333333333
185;0;57;0;0.3333333333
186;0;57;0;0.3333333333
187;0;57;0;0.3333333333
188;1;58;0.0058479532;0.3391812865
189;0;58;0;0.3391812865
190;1;59;0.0058479532;0.3450292398
191;0;59;0;0.3450292398
192;0;59;0;0.3450292398
193;1;60;0.0058479532;0.350877193
194;0;60;0;0.350877193
195;12;72;0.0701754386;0.4210526316
196;1;73;0.0058479532;0.4269005848
197;0;73;0;0.4269005848
198;0;73;0;0.4269005848
199;0;73;0;0.4269005848
200;7;80;0.0409356725;0.4678362573
201;1;81;0.0058479532;0.4736842105
202;0;81;0;0.4736842105
203;0;81;0;0.4736842105
204;0;81;0;0.4736842105
205;0;81;0;0.4736842105
206;0;81;0;0.4736842105
207;0;81;0;0.4736842105
208;1;82;0.0058479532;0.4795321637
209;0;82;0;0.4795321637
210;11;93;0.0643274854;0.5438596491
211;0;93;0;0.5438596491
212;2;95;0.0116959064;0.5555555556
213;0;95;0;0.5555555556
214;0;95;0;0.5555555556
215;7;102;0.0409356725;0.5964912281
216;0;102;0;0.5964912281
217;1;103;0.0058479532;0.6023391813
218;1;104;0.0058479532;0.6081871345
219;0;104;0;0.6081871345
220;10;114;0.0584795322;0.6666666667
221;0;114;0;0.6666666667
222;0;114;0;0.6666666667
223;0;114;0;0.6666666667
224;2;116;0.0116959064;0.6783625731
225;35;151;0.2046783626;0.8830409357
226;0;151;0;0.8830409357
227;0;151;0;0.8830409357
228;0;151;0;0.8830409357
229;0;151;0;0.8830409357
230;10;161;0.0584795322;0.9415204678
231;0;161;0;0.9415204678
232;1;162;0.0058479532;0.9473684211
233;0;162;0;0.9473684211
234;1;163;0.0058479532;0.9532163743
235;3;166;0.0175438596;0.9707602339
236;0;166;0;0.9707602339
237;2;168;0.0116959064;0.9824561404
238;2;170;0.0116959064;0.9941520468
239;1;171;0.0058479532;1
