Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
240;61;61;0.0138040281;0.0138040281
241;0;61;0;0.0138040281
242;3;64;0.0006788866;0.0144829147
243;3;67;0.0006788866;0.0151618013
244;0;67;0;0.0151618013
245;22;89;0.0049785019;0.0201403032
246;4;93;0.0009051822;0.0210454854
247;0;93;0;0.0210454854
248;2;95;0.0004525911;0.0214980765
249;0;95;0;0.0214980765
250;28;123;0.0063362752;0.0278343517
251;0;123;0;0.0278343517
252;1;124;0.0002262955;0.0280606472
253;1;125;0.0002262955;0.0282869427
254;1;126;0.0002262955;0.0285132383
255;46;172;0.0104095949;0.0389228332
256;1;173;0.0002262955;0.0391491288
257;2;175;0.0004525911;0.0396017198
258;0;175;0;0.0396017198
259;0;175;0;0.0396017198
260;20;195;0.0045259108;0.0441276307
261;0;195;0;0.0441276307
262;0;195;0;0.0441276307
263;1;196;0.0002262955;0.0443539262
264;0;196;0;0.0443539262
265;14;210;0.0031681376;0.0475220638
266;1;211;0.0002262955;0.0477483594
267;1;212;0.0002262955;0.0479746549
268;5;217;0.0011314777;0.0491061326
269;0;217;0;0.0491061326
270;87;304;0.0196877122;0.0687938448
271;0;304;0;0.0687938448
272;2;306;0.0004525911;0.0692464358
273;0;306;0;0.0692464358
274;2;308;0.0004525911;0.0696990269
275;15;323;0.0033944331;0.0730934601
276;0;323;0;0.0730934601
277;1;324;0.0002262955;0.0733197556
278;0;324;0;0.0733197556
279;1;325;0.0002262955;0.0735460511
280;67;392;0.0151618013;0.0887078525
281;2;394;0.0004525911;0.0891604435
282;4;398;0.0009051822;0.0900656257
283;4;402;0.0009051822;0.0909708079
284;4;406;0.0009051822;0.09187599
285;118;524;0.026702874;0.118578864
286;2;526;0.0004525911;0.1190314551
287;9;535;0.0020366599;0.121068115
288;8;543;0.0018103643;0.1228784793
289;1;544;0.0002262955;0.1231047748
290;92;636;0.0208191899;0.1439239647
291;4;640;0.0009051822;0.1448291469
292;5;645;0.0011314777;0.1459606246
293;2;647;0.0004525911;0.1464132157
294;4;651;0.0009051822;0.1473183978
295;62;713;0.0140303236;0.1613487214
296;3;716;0.0006788866;0.1620276081
297;3;719;0.0006788866;0.1627064947
298;7;726;0.0015840688;0.1642905635
299;0;726;0;0.1642905635
300;281;1007;0.0635890473;0.2278796108
301;6;1013;0.0013577733;0.229237384
302;4;1017;0.0009051822;0.2301425662
303;2;1019;0.0004525911;0.2305951573
304;4;1023;0.0009051822;0.2315003394
305;51;1074;0.0115410726;0.2430414121
306;9;1083;0.0020366599;0.245078072
307;12;1095;0.0027155465;0.2477936185
308;15;1110;0.0033944331;0.2511880516
309;2;1112;0.0004525911;0.2516406427
310;151;1263;0.0341706268;0.2858112695
311;2;1265;0.0004525911;0.2862638606
312;14;1279;0.0031681376;0.2894319982
313;6;1285;0.0013577733;0.2907897714
314;12;1297;0.0027155465;0.2935053179
315;230;1527;0.0520479747;0.3455532926
316;16;1543;0.0036207287;0.3491740213
317;13;1556;0.002941842;0.3521158633
318;11;1567;0.002489251;0.3546051143
319;5;1572;0.0011314777;0.355736592
320;197;1769;0.0445802218;0.4003168138
321;19;1788;0.0042996153;0.4046164291
322;11;1799;0.002489251;0.40710568
323;13;1812;0.002941842;0.4100475221
324;14;1826;0.0031681376;0.4132156597
325;124;1950;0.0280606472;0.4412763069
326;16;1966;0.0036207287;0.4448970355
327;12;1978;0.0027155465;0.447612582
328;23;2001;0.0052047975;0.4528173795
329;10;2011;0.0022629554;0.4550803349
330;572;2583;0.12944105;0.5845213849
331;19;2602;0.0042996153;0.5888210002
332;23;2625;0.0052047975;0.5940257977
333;9;2634;0.0020366599;0.5960624576
334;9;2643;0.0020366599;0.5980991174
335;114;2757;0.0257976918;0.6238968092
336;12;2769;0.0027155465;0.6266123557
337;16;2785;0.0036207287;0.6302330844
338;43;2828;0.0097307083;0.6399637927
339;6;2834;0.0013577733;0.641321566
340;306;3140;0.0692464358;0.7105680018
341;19;3159;0.0042996153;0.7148676171
342;22;3181;0.0049785019;0.719846119
343;13;3194;0.002941842;0.7227879611
344;19;3213;0.0042996153;0.7270875764
345;424;3637;0.0959493098;0.8230368862
346;32;3669;0.0072414573;0.8302783435
347;20;3689;0.0045259108;0.8348042544
348;11;3700;0.002489251;0.8372935053
349;7;3707;0.0015840688;0.8388775741
350;380;4087;0.085992306;0.9248698801
351;18;4105;0.0040733198;0.9289431998
352;23;4128;0.0052047975;0.9341479973
353;13;4141;0.002941842;0.9370898393
354;21;4162;0.0047522064;0.9418420457
355;158;4320;0.0357546956;0.9775967413
356;15;4335;0.0033944331;0.9809911745
357;27;4362;0.0061099796;0.9871011541
358;37;4399;0.0083729351;0.9954740892
359;20;4419;0.0045259108;1
