Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
1200;189;189;0.1435079727;0.1435079727
1201;5;194;0.0037965072;0.1473044799
1202;4;198;0.0030372058;0.1503416856
1203;6;204;0.0045558087;0.1548974943
1204;2;206;0.0015186029;0.1564160972
1205;40;246;0.0303720577;0.1867881549
1206;1;247;0.0007593014;0.1875474563
1207;1;248;0.0007593014;0.1883067578
1208;1;249;0.0007593014;0.1890660592
1209;4;253;0.0030372058;0.192103265
1210;54;307;0.0410022779;0.2331055429
1211;0;307;0;0.2331055429
1212;6;313;0.0045558087;0.2376613516
1213;2;315;0.0015186029;0.2391799544
1214;7;322;0.0053151101;0.2444950645
1215;85;407;0.0645406226;0.3090356872
1216;5;412;0.0037965072;0.3128321944
1217;3;415;0.0022779043;0.3151100987
1218;5;420;0.0037965072;0.3189066059
1219;2;422;0.0015186029;0.3204252088
1220;33;455;0.0250569476;0.3454821564
1221;4;459;0.0030372058;0.3485193622
1222;1;460;0.0007593014;0.3492786636
1223;3;463;0.0022779043;0.351556568
1224;0;463;0;0.351556568
1225;27;490;0.020501139;0.3720577069
1226;1;491;0.0007593014;0.3728170084
1227;0;491;0;0.3728170084
1228;2;493;0.0015186029;0.3743356112
1229;1;494;0.0007593014;0.3750949127
1230;98;592;0.0744115414;0.4495064541
1231;0;592;0;0.4495064541
1232;1;593;0.0007593014;0.4502657555
1233;1;594;0.0007593014;0.4510250569
1234;0;594;0;0.4510250569
1235;20;614;0.0151860289;0.4662110858
1236;1;615;0.0007593014;0.4669703872
1237;1;616;0.0007593014;0.4677296887
1238;0;616;0;0.4677296887
1239;0;616;0;0.4677296887
1240;15;631;0.0113895216;0.4791192103
1241;4;635;0.0030372058;0.4821564161
1242;0;635;0;0.4821564161
1243;2;637;0.0015186029;0.483675019
1244;1;638;0.0007593014;0.4844343204
1245;36;674;0.0273348519;0.5117691724
1246;0;674;0;0.5117691724
1247;1;675;0.0007593014;0.5125284738
1248;2;677;0.0015186029;0.5140470767
1249;1;678;0.0007593014;0.5148063781
1250;14;692;0.0106302202;0.5254365983
1251;0;692;0;0.5254365983
1252;2;694;0.0015186029;0.5269552012
1253;0;694;0;0.5269552012
1254;1;695;0.0007593014;0.5277145027
1255;16;711;0.0121488231;0.5398633257
1256;0;711;0;0.5398633257
1257;0;711;0;0.5398633257
1258;2;713;0.0015186029;0.5413819286
1259;0;713;0;0.5413819286
1260;87;800;0.0660592255;0.6074411541
1261;0;800;0;0.6074411541
1262;2;802;0.0015186029;0.608959757
1263;3;805;0.0022779043;0.6112376614
1264;3;808;0.0022779043;0.6135155657
1265;15;823;0.0113895216;0.6249050873
1266;1;824;0.0007593014;0.6256643888
1267;1;825;0.0007593014;0.6264236902
1268;4;829;0.0030372058;0.629460896
1269;2;831;0.0015186029;0.6309794989
1270;14;845;0.0106302202;0.6416097191
1271;0;845;0;0.6416097191
1272;0;845;0;0.6416097191
1273;0;845;0;0.6416097191
1274;1;846;0.0007593014;0.6423690205
1275;31;877;0.0235383447;0.6659073652
1276;0;877;0;0.6659073652
1277;2;879;0.0015186029;0.6674259681
1278;0;879;0;0.6674259681
1279;1;880;0.0007593014;0.6681852696
1280;10;890;0.0075930144;0.675778284
1281;1;891;0.0007593014;0.6765375854
1282;2;893;0.0015186029;0.6780561883
1283;1;894;0.0007593014;0.6788154897
1284;0;894;0;0.6788154897
1285;13;907;0.0098709188;0.6886864085
1286;0;907;0;0.6886864085
1287;1;908;0.0007593014;0.6894457099
1288;2;910;0.0015186029;0.6909643128
1289;0;910;0;0.6909643128
1290;47;957;0.0356871678;0.7266514806
1291;0;957;0;0.7266514806
1292;3;960;0.0022779043;0.728929385
1293;3;963;0.0022779043;0.7312072893
1294;0;963;0;0.7312072893
1295;9;972;0.006833713;0.7380410023
1296;0;972;0;0.7380410023
1297;0;972;0;0.7380410023
1298;1;973;0.0007593014;0.7388003037
1299;0;973;0;0.7388003037
1300;6;979;0.0045558087;0.7433561124
1301;1;980;0.0007593014;0.7441154138
1302;0;980;0;0.7441154138
1303;0;980;0;0.7441154138
1304;0;980;0;0.7441154138
1305;28;1008;0.0212604404;0.7653758542
1306;0;1008;0;0.7653758542
1307;0;1008;0;0.7653758542
1308;4;1012;0.0030372058;0.76841306
1309;1;1013;0.0007593014;0.7691723614
1310;20;1033;0.0151860289;0.7843583903
1311;1;1034;0.0007593014;0.7851176917
1312;0;1034;0;0.7851176917
1313;1;1035;0.0007593014;0.7858769932
