Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;0
0;Grundnutzen;2;2;0.4764111575
0;Grundnutzen;3;3;0.9489906094
0;Grundnutzen;4;4;2.0424983735
0;Grundnutzen;5;5;1.9110715033
0;Grundnutzen;6;6;2.4488977764
0;Grundnutzen;7;7;2.2055368274
0;Grundnutzen;8;8;3.124051124
0;Grundnutzen;9;9;1.6463606028
0;Grundnutzen;10;10;1.0183046553
1;touristhaupttour;1;1;0
1;touristhaupttour;2;2;0.4016143793
1;touristhaupttour;3;3;0.3766603503
1;touristhaupttour;4;4;0.5772329229
1;touristhaupttour;5;5;0.9411484165
1;touristhaupttour;6;6;0.7226232607
1;touristhaupttour;7;7;0.7455549841
1;touristhaupttour;8;8;0.464842344
1;touristhaupttour;9;9;1.1503534928
1;touristhaupttour;10;10;1.4565025012
2;0;1;1;0
2;0;2;2;0
2;0;3;3;0
2;0;4;4;0
2;0;5;5;0
2;0;6;6;0
2;0;7;7;0
2;0;8;8;0
2;0;9;9;0
2;0;10;10;0
3;anztourenamtag;1;1;0
3;anztourenamtag;2;2;-0.129181902
3;anztourenamtag;3;3;-0.140558435
3;anztourenamtag;4;4;-0.303849473
3;anztourenamtag;5;5;-0.359194622
3;anztourenamtag;6;6;-0.50840566
3;anztourenamtag;7;7;-0.565875103
3;anztourenamtag;8;8;-0.929529907
3;anztourenamtag;9;9;-0.839506153
3;anztourenamtag;10;10;-0.75985011
4;0;1;1;0
4;0;2;2;0
4;0;3;3;0
4;0;4;4;0
4;0;5;5;0
4;0;6;6;0
4;0;7;7;0
4;0;8;8;0
4;0;9;9;0
4;0;10;10;0
5;tour2destages;1;1;0
5;tour2destages;2;2;0
5;tour2destages;3;3;0
5;tour2destages;4;4;0
5;tour2destages;5;5;0
5;tour2destages;6;6;0
5;tour2destages;7;7;0
5;tour2destages;8;8;0
5;tour2destages;9;9;0
5;tour2destages;10;10;0
6;tour3destages;1;1;0
6;tour3destages;2;2;0
6;tour3destages;3;3;0
6;tour3destages;4;4;0
6;tour3destages;5;5;0
6;tour3destages;6;6;0
6;tour3destages;7;7;0
6;tour3destages;8;8;0
6;tour3destages;9;9;0
6;tour3destages;10;10;0
7;0;1;1;0
7;0;2;2;0
7;0;3;3;0
7;0;4;4;0
7;0;5;5;0
7;0;6;6;0
7;0;7;7;0
7;0;8;8;0
7;0;9;9;0
7;0;10;10;0
8;0;1;1;0
8;0;2;2;0
8;0;3;3;0
8;0;4;4;0
8;0;5;5;0
8;0;6;6;0
8;0;7;7;0
8;0;8;8;0
8;0;9;9;0
8;0;10;10;0
9;dauer_akt_tag_4bis6std;1;1;0
9;dauer_akt_tag_4bis6std;2;2;0.0124566854
9;dauer_akt_tag_4bis6std;3;3;-0.064373906
9;dauer_akt_tag_4bis6std;4;4;-0.05619714
9;dauer_akt_tag_4bis6std;5;5;-0.428630047
9;dauer_akt_tag_4bis6std;6;6;-0.565931268
9;dauer_akt_tag_4bis6std;7;7;-0.579065867
9;dauer_akt_tag_4bis6std;8;8;-0.921267274
9;dauer_akt_tag_4bis6std;9;9;-0.532397977
9;dauer_akt_tag_4bis6std;10;10;-0.95590848
10;dauer_akt_tag_6bis8std;1;1;0
10;dauer_akt_tag_6bis8std;2;2;0.1083835672
10;dauer_akt_tag_6bis8std;3;3;-0.189611881
10;dauer_akt_tag_6bis8std;4;4;-0.308666451
10;dauer_akt_tag_6bis8std;5;5;-0.346844051
10;dauer_akt_tag_6bis8std;6;6;-1.094986419
10;dauer_akt_tag_6bis8std;7;7;-1.211075704
10;dauer_akt_tag_6bis8std;8;8;-1.7181462
10;dauer_akt_tag_6bis8std;9;9;-1.684082029
10;dauer_akt_tag_6bis8std;10;10;-13.77538889
11;dauer_akt_tag_8bis10std;1;1;0
11;dauer_akt_tag_8bis10std;2;2;-0.085351098
11;dauer_akt_tag_8bis10std;3;3;-0.33922072
11;dauer_akt_tag_8bis10std;4;4;-0.405924647
11;dauer_akt_tag_8bis10std;5;5;-0.861461955
11;dauer_akt_tag_8bis10std;6;6;-1.544831698
11;dauer_akt_tag_8bis10std;7;7;-1.702219194
11;dauer_akt_tag_8bis10std;8;8;-1.537610012
11;dauer_akt_tag_8bis10std;9;9;-13.98323586
11;dauer_akt_tag_8bis10std;10;10;-14.03642581
12;dauer_akt_tag_10bis12std;1;1;0
12;dauer_akt_tag_10bis12std;2;2;-0.461771692
12;dauer_akt_tag_10bis12std;3;3;-0.411181195
12;dauer_akt_tag_10bis12std;4;4;-0.794916831
12;dauer_akt_tag_10bis12std;5;5;-1.205929635
12;dauer_akt_tag_10bis12std;6;6;-2.11621088
12;dauer_akt_tag_10bis12std;7;7;-14.35776398
12;dauer_akt_tag_10bis12std;8;8;-2.238866997
12;dauer_akt_tag_10bis12std;9;9;-14.33630454
12;dauer_akt_tag_10bis12std;10;10;-14.37655172
13;dauer_akt_tag_12bis14std;1;1;0
13;dauer_akt_tag_12bis14std;2;2;0.1509946804
13;dauer_akt_tag_12bis14std;3;3;0.0003532098
13;dauer_akt_tag_12bis14std;4;4;-0.588858412
13;dauer_akt_tag_12bis14std;5;5;-1.954234631
13;dauer_akt_tag_12bis14std;6;6;-0.953219555
13;dauer_akt_tag_12bis14std;7;7;-2.425980241
13;dauer_akt_tag_12bis14std;8;8;-14.35234338
13;dauer_akt_tag_12bis14std;9;9;-14.24208731
13;dauer_akt_tag_12bis14std;10;10;-14.30282549
14;0;2;2;0
14;0;3;3;0
14;0;4;4;0
14;0;5;5;0
14;0;6;6;0
14;0;7;7;0
14;0;8;8;0
14;0;9;9;0
14;0;10;10;0
15;0;2;2;0
15;0;3;3;0
15;0;4;4;0
15;0;5;5;0
15;0;6;6;0
15;0;7;7;0
15;0;8;8;0
15;0;9;9;0
15;0;10;10;0
16;0;2;2;0
16;0;3;3;0
16;0;4;4;0
16;0;5;5;0
16;0;6;6;0
16;0;7;7;0
16;0;8;8;0
16;0;9;9;0
16;0;10;10;0
17;0;2;2;0
17;0;3;3;0
17;0;4;4;0
17;0;5;5;0
17;0;6;6;0
17;0;7;7;0
17;0;8;8;0
17;0;9;9;0
17;0;10;10;0
18;0;2;2;0
18;0;3;3;0
18;0;4;4;0
18;0;5;5;0
18;0;6;6;0
18;0;7;7;0
18;0;8;8;0
18;0;9;9;0
18;0;10;10;0
19;0;2;2;0
19;0;3;3;0
19;0;4;4;0
19;0;5;5;0
19;0;6;6;0
19;0;7;7;0
19;0;8;8;0
19;0;9;9;0
19;0;10;10;0
20;0;2;2;0
20;0;3;3;0
20;0;4;4;0
20;0;5;5;0
20;0;6;6;0
20;0;7;7;0
20;0;8;8;0
20;0;9;9;0
20;0;10;10;0
