Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;0.7713512312
0;Grundnutzen;2;2;1.0050409657
0;Grundnutzen;3;3;1.306810082
0;Grundnutzen;4;4;1.384124718
0;Grundnutzen;5;5;1.2401986429
0;Grundnutzen;6;6;1.0663468101
0;Grundnutzen;7;7;0.9369154047
0;Grundnutzen;8;0;0
1;beruf_erwerbstaetig;1;1;-0.196563045
1;beruf_erwerbstaetig;2;2;-0.028088121
1;beruf_erwerbstaetig;3;3;-0.212025384
1;beruf_erwerbstaetig;4;4;-0.248043089
1;beruf_erwerbstaetig;5;5;-0.308069324
1;beruf_erwerbstaetig;6;6;-0.416506985
1;beruf_erwerbstaetig;7;7;-0.515101985
1;beruf_erwerbstaetig;8;0;0
2;0;1;1;0
2;0;2;2;0
2;0;3;3;0
2;0;4;4;0
2;0;5;5;0
2;0;6;6;0
2;0;7;7;0
2;0;8;0;0
3;0;1;1;0
3;0;2;2;0
3;0;3;3;0
3;0;4;4;0
3;0;5;5;0
3;0;6;6;0
3;0;7;7;0
3;0;8;0;0
4;beruf_schueler;1;1;-0.252457525
4;beruf_schueler;2;2;0.0364394008
4;beruf_schueler;3;3;-0.035194948
4;beruf_schueler;4;4;-0.146624651
4;beruf_schueler;5;5;0.0997097962
4;beruf_schueler;6;6;0.0254131839
4;beruf_schueler;7;7;-0.547821157
4;beruf_schueler;8;0;0
5;0;1;1;0
5;0;2;2;0
5;0;3;3;0
5;0;4;4;0
5;0;5;5;0
5;0;6;6;0
5;0;7;7;0
5;0;8;0;0
6;0;1;1;0
6;0;2;2;0
6;0;3;3;0
6;0;4;4;0
6;0;5;5;0
6;0;6;6;0
6;0;7;7;0
6;0;8;0;0
7;0;1;1;0
7;0;2;2;0
7;0;3;3;0
7;0;4;4;0
7;0;5;5;0
7;0;6;6;0
7;0;7;7;0
7;0;8;0;0
8;0;1;1;0
8;0;2;2;0
8;0;3;3;0
8;0;4;4;0
8;0;5;5;0
8;0;6;6;0
8;0;7;7;0
8;0;8;0;0
9;0;1;1;0
9;0;2;2;0
9;0;3;3;0
9;0;4;4;0
9;0;5;5;0
9;0;6;6;0
9;0;7;7;0
9;0;8;0;0
10;0;1;1;0
10;0;2;2;0
10;0;3;3;0
10;0;4;4;0
10;0;5;5;0
10;0;6;6;0
