Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;-1.217218594
0;Grundnutzen;2;2;-2.178979049
0;Grundnutzen;3;3;-3.0977288
0;Grundnutzen;4;4;-3.757953
0;Grundnutzen;5;5;-3.975643742
0;Grundnutzen;6;6;-5.329731284
0;Grundnutzen;7;7;-6.568391304
0;Grundnutzen;8;0;0
1;beruf_vollzeit;1;1;-0.122910027
1;beruf_vollzeit;2;2;-0.286592792
1;beruf_vollzeit;3;3;-0.466590432
1;beruf_vollzeit;4;4;-0.768594083
1;beruf_vollzeit;5;5;-0.912397322
1;beruf_vollzeit;6;6;-0.660280506
1;beruf_vollzeit;7;7;-1.300642678
1;beruf_vollzeit;8;0;0
2;beruf_teilzeit;1;1;0.2106643827
2;beruf_teilzeit;2;2;0.4389278363
2;beruf_teilzeit;3;3;0.7063845913
2;beruf_teilzeit;4;4;0.7015516677
2;beruf_teilzeit;5;5;0.2977505419
2;beruf_teilzeit;6;6;0.6219432995
2;beruf_teilzeit;7;7;0.2101009727
2;beruf_teilzeit;8;0;0
3;0;1;1;0
3;0;2;2;0
3;0;3;3;0
3;0;4;4;0
3;0;5;5;0
3;0;6;6;0
3;0;7;7;0
3;0;8;0;0
4;0;1;1;0
4;0;2;2;0
4;0;3;3;0
4;0;4;4;0
4;0;5;5;0
4;0;6;6;0
4;0;7;7;0
4;0;8;0;0
5;0;1;1;0
5;0;2;2;0
5;0;3;3;0
5;0;4;4;0
5;0;5;5;0
5;0;6;6;0
5;0;7;7;0
5;0;8;0;0
6;0;1;1;0
6;0;2;2;0
6;0;3;3;0
6;0;4;4;0
6;0;5;5;0
6;0;6;6;0
6;0;7;7;0
6;0;8;0;0
7;alter_10bis17;1;1;-1.252103459
7;alter_10bis17;2;2;-2.061642513
7;alter_10bis17;3;3;-3.08001283
7;alter_10bis17;4;4;-4.239286618
7;alter_10bis17;5;5;-4.622068999
7;alter_10bis17;6;6;-3.978896905
7;alter_10bis17;7;7;-11.44726741
7;alter_10bis17;8;0;0
8;0;1;1;0
8;0;2;2;0
8;0;3;3;0
8;0;4;4;0
8;0;5;5;0
8;0;6;6;0
8;0;7;7;0
8;0;8;0;0
9;alter_26bis35;1;1;-0.020251166
9;alter_26bis35;2;2;-0.052813228
9;alter_26bis35;3;3;0.170725879
9;alter_26bis35;4;4;0.6319275107
9;alter_26bis35;5;5;0.9999362812
9;alter_26bis35;6;6;1.0718910802
9;alter_26bis35;7;7;1.2376892397
9;alter_26bis35;8;0;0
10;alter_36bis50;1;1;0.0687853475
10;alter_36bis50;2;2;0.3667406544
10;alter_36bis50;3;3;0.4436505226
10;alter_36bis50;4;4;0.8018978459
10;alter_36bis50;5;5;1.069768497
10;alter_36bis50;6;6;1.1897943259
10;alter_36bis50;7;7;1.4419533682
10;alter_36bis50;8;0;0
11;0;1;1;0
11;0;2;2;0
11;0;3;3;0
11;0;4;4;0
11;0;5;5;0
11;0;6;6;0
11;0;7;7;0
11;0;8;0;0
12;0;1;1;0
12;0;2;2;0
12;0;3;3;0
12;0;4;4;0
12;0;5;5;0
12;0;6;6;0
12;0;7;7;0
12;0;8;0;0
13;0;1;1;0
13;0;2;2;0
13;0;3;3;0
13;0;4;4;0
13;0;5;5;0
13;0;6;6;0
13;0;7;7;0
13;0;8;0;0
14;Raumtyp_mobitopp_conurbation;1;1;-0.196213046
14;Raumtyp_mobitopp_conurbation;2;2;-0.258238608
14;Raumtyp_mobitopp_conurbation;3;3;-0.321869796
14;Raumtyp_mobitopp_conurbation;4;4;-0.271688689
14;Raumtyp_mobitopp_conurbation;5;5;-0.24232973
14;Raumtyp_mobitopp_conurbation;6;6;-0.31032917
14;Raumtyp_mobitopp_conurbation;7;7;-0.346996671
14;Raumtyp_mobitopp_conurbation;8;0;0
15;0;1;1;0
15;0;2;2;0
15;0;3;3;0
15;0;4;4;0
15;0;5;5;0
15;0;6;6;0
15;0;7;7;0
15;0;8;0;0
16;0;1;1;0
16;0;2;2;0
16;0;3;3;0
16;0;4;4;0
16;0;5;5;0
16;0;6;6;0
16;0;7;7;0
16;0;8;0;0
17;0;1;1;0
17;0;2;2;0
17;0;3;3;0
17;0;4;4;0
17;0;5;5;0
17;0;6;6;0
17;0;7;7;0
17;0;8;0;0
18;anzahlkinder_u18;1;1;0.2412577717
18;anzahlkinder_u18;2;2;0.449352982
18;anzahlkinder_u18;3;3;0.6038571099
18;anzahlkinder_u18;4;4;0.6231748869
18;anzahlkinder_u18;5;5;0.4819986809
18;anzahlkinder_u18;6;6;0.7115607909
18;anzahlkinder_u18;7;7;0.7588005839
18;anzahlkinder_u18;8;0;0
19;haushalthatkinderunter10;1;1;0.2955279289
19;haushalthatkinderunter10;2;2;0.4344844848
19;haushalthatkinderunter10;3;3;0.7027111429
19;haushalthatkinderunter10;4;4;1.4051475138
19;haushalthatkinderunter10;5;5;2.4615027848
19;haushalthatkinderunter10;6;6;1.6529575206
19;haushalthatkinderunter10;7;7;1.0887895892
19;haushalthatkinderunter10;8;0;0
20;male;1;1;0.0740397464
20;male;2;2;0.1215999811
20;male;3;3;0.2154799865
20;male;4;4;-0.066746023
20;male;5;5;-0.628652335
20;male;6;6;-0.542544726
20;male;7;7;-0.55730309
20;male;8;0;0
