Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
900;1;1;0.0008787346;0.0008787346
901;1;2;0.0008787346;0.0017574692
902;0;2;0;0.0017574692
903;0;2;0;0.0017574692
904;0;2;0;0.0017574692
905;1;3;0.0008787346;0.0026362039
906;0;3;0;0.0026362039
907;0;3;0;0.0026362039
908;0;3;0;0.0026362039
909;0;3;0;0.0026362039
910;1;4;0.0008787346;0.0035149385
911;2;6;0.0017574692;0.0052724077
912;0;6;0;0.0052724077
913;0;6;0;0.0052724077
914;0;6;0;0.0052724077
915;0;6;0;0.0052724077
916;1;7;0.0008787346;0.0061511424
917;0;7;0;0.0061511424
918;2;9;0.0017574692;0.0079086116
919;0;9;0;0.0079086116
920;2;11;0.0017574692;0.0096660808
921;0;11;0;0.0096660808
922;0;11;0;0.0096660808
923;0;11;0;0.0096660808
924;0;11;0;0.0096660808
925;0;11;0;0.0096660808
926;0;11;0;0.0096660808
927;0;11;0;0.0096660808
928;0;11;0;0.0096660808
929;0;11;0;0.0096660808
930;1;12;0.0008787346;0.0105448155
931;1;13;0.0008787346;0.0114235501
932;0;13;0;0.0114235501
933;1;14;0.0008787346;0.0123022847
934;0;14;0;0.0123022847
935;1;15;0.0008787346;0.0131810193
936;0;15;0;0.0131810193
937;0;15;0;0.0131810193
938;0;15;0;0.0131810193
939;0;15;0;0.0131810193
940;3;18;0.0026362039;0.0158172232
941;0;18;0;0.0158172232
942;0;18;0;0.0158172232
943;2;20;0.0017574692;0.0175746924
944;0;20;0;0.0175746924
945;3;23;0.0026362039;0.0202108963
946;0;23;0;0.0202108963
947;1;24;0.0008787346;0.0210896309
948;0;24;0;0.0210896309
949;0;24;0;0.0210896309
950;1;25;0.0008787346;0.0219683656
951;0;25;0;0.0219683656
952;0;25;0;0.0219683656
953;0;25;0;0.0219683656
954;2;27;0.0017574692;0.0237258348
955;1;28;0.0008787346;0.0246045694
956;0;28;0;0.0246045694
957;0;28;0;0.0246045694
958;0;28;0;0.0246045694
959;0;28;0;0.0246045694
960;3;31;0.0026362039;0.0272407733
961;1;32;0.0008787346;0.0281195079
962;0;32;0;0.0281195079
963;0;32;0;0.0281195079
964;0;32;0;0.0281195079
965;1;33;0.0008787346;0.0289982425
966;1;34;0.0008787346;0.0298769772
967;0;34;0;0.0298769772
968;1;35;0.0008787346;0.0307557118
969;1;36;0.0008787346;0.0316344464
970;4;40;0.0035149385;0.0351493849
971;0;40;0;0.0351493849
972;0;40;0;0.0351493849
973;0;40;0;0.0351493849
974;1;41;0.0008787346;0.0360281195
975;3;44;0.0026362039;0.0386643234
976;0;44;0;0.0386643234
977;0;44;0;0.0386643234
978;0;44;0;0.0386643234
979;0;44;0;0.0386643234
980;1;45;0.0008787346;0.039543058
981;0;45;0;0.039543058
982;2;47;0.0017574692;0.0413005272
983;0;47;0;0.0413005272
984;0;47;0;0.0413005272
985;1;48;0.0008787346;0.0421792619
986;0;48;0;0.0421792619
987;1;49;0.0008787346;0.0430579965
