Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
60;2229;2229;0.1459533787;0.1459533787
61;69;2298;0.0045180723;0.150471451
62;143;2441;0.0093635411;0.1598349921
63;125;2566;0.0081849136;0.1680199057
64;96;2662;0.0062860136;0.1743059193
65;1053;3715;0.0689497119;0.2432556312
66;93;3808;0.0060895757;0.2493452069
67;134;3942;0.0087742273;0.2581194343
68;129;4071;0.0084468308;0.2665662651
69;83;4154;0.0054347826;0.2720010477
70;1123;5277;0.0735332635;0.3455343112
71;82;5359;0.0053693033;0.3509036145
72;104;5463;0.0068098481;0.3577134625
73;93;5556;0.0060895757;0.3638030382
74;74;5630;0.0048454688;0.3686485071
75;1213;6843;0.0794264013;0.4480749083
76;61;6904;0.0039942378;0.4520691461
77;93;6997;0.0060895757;0.4581587218
78;96;7093;0.0062860136;0.4644447355
79;56;7149;0.0036668413;0.4681115767
80;918;8067;0.0601100052;0.528221582
81;55;8122;0.003601362;0.5318229439
82;87;8209;0.0056966998;0.5375196438
83;79;8288;0.0051728654;0.5426925092
84;44;8332;0.0028810896;0.5455735987
85;685;9017;0.0448533263;0.5904269251
86;53;9070;0.0034704034;0.5938973284
87;71;9141;0.0046490309;0.5985463594
88;88;9229;0.0057621792;0.6043085385
89;62;9291;0.0040597171;0.6083682556
90;1201;10492;0.0786406496;0.6870089052
91;47;10539;0.0030775275;0.6900864327
92;68;10607;0.004452593;0.6945390257
93;77;10684;0.0050419068;0.6995809324
94;48;10732;0.0031430068;0.7027239392
95;605;11337;0.0396149817;0.7423389209
96;47;11384;0.0030775275;0.7454164484
97;71;11455;0.0046490309;0.7500654793
98;76;11531;0.0049764274;0.7550419068
99;50;11581;0.0032739654;0.7583158722
100;753;12334;0.0493059193;0.8076217915
101;44;12378;0.0028810896;0.8105028811
102;81;12459;0.005303824;0.8158067051
103;88;12547;0.0057621792;0.8215688842
104;50;12597;0.0032739654;0.8248428497
105;826;13423;0.0540859089;0.8789287585
106;46;13469;0.0030120482;0.8819408067
107;57;13526;0.0037323206;0.8856731273
108;66;13592;0.0043216344;0.8899947617
109;42;13634;0.002750131;0.8927448926
110;705;14339;0.0461629125;0.9389078051
111;36;14375;0.0023572551;0.9412650602
112;47;14422;0.0030775275;0.9443425877
113;56;14478;0.0036668413;0.948009429
114;40;14518;0.0026191723;0.9506286014
115;540;15058;0.0353588266;0.985987428
116;40;15098;0.0026191723;0.9886066003
117;68;15166;0.004452593;0.9930591933
118;57;15223;0.0037323206;0.9967915139
119;49;15272;0.0032084861;1
