Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;0
0;Grundnutzen;2;2;8.9624610163
0;Grundnutzen;3;3;11.118050484
0;Grundnutzen;4;4;10.364761335
0;Grundnutzen;5;5;12.824085188
0;Grundnutzen;6;6;7.1238373306
0;Grundnutzen;7;7;-7.490737481
0;Grundnutzen;8;8;4.9942199051
0;Grundnutzen;9;9;-7.505208565
0;Grundnutzen;10;10;-7.981397006
0;Grundnutzen;11;11;-8.542223426
1;0;1;1;0
1;0;2;2;0
1;0;3;3;0
1;0;4;4;0
1;0;5;5;0
1;0;6;6;0
1;0;7;7;0
1;0;8;8;0
1;0;9;9;0
1;0;10;10;0
1;0;11;11;0
2;0;1;1;0
2;0;2;2;0
2;0;3;3;0
2;0;4;4;0
2;0;5;5;0
2;0;6;6;0
2;0;7;7;0
2;0;8;8;0
2;0;9;9;0
2;0;10;10;0
2;0;11;11;0
3;beruf_schueler;1;1;0
3;beruf_schueler;2;2;-1.170072073
3;beruf_schueler;3;3;-0.778797295
3;beruf_schueler;4;4;-0.981418045
3;beruf_schueler;5;5;-0.577442748
3;beruf_schueler;6;6;-0.174054503
3;beruf_schueler;7;7;0.0199331536
3;beruf_schueler;8;8;0.4115564763
3;beruf_schueler;9;9;0.2492130039
3;beruf_schueler;10;10;0.5121440767
3;beruf_schueler;11;11;1.2585271707
4;beruf_azubi;1;1;0
4;beruf_azubi;2;2;-0.073825367
4;beruf_azubi;3;3;-1.130358354
4;beruf_azubi;4;4;-1.408140368
4;beruf_azubi;5;5;-1.09328639
4;beruf_azubi;6;6;-1.170438576
4;beruf_azubi;7;7;-0.906846737
4;beruf_azubi;8;8;-0.309402644
4;beruf_azubi;9;9;-0.61355503
4;beruf_azubi;10;10;-0.044007073
4;beruf_azubi;11;11;0.8321879217
5;beruf_rentner;1;1;0
5;beruf_rentner;2;2;0.087000008
5;beruf_rentner;3;3;0.1050408402
5;beruf_rentner;4;4;0.1057836208
5;beruf_rentner;5;5;0.3889179117
5;beruf_rentner;6;6;0.4030980037
5;beruf_rentner;7;7;0.1245893143
5;beruf_rentner;8;8;0.0650859373
5;beruf_rentner;9;9;-0.0285621
5;beruf_rentner;10;10;-0.121471618
5;beruf_rentner;11;11;-0.213754178
6;0;1;1;0
6;0;2;2;0
6;0;3;3;0
6;0;4;4;0
6;0;5;5;0
6;0;6;6;0
6;0;7;7;0
6;0;8;8;0
6;0;9;9;0
6;0;10;10;0
6;0;11;11;0
7;tourtyp_work;1;1;0
7;tourtyp_work;2;2;-1.327657784
7;tourtyp_work;3;3;-0.946163668
7;tourtyp_work;4;4;-0.796776618
7;tourtyp_work;5;5;-0.935677417
7;tourtyp_work;6;6;-1.12125923
7;tourtyp_work;7;7;-1.382031326
7;tourtyp_work;8;8;-1.622162847
7;tourtyp_work;9;9;-2.338289457
7;tourtyp_work;10;10;-1.329127784
7;tourtyp_work;11;11;-2.122181631
8;tourtyp_education;1;1;0
8;tourtyp_education;2;2;4.4362490388
8;tourtyp_education;3;3;5.5081677961
8;tourtyp_education;4;4;4.7595740588
8;tourtyp_education;5;5;4.1829482117
8;tourtyp_education;6;6;3.6373904133
8;tourtyp_education;7;7;3.1019136324
8;tourtyp_education;8;8;2.6955385281
8;tourtyp_education;9;9;2.9310081562
8;tourtyp_education;10;10;2.5469791155
8;tourtyp_education;11;11;0.7233029014
9;tourtyp_shopping;1;1;0
9;tourtyp_shopping;2;2;1.9705952724
9;tourtyp_shopping;3;3;2.5210562218
9;tourtyp_shopping;4;4;2.7438029899
9;tourtyp_shopping;5;5;2.8566880055
9;tourtyp_shopping;6;6;2.9656829805
9;tourtyp_shopping;7;7;2.885356853
9;tourtyp_shopping;8;8;2.3203701803
9;tourtyp_shopping;9;9;2.2953420253
9;tourtyp_shopping;10;10;2.3421560901
9;tourtyp_shopping;11;11;2.238878747
10;tourtyp_transport;1;1;0
10;tourtyp_transport;2;2;-0.322168869
10;tourtyp_transport;3;3;0.5618552903
10;tourtyp_transport;4;4;0.0235772941
10;tourtyp_transport;5;5;-1.145673834
10;tourtyp_transport;6;6;-1.254280673
10;tourtyp_transport;7;7;-0.079947263
10;tourtyp_transport;8;8;-0.462100075
10;tourtyp_transport;9;9;-0.533526562
10;tourtyp_transport;10;10;-0.952404157
10;tourtyp_transport;11;11;-0.387794351
11;tag_sa;1;1;0
11;tag_sa;2;2;-0.930843264
11;tag_sa;3;3;-0.759551791
11;tag_sa;4;4;-0.665716481
11;tag_sa;5;5;-0.43371545
11;tag_sa;6;6;-0.387360167
11;tag_sa;7;7;-0.283835452
11;tag_sa;8;8;-0.382194852
11;tag_sa;9;9;-0.736973331
11;tag_sa;10;10;-0.648519338
11;tag_sa;11;11;-0.341123736
12;tag_so;1;1;0
12;tag_so;2;2;-0.895612036
12;tag_so;3;3;-0.883555575
12;tag_so;4;4;-0.353554049
12;tag_so;5;5;0.1711495315
12;tag_so;6;6;0.2049219171
12;tag_so;7;7;0.0753383802
12;tag_so;8;8;-0.137519149
12;tag_so;9;9;-0.480134534
12;tag_so;10;10;-0.618430429
12;tag_so;11;11;-0.998348127
