Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;0
0;Grundnutzen;2;2;1.4962089154
0;Grundnutzen;3;3;2.8106391478
0;Grundnutzen;4;4;3.0819963876
0;Grundnutzen;5;5;2.1587188772
0;Grundnutzen;6;6;2.0048252959
0;Grundnutzen;7;7;2.0132644101
0;Grundnutzen;8;8;2.0393138602
0;Grundnutzen;9;9;1.6189633579
0;Grundnutzen;10;10;1.8478872005
0;Grundnutzen;11;11;1.4465961375
1;0;1;1;0
1;0;2;2;0
1;0;3;3;0
1;0;4;4;0
1;0;5;5;0
1;0;6;6;0
1;0;7;7;0
1;0;8;8;0
1;0;9;9;0
1;0;10;10;0
1;0;11;11;0
2;0;1;1;0
2;0;2;2;0
2;0;3;3;0
2;0;4;4;0
2;0;5;5;0
2;0;6;6;0
2;0;7;7;0
2;0;8;8;0
2;0;9;9;0
2;0;10;10;0
2;0;11;11;0
3;beruf_schueler;1;1;0
3;beruf_schueler;2;2;0.0354304511
3;beruf_schueler;3;3;0.559525116
3;beruf_schueler;4;4;2.1026493004
3;beruf_schueler;5;5;2.4494582944
3;beruf_schueler;6;6;2.61433818
3;beruf_schueler;7;7;2.5061825208
3;beruf_schueler;8;8;2.2390206086
3;beruf_schueler;9;9;1.7538201593
3;beruf_schueler;10;10;2.3868596626
3;beruf_schueler;11;11;2.2889155714
4;beruf_azubi;1;1;0
4;beruf_azubi;2;2;-1.32781144
4;beruf_azubi;3;3;0.1746213517
4;beruf_azubi;4;4;0.4740743245
4;beruf_azubi;5;5;0.8192234876
4;beruf_azubi;6;6;1.2823425934
4;beruf_azubi;7;7;1.591819765
4;beruf_azubi;8;8;1.6067833214
4;beruf_azubi;9;9;1.6280072812
4;beruf_azubi;10;10;2.352701075
4;beruf_azubi;11;11;2.2961222431
5;beruf_rentner;1;1;0
5;beruf_rentner;2;2;-0.552978175
5;beruf_rentner;3;3;-0.707757375
5;beruf_rentner;4;4;-0.646176495
5;beruf_rentner;5;5;-0.848687405
5;beruf_rentner;6;6;-0.91863378
5;beruf_rentner;7;7;-0.965371655
5;beruf_rentner;8;8;-1.094406146
5;beruf_rentner;9;9;-1.131942619
5;beruf_rentner;10;10;-1.254901735
5;beruf_rentner;11;11;-0.511287915
6;0;1;1;0
6;0;2;2;0
6;0;3;3;0
6;0;4;4;0
6;0;5;5;0
6;0;6;6;0
6;0;7;7;0
6;0;8;8;0
6;0;9;9;0
6;0;10;10;0
6;0;11;11;0
7;tourtyp_work;1;1;0
7;tourtyp_work;2;2;0.1992492344
7;tourtyp_work;3;3;0.3683078131
7;tourtyp_work;4;4;-0.331980481
7;tourtyp_work;5;5;-1.602272551
7;tourtyp_work;6;6;-1.785185644
7;tourtyp_work;7;7;-2.34396292
7;tourtyp_work;8;8;-2.232139937
7;tourtyp_work;9;9;-2.816335949
7;tourtyp_work;10;10;-2.75557533
7;tourtyp_work;11;11;-2.468699507
8;tourtyp_education;1;1;0
8;tourtyp_education;2;2;9.4824766165
8;tourtyp_education;3;3;9.3980748365
8;tourtyp_education;4;4;9.0999749863
8;tourtyp_education;5;5;7.9223124503
8;tourtyp_education;6;6;7.4212147595
8;tourtyp_education;7;7;7.5889054564
8;tourtyp_education;8;8;7.4699830154
8;tourtyp_education;9;9;7.0366014754
8;tourtyp_education;10;10;5.5464514584
8;tourtyp_education;11;11;-2.052916899
9;tourtyp_shopping;1;1;0
9;tourtyp_shopping;2;2;-0.006097855
9;tourtyp_shopping;3;3;-0.618837828
9;tourtyp_shopping;4;4;-1.088201068
9;tourtyp_shopping;5;5;-1.13289453
9;tourtyp_shopping;6;6;-1.277967867
9;tourtyp_shopping;7;7;-1.521601078
9;tourtyp_shopping;8;8;-1.945004798
9;tourtyp_shopping;9;9;-2.643653012
9;tourtyp_shopping;10;10;-3.09298464
9;tourtyp_shopping;11;11;-4.424170082
10;tourtyp_transport;1;1;0
10;tourtyp_transport;2;2;-0.387686482
10;tourtyp_transport;3;3;0.5453040485
10;tourtyp_transport;4;4;0.1258506529
10;tourtyp_transport;5;5;-0.111646527
10;tourtyp_transport;6;6;-0.44024311
10;tourtyp_transport;7;7;-0.52606789
10;tourtyp_transport;8;8;-0.721612087
10;tourtyp_transport;9;9;-0.916431407
10;tourtyp_transport;10;10;-0.455099117
10;tourtyp_transport;11;11;-0.413033655
11;tag_sa;1;1;0
11;tag_sa;2;2;-0.206635014
11;tag_sa;3;3;-0.335700142
11;tag_sa;4;4;-0.516239738
11;tag_sa;5;5;-0.636133789
11;tag_sa;6;6;-0.753910835
11;tag_sa;7;7;-0.65560948
11;tag_sa;8;8;-0.582775301
11;tag_sa;9;9;-0.452454725
11;tag_sa;10;10;-0.006271353
11;tag_sa;11;11;0.3572122921
12;tag_so;1;1;0
12;tag_so;2;2;0.433685546
12;tag_so;3;3;0.5697481053
12;tag_so;4;4;0.6624797622
12;tag_so;5;5;0.4550969089
12;tag_so;6;6;0.4656538399
12;tag_so;7;7;0.3582482532
12;tag_so;8;8;0.2878761938
12;tag_so;9;9;0.0210226151
12;tag_so;10;10;0.4237027346
12;tag_so;11;11;0.6058733606
13;dauer_akt_in_tour_0bis2std;1;1;0
13;dauer_akt_in_tour_0bis2std;2;2;-0.190527731
13;dauer_akt_in_tour_0bis2std;3;3;0.0902191637
13;dauer_akt_in_tour_0bis2std;4;4;1.1706019576
13;dauer_akt_in_tour_0bis2std;5;5;2.0523495661
13;dauer_akt_in_tour_0bis2std;6;6;2.3561581838
13;dauer_akt_in_tour_0bis2std;7;7;2.3537600641
13;dauer_akt_in_tour_0bis2std;8;8;1.8607133937
13;dauer_akt_in_tour_0bis2std;9;9;1.9473793784
13;dauer_akt_in_tour_0bis2std;10;10;1.3514079058
13;dauer_akt_in_tour_0bis2std;11;11;1.1133510907
14;dauer_akt_in_tour_2bis4std;1;1;0
14;dauer_akt_in_tour_2bis4std;2;2;-1.358679844
14;dauer_akt_in_tour_2bis4std;3;3;0.2911337434
14;dauer_akt_in_tour_2bis4std;4;4;1.7055229346
14;dauer_akt_in_tour_2bis4std;5;5;2.3097937119
