Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
1140;926;926;0.2031592804;0.2031592804
1141;16;942;0.0035103115;0.2066695919
1142;16;958;0.0035103115;0.2101799035
1143;15;973;0.0032909171;0.2134708205
1144;14;987;0.0030715226;0.2165423431
1145;150;1137;0.0329091707;0.2494515138
1146;9;1146;0.0019745502;0.2514260641
1147;12;1158;0.0026327337;0.2540587977
1148;19;1177;0.004168495;0.2582272927
1149;4;1181;0.0008775779;0.2591048706
1150;258;1439;0.0566037736;0.3157086441
1151;12;1451;0.0026327337;0.3183413778
1152;24;1475;0.0052654673;0.3236068451
1153;15;1490;0.0032909171;0.3268977622
1154;15;1505;0.0032909171;0.3301886792
1155;377;1882;0.0827117157;0.4129003949
1156;16;1898;0.0035103115;0.4164107065
1157;18;1916;0.0039491005;0.4203598069
1158;12;1928;0.0026327337;0.4229925406
1159;15;1943;0.0032909171;0.4262834577
1160;283;2226;0.0620886354;0.488372093
1161;13;2239;0.0028521281;0.4912242211
1162;9;2248;0.0019745502;0.4931987714
1163;17;2265;0.003729706;0.4969284774
1164;12;2277;0.0026327337;0.4995612111
1165;160;2437;0.0351031154;0.5346643265
1166;12;2449;0.0026327337;0.5372970601
1167;12;2461;0.0026327337;0.5399297938
1168;21;2482;0.0046072839;0.5445370777
1169;7;2489;0.0015357613;0.546072839
1170;652;3141;0.1430451953;0.6891180342
1171;15;3156;0.0032909171;0.6924089513
1172;21;3177;0.0046072839;0.6970162352
1173;13;3190;0.0028521281;0.6998683633
1174;9;3199;0.0019745502;0.7018429136
1175;87;3286;0.019087319;0.7209302326
1176;8;3294;0.0017551558;0.7226853883
1177;15;3309;0.0032909171;0.7259763054
1178;5;3314;0.0010969724;0.7270732778
1179;9;3323;0.0019745502;0.729047828
1180;237;3560;0.0519964897;0.7810443177
1181;7;3567;0.0015357613;0.782580079
1182;16;3583;0.0035103115;0.7860903905
1183;10;3593;0.0021939447;0.7882843352
1184;9;3602;0.0019745502;0.7902588855
1185;390;3992;0.0855638438;0.8758227293
1186;18;4010;0.0039491005;0.8797718297
1187;14;4024;0.0030715226;0.8828433523
1188;15;4039;0.0032909171;0.8861342694
1189;7;4046;0.0015357613;0.8876700307
1190;282;4328;0.0618692409;0.9495392716
1191;6;4334;0.0013163668;0.9508556384
1192;26;4360;0.0057042563;0.9565598947
1193;19;4379;0.004168495;0.9607283896
1194;9;4388;0.0019745502;0.9627029399
1195;132;4520;0.0289600702;0.9916630101
1196;10;4530;0.0021939447;0.9938569548
1197;7;4537;0.0015357613;0.9953927161
1198;16;4553;0.0035103115;0.9989030276
1199;5;4558;0.0010969724;1
