Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;0
0;Grundnutzen;2;2;-0.133653887
0;Grundnutzen;3;3;1.107539971
0;Grundnutzen;4;4;2.5469009242
0;Grundnutzen;5;5;3.8550873017
0;Grundnutzen;6;6;4.6217032974
0;Grundnutzen;7;7;4.4221686632
0;Grundnutzen;8;8;3.9128112757
0;Grundnutzen;9;9;3.3744698647
0;Grundnutzen;10;10;2.5422610062
0;Grundnutzen;11;11;1.0580055123
0;Grundnutzen;12;12;0.2471614246
0;Grundnutzen;13;13;-1.173314694
0;Grundnutzen;14;14;-2.017262227
0;Grundnutzen;15;15;-11.38557911
0;Grundnutzen;16;16;-12.36189721
1;beruf_vollzeit;1;1;0
1;beruf_vollzeit;2;2;-0.508637116
1;beruf_vollzeit;3;3;0.3370141538
1;beruf_vollzeit;4;4;0.1945280207
1;beruf_vollzeit;5;5;-0.135594729
1;beruf_vollzeit;6;6;-0.532011268
1;beruf_vollzeit;7;7;-0.776192439
1;beruf_vollzeit;8;8;-0.689129895
1;beruf_vollzeit;9;9;-0.484130463
1;beruf_vollzeit;10;10;-0.487326766
1;beruf_vollzeit;11;11;-0.45546658
1;beruf_vollzeit;12;12;-0.151652462
1;beruf_vollzeit;13;13;0.0012980934
1;beruf_vollzeit;14;14;0.1364162724
1;beruf_vollzeit;15;15;0.8830376579
1;beruf_vollzeit;16;16;0.2039781706
2;beruf_teilzeit;1;1;0
2;beruf_teilzeit;2;2;0.3488120083
2;beruf_teilzeit;3;3;0.2541691503
2;beruf_teilzeit;4;4;0.2841381164
2;beruf_teilzeit;5;5;0.5127395018
2;beruf_teilzeit;6;6;0.3565900494
2;beruf_teilzeit;7;7;0.1406227946
2;beruf_teilzeit;8;8;0.1774557795
2;beruf_teilzeit;9;9;0.330555458
2;beruf_teilzeit;10;10;0.346109551
2;beruf_teilzeit;11;11;0.4845935036
2;beruf_teilzeit;12;12;0.7181715528
2;beruf_teilzeit;13;13;0.6637358034
2;beruf_teilzeit;14;14;0.8563791982
2;beruf_teilzeit;15;15;1.2153335733
2;beruf_teilzeit;16;16;0.252347725
3;beruf_schueler;1;1;0
3;beruf_schueler;2;2;-0.474587201
3;beruf_schueler;3;3;-1.858023999
3;beruf_schueler;4;4;-0.939091858
3;beruf_schueler;5;5;-0.710808088
3;beruf_schueler;6;6;-1.473849266
3;beruf_schueler;7;7;-1.239968271
3;beruf_schueler;8;8;-0.991048338
3;beruf_schueler;9;9;-0.582736273
3;beruf_schueler;10;10;-0.417583372
3;beruf_schueler;11;11;-0.202429088
3;beruf_schueler;12;12;0.067198418
3;beruf_schueler;13;13;0.1792994689
3;beruf_schueler;14;14;0.4139952295
3;beruf_schueler;15;15;1.323394539
3;beruf_schueler;16;16;0.9094497755
4;beruf_azubi;1;1;0
4;beruf_azubi;2;2;-0.916478983
4;beruf_azubi;3;3;-0.236274959
4;beruf_azubi;4;4;-0.284510781
4;beruf_azubi;5;5;-0.8763098
4;beruf_azubi;6;6;-1.292638301
4;beruf_azubi;7;7;-1.413795524
4;beruf_azubi;8;8;-1.243520908
4;beruf_azubi;9;9;-0.6784739
4;beruf_azubi;10;10;-0.371996549
4;beruf_azubi;11;11;-0.361803985
4;beruf_azubi;12;12;0.2314081618
4;beruf_azubi;13;13;0.0348220435
4;beruf_azubi;14;14;0.6759046487
4;beruf_azubi;15;15;1.1697397902
4;beruf_azubi;16;16;-0.124642359
5;0;1;1;0
5;0;2;2;0
5;0;3;3;0
5;0;4;4;0
5;0;5;5;0
5;0;6;6;0
5;0;7;7;0
5;0;8;8;0
5;0;9;9;0
5;0;10;10;0
5;0;11;11;0
5;0;12;12;0
5;0;13;13;0
5;0;14;14;0
5;0;15;15;0
5;0;16;16;0
6;0;1;1;0
6;0;2;2;0
6;0;3;3;0
6;0;4;4;0
6;0;5;5;0
6;0;6;6;0
6;0;7;7;0
6;0;8;8;0
6;0;9;9;0
6;0;10;10;0
6;0;11;11;0
6;0;12;12;0
6;0;13;13;0
6;0;14;14;0
6;0;15;15;0
6;0;16;16;0
7;tourtyp_work;1;1;0
7;tourtyp_work;2;2;1.6367067846
7;tourtyp_work;3;3;0.5190601287
7;tourtyp_work;4;4;0.202235161
7;tourtyp_work;5;5;0.4169268387
7;tourtyp_work;6;6;-0.25139905
7;tourtyp_work;7;7;-1.089466551
7;tourtyp_work;8;8;-1.596114508
7;tourtyp_work;9;9;-1.350831087
7;tourtyp_work;10;10;-1.902388768
7;tourtyp_work;11;11;-2.976203508
7;tourtyp_work;12;12;-2.522538806
7;tourtyp_work;13;13;-2.827709045
7;tourtyp_work;14;14;-2.788996818
7;tourtyp_work;15;15;-0.134163506
7;tourtyp_work;16;16;-0.966053715
8;tourtyp_education;1;1;0
8;tourtyp_education;2;2;8.261287522
8;tourtyp_education;3;3;7.1522223664
8;tourtyp_education;4;4;8.4350590435
8;tourtyp_education;5;5;8.9851659137
8;tourtyp_education;6;6;7.3938903398
8;tourtyp_education;7;7;6.7033142456
8;tourtyp_education;8;8;6.3984961671
8;tourtyp_education;9;9;5.5945765037
8;tourtyp_education;10;10;4.9731361184
8;tourtyp_education;11;11;4.5461210017
8;tourtyp_education;12;12;4.953560135
8;tourtyp_education;13;13;5.925548436
8;tourtyp_education;14;14;6.1522543279
8;tourtyp_education;15;15;1.4911989564
8;tourtyp_education;16;16;-5.440906622
9;tourtyp_shopping;1;1;0
9;tourtyp_shopping;2;2;0.7627060525
9;tourtyp_shopping;3;3;0.6588682204
9;tourtyp_shopping;4;4;2.0288771917
9;tourtyp_shopping;5;5;2.6061742865
9;tourtyp_shopping;6;6;2.6470637682
9;tourtyp_shopping;7;7;2.7511792508
9;tourtyp_shopping;8;8;2.870101764
9;tourtyp_shopping;9;9;2.6824583382
9;tourtyp_shopping;10;10;1.9530717128
9;tourtyp_shopping;11;11;1.8940440302
9;tourtyp_shopping;12;12;1.9566025784
9;tourtyp_shopping;13;13;1.7132144483
9;tourtyp_shopping;14;14;0.7900814552
9;tourtyp_shopping;15;15;0.0825941307
9;tourtyp_shopping;16;16;-0.976597795
10;tourtyp_transport;1;1;0
10;tourtyp_transport;2;2;-0.623763641
10;tourtyp_transport;3;3;-1.096792878
10;tourtyp_transport;4;4;-0.927706496
10;tourtyp_transport;5;5;-0.357068655
10;tourtyp_transport;6;6;-1.094986014
10;tourtyp_transport;7;7;-2.043741158
10;tourtyp_transport;8;8;-2.268676576
10;tourtyp_transport;9;9;-1.537296373
10;tourtyp_transport;10;10;-1.854457102
10;tourtyp_transport;11;11;-1.623364469
10;tourtyp_transport;12;12;-1.806258154
10;tourtyp_transport;13;13;-1.64446278
10;tourtyp_transport;14;14;-1.790836431
10;tourtyp_transport;15;15;-0.839360083
10;tourtyp_transport;16;16;-0.009576003
11;tag_sa;1;1;0
11;tag_sa;2;2;-0.497370099
11;tag_sa;3;3;-0.976248967
11;tag_sa;4;4;-1.928476609
11;tag_sa;5;5;-1.743863688
11;tag_sa;6;6;-1.255686919
11;tag_sa;7;7;-0.942794106
11;tag_sa;8;8;-0.800085632
11;tag_sa;9;9;-0.689984085
11;tag_sa;10;10;-0.879414716
11;tag_sa;11;11;-1.123739283
11;tag_sa;12;12;-1.294433904
11;tag_sa;13;13;-1.280001674
11;tag_sa;14;14;-1.087102422
11;tag_sa;15;15;-0.585035264
11;tag_sa;16;16;-0.276072531
12;tag_so;1;1;0
12;tag_so;2;2;-0.870520796
12;tag_so;3;3;-1.619797011
12;tag_so;4;4;-2.458663924
12;tag_so;5;5;-2.488712893
12;tag_so;6;6;-1.623973599
12;tag_so;7;7;-1.030691443
12;tag_so;8;8;-0.862538732
12;tag_so;9;9;-0.694269891
12;tag_so;10;10;-0.770894313
12;tag_so;11;11;-0.929606172
12;tag_so;12;12;-1.432043813
12;tag_so;13;13;-1.605795173
12;tag_so;14;14;-2.121290662
12;tag_so;15;15;-1.631183099
12;tag_so;16;16;-1.752615037
13;0;1;1;0
13;0;2;2;0
13;0;3;3;0
13;0;4;4;0
13;0;5;5;0
13;0;6;6;0
13;0;7;7;0
13;0;8;8;0
13;0;9;9;0
13;0;10;10;0
13;0;11;11;0
13;0;12;12;0
13;0;13;13;0
13;0;14;14;0
13;0;15;15;0
13;0;16;16;0
14;0;1;1;0
14;0;2;2;0
14;0;3;3;0
14;0;4;4;0
14;0;5;5;0
14;0;6;6;0
14;0;7;7;0
14;0;8;8;0
14;0;9;9;0
14;0;10;10;0
14;0;11;11;0
14;0;12;12;0
14;0;13;13;0
14;0;14;14;0
14;0;15;15;0
14;0;16;16;0
15;dauer_akt_tag_4bis6std;1;1;0
15;dauer_akt_tag_4bis6std;2;2;-0.218814135
15;dauer_akt_tag_4bis6std;3;3;0.2218086128
15;dauer_akt_tag_4bis6std;4;4;0.7858178269
15;dauer_akt_tag_4bis6std;5;5;1.0270218226
15;dauer_akt_tag_4bis6std;6;6;0.6486382606
15;dauer_akt_tag_4bis6std;7;7;0.6300586863
15;dauer_akt_tag_4bis6std;8;8;0.5214726977
15;dauer_akt_tag_4bis6std;9;9;0.5900216807
15;dauer_akt_tag_4bis6std;10;10;0.1694913639
15;dauer_akt_tag_4bis6std;11;11;-0.258173351
15;dauer_akt_tag_4bis6std;12;12;-0.333742327
15;dauer_akt_tag_4bis6std;13;13;-0.021986572
15;dauer_akt_tag_4bis6std;14;14;-0.329118903
15;dauer_akt_tag_4bis6std;15;15;-0.008945901
15;dauer_akt_tag_4bis6std;16;16;0.2460984726
16;dauer_akt_tag_6bis8std;1;1;0
16;dauer_akt_tag_6bis8std;2;2;0.0332221925
16;dauer_akt_tag_6bis8std;3;3;1.0789007506
16;dauer_akt_tag_6bis8std;4;4;1.531144746
16;dauer_akt_tag_6bis8std;5;5;1.4431206126
16;dauer_akt_tag_6bis8std;6;6;0.9674315826
16;dauer_akt_tag_6bis8std;7;7;0.7631208952
16;dauer_akt_tag_6bis8std;8;8;0.533052191
16;dauer_akt_tag_6bis8std;9;9;0.4404971607
16;dauer_akt_tag_6bis8std;10;10;-0.319177671
16;dauer_akt_tag_6bis8std;11;11;-0.729637885
16;dauer_akt_tag_6bis8std;12;12;-1.206385591
16;dauer_akt_tag_6bis8std;13;13;-1.356321071
16;dauer_akt_tag_6bis8std;14;14;-1.42993671
16;dauer_akt_tag_6bis8std;15;15;-0.839774749
16;dauer_akt_tag_6bis8std;16;16;0.0153114401
17;dauer_akt_tag_8bis10std;1;1;0
17;dauer_akt_tag_8bis10std;2;2;0.2294835121
17;dauer_akt_tag_8bis10std;3;3;1.8664971653
17;dauer_akt_tag_8bis10std;4;4;1.8958128799
17;dauer_akt_tag_8bis10std;5;5;1.6668196658
17;dauer_akt_tag_8bis10std;6;6;1.0651893214
17;dauer_akt_tag_8bis10std;7;7;0.5665535823
17;dauer_akt_tag_8bis10std;8;8;0.093791842
17;dauer_akt_tag_8bis10std;9;9;0.1121575019
17;dauer_akt_tag_8bis10std;10;10;-0.688236825
17;dauer_akt_tag_8bis10std;11;11;-1.356877353
17;dauer_akt_tag_8bis10std;12;12;-1.508385735
17;dauer_akt_tag_8bis10std;13;13;-2.546185645
17;dauer_akt_tag_8bis10std;14;14;-2.133535148
17;dauer_akt_tag_8bis10std;15;15;0.8992049307
17;dauer_akt_tag_8bis10std;16;16;-0.056355576
18;dauer_akt_tag_10bis12std;1;1;0
18;dauer_akt_tag_10bis12std;2;2;0.0628102783
18;dauer_akt_tag_10bis12std;3;3;1.2577297429
18;dauer_akt_tag_10bis12std;4;4;1.2736092297
18;dauer_akt_tag_10bis12std;5;5;0.8320654235
18;dauer_akt_tag_10bis12std;6;6;0.0481268768
18;dauer_akt_tag_10bis12std;7;7;-0.579369782
18;dauer_akt_tag_10bis12std;8;8;-0.977608775
18;dauer_akt_tag_10bis12std;9;9;-1.40729559
18;dauer_akt_tag_10bis12std;10;10;-2.105891287
18;dauer_akt_tag_10bis12std;11;11;-2.294487751
18;dauer_akt_tag_10bis12std;12;12;-2.679824118
18;dauer_akt_tag_10bis12std;13;13;-2.498134143
18;dauer_akt_tag_10bis12std;14;14;-1.710126376
18;dauer_akt_tag_10bis12std;15;15;-1.515685256
18;dauer_akt_tag_10bis12std;16;16;-0.819327318
19;dauer_akt_tag_12bis14std;1;1;0
19;dauer_akt_tag_12bis14std;2;2;0.3127303601
19;dauer_akt_tag_12bis14std;3;3;1.6419330762
19;dauer_akt_tag_12bis14std;4;4;1.4358262079
19;dauer_akt_tag_12bis14std;5;5;0.909450999
19;dauer_akt_tag_12bis14std;6;6;0.2603132646
19;dauer_akt_tag_12bis14std;7;7;-0.499669528
19;dauer_akt_tag_12bis14std;8;8;-1.132620138
19;dauer_akt_tag_12bis14std;9;9;-1.273942585
19;dauer_akt_tag_12bis14std;10;10;-1.904874786
19;dauer_akt_tag_12bis14std;11;11;-1.811970434
19;dauer_akt_tag_12bis14std;12;12;-1.284398326
19;dauer_akt_tag_12bis14std;13;13;-0.980612936
19;dauer_akt_tag_12bis14std;14;14;-1.350720358
19;dauer_akt_tag_12bis14std;15;15;-1.607151598
19;dauer_akt_tag_12bis14std;16;16;-0.518575503
20;0;1;1;0
20;0;2;2;0
20;0;3;3;0
20;0;4;4;0
20;0;5;5;0
20;0;6;6;0
20;0;7;7;0
20;0;8;8;0
20;0;9;9;0
20;0;10;10;0
20;0;11;11;0
20;0;12;12;0
20;0;13;13;0
20;0;14;14;0
20;0;15;15;0
20;0;16;16;0
21;taghat1akt;1;1;0
21;taghat1akt;2;2;0.4698705119
21;taghat1akt;3;3;1.0225446157
21;taghat1akt;4;4;0.1961084268
21;taghat1akt;5;5;-0.083156768
21;taghat1akt;6;6;-0.226137145
21;taghat1akt;7;7;0.0973980337
21;taghat1akt;8;8;0.2552562718
21;taghat1akt;9;9;0.4333135354
21;taghat1akt;10;10;0.9673344216
21;taghat1akt;11;11;1.1438763934
21;taghat1akt;12;12;1.4282533574
