Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
1140;362;362;0.1818181818;0.1818181818
1141;6;368;0.003013561;0.1848317428
1142;10;378;0.0050226017;0.1898543446
1143;6;384;0.003013561;0.1928679056
1144;4;388;0.0020090407;0.1948769463
1145;68;456;0.0341536916;0.2290306379
1146;7;463;0.0035158212;0.2325464591
1147;3;466;0.0015067805;0.2340532396
1148;8;474;0.0040180814;0.2380713209
1149;3;477;0.0015067805;0.2395781015
1150;127;604;0.0637870417;0.3033651431
1151;4;608;0.0020090407;0.3053741838
1152;10;618;0.0050226017;0.3103967855
1153;5;623;0.0025113009;0.3129080864
1154;5;628;0.0025113009;0.3154193872
1155;169;797;0.0848819689;0.4003013561
1156;6;803;0.003013561;0.4033149171
1157;6;809;0.003013561;0.4063284782
1158;9;818;0.0045203415;0.4108488197
1159;4;822;0.0020090407;0.4128578604
1160;135;957;0.0678051231;0.4806629834
1161;6;963;0.003013561;0.4836765445
1162;3;966;0.0015067805;0.485183325
1163;6;972;0.003013561;0.488196886
1164;3;975;0.0015067805;0.4897036665
1165;78;1053;0.0391762933;0.5288799598
1166;3;1056;0.0015067805;0.5303867403
1167;6;1062;0.003013561;0.5334003014
1168;8;1070;0.0040180814;0.5374183827
1169;1;1071;0.0005022602;0.5379206429
1170;283;1354;0.1421396283;0.6800602712
1171;7;1361;0.0035158212;0.6835760924
1172;12;1373;0.006027122;0.6896032145
1173;6;1379;0.003013561;0.6926167755
1174;6;1385;0.003013561;0.6956303365
1175;42;1427;0.0210949272;0.7167252637
1176;2;1429;0.0010045203;0.717729784
1177;7;1436;0.0035158212;0.7212456052
1178;3;1439;0.0015067805;0.7227523857
1179;6;1445;0.003013561;0.7257659468
1180;100;1545;0.0502260171;0.7759919638
1181;5;1550;0.0025113009;0.7785032647
1182;5;1555;0.0025113009;0.7810145655
1183;4;1559;0.0020090407;0.7830236062
1184;3;1562;0.0015067805;0.7845303867
1185;166;1728;0.0833751883;0.8679055751
1186;5;1733;0.0025113009;0.8704168759
1187;13;1746;0.0065293822;0.8769462582
1188;8;1754;0.0040180814;0.8809643395
1189;4;1758;0.0020090407;0.8829733802
1190;126;1884;0.0632847815;0.9462581617
1191;2;1886;0.0010045203;0.9472626821
1192;12;1898;0.006027122;0.9532898041
1193;9;1907;0.0045203415;0.9578101457
1194;6;1913;0.003013561;0.9608237067
1195;59;1972;0.0296333501;0.9904570568
1196;5;1977;0.0025113009;0.9929683576
1197;3;1980;0.0015067805;0.9944751381
1198;9;1989;0.0045203415;0.9989954797
1199;2;1991;0.0010045203;1
