Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
0;3;3;0.0056603774;0.0056603774
1;79;82;0.1490566038;0.1547169811
2;30;112;0.0566037736;0.2113207547
3;20;132;0.0377358491;0.2490566038
4;7;139;0.0132075472;0.2622641509
5;140;279;0.2641509434;0.5264150943
6;12;291;0.0226415094;0.5490566038
7;16;307;0.0301886792;0.579245283
8;20;327;0.0377358491;0.6169811321
9;14;341;0.0264150943;0.6433962264
10;133;474;0.2509433962;0.8943396226
11;8;482;0.0150943396;0.9094339623
12;21;503;0.0396226415;0.9490566038
13;18;521;0.0339622642;0.9830188679
14;9;530;0.0169811321;1
