Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;-3.683697426
0;Grundnutzen;2;2;-5.380780364
0;Grundnutzen;3;3;-7.262921229
0;Grundnutzen;4;4;-7.614712469
0;Grundnutzen;5;5;-6.209485936
0;Grundnutzen;6;6;-19.9765194
0;Grundnutzen;7;7;-8.637458483
0;Grundnutzen;8;0;0
1;beruf_erwerbstaetig;1;1;-0.03090005
1;beruf_erwerbstaetig;2;2;0.6181419941
1;beruf_erwerbstaetig;3;3;0.6162932314
1;beruf_erwerbstaetig;4;4;0.1155581771
1;beruf_erwerbstaetig;5;5;0.7225332474
1;beruf_erwerbstaetig;6;6;6.9806208327
1;beruf_erwerbstaetig;7;7;-8.460967263
1;beruf_erwerbstaetig;8;0;0
2;0;1;1;0
2;0;2;2;0
2;0;3;3;0
2;0;4;4;0
2;0;5;5;0
2;0;6;6;0
2;0;7;7;0
2;0;8;0;0
3;0;1;1;0
3;0;2;2;0
3;0;3;3;0
3;0;4;4;0
3;0;5;5;0
3;0;6;6;0
3;0;7;7;0
3;0;8;0;0
4;beruf_schueler;1;1;1.7796707346
4;beruf_schueler;2;2;3.026506501
4;beruf_schueler;3;3;3.1351653776
4;beruf_schueler;4;4;3.3109436342
4;beruf_schueler;5;5;3.9313596658
4;beruf_schueler;6;6;10.135746881
4;beruf_schueler;7;7;3.0937066303
4;beruf_schueler;8;0;0
5;beruf_azubi;1;1;1.9284436974
5;beruf_azubi;2;2;3.3246239905
5;beruf_azubi;3;3;2.9262841899
5;beruf_azubi;4;4;3.1656610111
5;beruf_azubi;5;5;4.3272357705
5;beruf_azubi;6;6;10.791300985
5;beruf_azubi;7;7;4.4254960238
5;beruf_azubi;8;0;0
6;0;1;1;0
6;0;2;2;0
6;0;3;3;0
6;0;4;4;0
6;0;5;5;0
6;0;6;6;0
6;0;7;7;0
6;0;8;0;0
7;alter_10bis17;1;1;1.1244601628
7;alter_10bis17;2;2;2.3715704498
7;alter_10bis17;3;3;5.0565955985
7;alter_10bis17;4;4;6.5826245897
7;alter_10bis17;5;5;6.3975637691
7;alter_10bis17;6;6;10.121884766
7;alter_10bis17;7;7;3.2337339203
7;alter_10bis17;8;0;0
8;alter_18bis25;1;1;1.081118433
8;alter_18bis25;2;2;1.6515380868
8;alter_18bis25;3;3;3.871081683
8;alter_18bis25;4;4;4.598452609
8;alter_18bis25;5;5;3.7410258465
8;alter_18bis25;6;6;8.2822080189
8;alter_18bis25;7;7;2.3171087255
8;alter_18bis25;8;0;0
9;alter_26bis35;1;1;0.2359502502
9;alter_26bis35;2;2;0.7754079485
9;alter_26bis35;3;3;2.8639057169
9;alter_26bis35;4;4;3.6671285793
9;alter_26bis35;5;5;2.171087029
9;alter_26bis35;6;6;6.8286768501
9;alter_26bis35;7;7;-4.179459155
9;alter_26bis35;8;0;0
10;alter_36bis50;1;1;0.1251912129
10;alter_36bis50;2;2;0.4040274073
10;alter_36bis50;3;3;1.887879763
10;alter_36bis50;4;4;2.5827744952
10;alter_36bis50;5;5;2.058174234
10;alter_36bis50;6;6;6.3301760519
10;alter_36bis50;7;7;-3.54787386
10;alter_36bis50;8;0;0
11;0;1;1;0
11;0;2;2;0
11;0;3;3;0
11;0;4;4;0
11;0;5;5;0
11;0;6;6;0
11;0;7;7;0
11;0;8;0;0
12;0;1;1;0
12;0;2;2;0
12;0;3;3;0
12;0;4;4;0
12;0;5;5;0
12;0;6;6;0
12;0;7;7;0
12;0;8;0;0
13;0;1;1;0
13;0;2;2;0
13;0;3;3;0
13;0;4;4;0
13;0;5;5;0
13;0;6;6;0
13;0;7;7;0
13;0;8;0;0
14;0;1;1;0
14;0;2;2;0
14;0;3;3;0
14;0;4;4;0
14;0;5;5;0
14;0;6;6;0
14;0;7;7;0
14;0;8;0;0
15;0;1;1;0
15;0;2;2;0
15;0;3;3;0
15;0;4;4;0
15;0;5;5;0
15;0;6;6;0
15;0;7;7;0
15;0;8;0;0
16;0;1;1;0
16;0;2;2;0
16;0;3;3;0
16;0;4;4;0
16;0;5;5;0
16;0;6;6;0
16;0;7;7;0
16;0;8;0;0
17;0;1;1;0
17;0;2;2;0
17;0;3;3;0
17;0;4;4;0
17;0;5;5;0
17;0;6;6;0
17;0;7;7;0
17;0;8;0;0
18;0;1;1;0
18;0;2;2;0
18;0;3;3;0
18;0;4;4;0
18;0;5;5;0
18;0;6;6;0
18;0;7;7;0
18;0;8;0;0
19;0;1;1;0
19;0;2;2;0
19;0;3;3;0
19;0;4;4;0
19;0;5;5;0
19;0;6;6;0
19;0;7;7;0
19;0;8;0;0
20;0;1;1;0
20;0;2;2;0
20;0;3;3;0
20;0;4;4;0
20;0;5;5;0
20;0;6;6;0
20;0;7;7;0
20;0;8;0;0
21;anztage_w;1;1;-0.04192098
21;anztage_w;2;2;-0.191329782
21;anztage_w;3;3;-0.382533321
21;anztage_w;4;4;-0.619376555
21;anztage_w;5;5;-0.944351924
21;anztage_w;6;6;-0.817818144
21;anztage_w;7;7;-0.86547809
21;anztage_w;8;0;0
22;0;1;1;0
22;0;2;2;0
22;0;3;3;0
22;0;4;4;0
22;0;5;5;0
22;0;6;6;0
22;0;7;7;0
23;0;1;1;0
23;0;2;2;0
23;0;3;3;0
23;0;4;4;0
23;0;5;5;0
23;0;6;6;0
23;0;7;7;0
24;0;1;1;0
24;0;2;2;0
24;0;3;3;0
24;0;4;4;0
24;0;5;5;0
24;0;6;6;0
24;0;7;7;0
25;0;1;1;0
25;0;2;2;0
25;0;3;3;0
25;0;4;4;0
25;0;5;5;0
25;0;6;6;0
25;0;7;7;0
26;0;1;1;0
26;0;2;2;0
26;0;3;3;0
26;0;4;4;0
26;0;5;5;0
26;0;6;6;0
26;0;7;7;0
27;0;1;1;0
27;0;2;2;0
27;0;3;3;0
27;0;4;4;0
27;0;5;5;0
27;0;6;6;0
27;0;7;7;0
28;0;1;1;0
28;0;2;2;0
28;0;3;3;0
28;0;4;4;0
28;0;5;5;0
28;0;6;6;0
28;0;7;7;0
29;0;1;1;0
29;0;2;2;0
29;0;3;3;0
29;0;4;4;0
29;0;5;5;0
29;0;6;6;0
29;0;7;7;0
30;0;1;1;0
30;0;2;2;0
30;0;3;3;0
30;0;4;4;0
30;0;5;5;0
30;0;6;6;0
30;0;7;7;0
31;0;1;1;0
31;0;2;2;0
31;0;3;3;0
31;0;4;4;0
31;0;5;5;0
31;0;6;6;0
31;0;7;7;0
32;0;1;1;0
32;0;2;2;0
32;0;3;3;0
32;0;4;4;0
32;0;5;5;0
32;0;6;6;0
32;0;7;7;0
33;0;1;1;0
33;0;2;2;0
33;0;3;3;0
33;0;4;4;0
33;0;5;5;0
33;0;6;6;0
33;0;7;7;0
34;0;1;1;0
34;0;2;2;0
34;0;3;3;0
34;0;4;4;0
34;0;5;5;0
34;0;6;6;0
34;0;7;7;0
35;0;1;1;0
35;0;2;2;0
35;0;3;3;0
35;0;4;4;0
35;0;5;5;0
35;0;6;6;0
35;0;7;7;0
36;0;1;1;0
36;0;2;2;0
36;0;3;3;0
36;0;4;4;0
36;0;5;5;0
36;0;6;6;0
36;0;7;7;0
37;0;1;1;0
37;0;2;2;0
37;0;3;3;0
37;0;4;4;0
37;0;5;5;0
37;0;6;6;0
37;0;7;7;0
38;0;1;1;0
38;0;2;2;0
38;0;3;3;0
38;0;4;4;0
38;0;5;5;0
38;0;6;6;0
38;0;7;7;0
39;0;1;1;0
39;0;2;2;0
39;0;3;3;0
39;0;4;4;0
39;0;5;5;0
39;0;6;6;0
39;0;7;7;0
40;0;1;1;0
40;0;2;2;0
40;0;3;3;0
40;0;4;4;0
40;0;5;5;0
40;0;6;6;0
40;0;7;7;0
41;0;1;1;0
41;0;2;2;0
41;0;3;3;0
41;0;4;4;0
41;0;5;5;0
41;0;6;6;0
41;0;7;7;0
42;0;1;1;0
42;0;2;2;0
42;0;3;3;0
42;0;4;4;0
42;0;5;5;0
42;0;6;6;0
42;0;7;7;0
43;0;1;1;0
43;0;2;2;0
43;0;3;3;0
43;0;4;4;0
43;0;5;5;0
43;0;6;6;0
43;0;7;7;0
44;0;1;1;0
44;0;2;2;0
44;0;3;3;0
44;0;4;4;0
44;0;5;5;0
44;0;6;6;0
44;0;7;7;0
45;0;1;1;0
45;0;2;2;0
45;0;3;3;0
45;0;4;4;0
45;0;5;5;0
45;0;6;6;0
45;0;7;7;0
46;0;1;1;0
46;0;2;2;0
46;0;3;3;0
46;0;4;4;0
46;0;5;5;0
46;0;6;6;0
46;0;7;7;0
47;0;1;1;0
