paramname;in;out;alternative;contextIdentifier
beruf_erwerbstaetig;yes;no;no;default
beruf_schueler;yes;no;no;default
beruf_azubi;yes;no;no;default
alter_10bis17;yes;no;no;default
Raumtyp_mobitopp_conurbation;yes;no;no;default
Raumtyp_mobitopp_rural;yes;no;no;default
anztage_w;yes;no;no;person
anztage_e;yes;no;no;person
anztage_l;yes;no;no;person
1;no;yes;yes;person
2;no;yes;yes;person
3;no;yes;yes;person
4;no;yes;yes;person
5;no;yes;yes;person
6;no;yes;yes;person
7;no;yes;yes;person
0;no;yes;yes;person
