Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
180;88;88;0.0274742429;0.0274742429
181;18;106;0.0056197315;0.0330939744
182;11;117;0.0034342804;0.0365282548
183;5;122;0.0015610365;0.0380892913
184;5;127;0.0015610365;0.0396503278
185;47;174;0.0146737434;0.0543240712
186;10;184;0.0031220731;0.0574461442
187;4;188;0.0012488292;0.0586949735
188;7;195;0.0021854511;0.0608804246
189;4;199;0.0012488292;0.0621292538
190;43;242;0.0134249141;0.075554168
191;6;248;0.0018732438;0.0774274118
192;6;254;0.0018732438;0.0793006556
193;9;263;0.0028098658;0.0821105214
194;6;269;0.0018732438;0.0839837652
195;48;317;0.0149859507;0.0989697159
196;9;326;0.0028098658;0.1017795816
197;13;339;0.004058695;0.1058382766
198;7;346;0.0021854511;0.1080237278
199;8;354;0.0024976584;0.1105213862
200;43;397;0.0134249141;0.1239463003
201;6;403;0.0018732438;0.1258195442
202;5;408;0.0015610365;0.1273805807
203;9;417;0.0028098658;0.1301904465
204;3;420;0.0009366219;0.1311270684
205;43;463;0.0134249141;0.1445519825
206;8;471;0.0024976584;0.147049641
207;7;478;0.0021854511;0.1492350921
208;6;484;0.0018732438;0.1511083359
209;6;490;0.0018732438;0.1529815798
210;85;575;0.026537621;0.1795192007
211;6;581;0.0018732438;0.1813924446
212;14;595;0.0043709023;0.1857633469
213;6;601;0.0018732438;0.1876365907
214;5;606;0.0015610365;0.1891976272
215;24;630;0.0074929753;0.1966906026
216;10;640;0.0031220731;0.1998126756
217;9;649;0.0028098658;0.2026225414
218;10;659;0.0031220731;0.2057446144
219;6;665;0.0018732438;0.2076178583
220;48;713;0.0149859507;0.2226038089
221;14;727;0.0043709023;0.2269747112
222;11;738;0.0034342804;0.2304089916
223;7;745;0.0021854511;0.2325944427
224;10;755;0.0031220731;0.2357165158
225;49;804;0.015298158;0.2510146737
226;6;810;0.0018732438;0.2528879176
227;13;823;0.004058695;0.2569466126
228;10;833;0.0031220731;0.2600686856
229;2;835;0.0006244146;0.2606931002
230;55;890;0.0171714018;0.277864502
231;8;898;0.0024976584;0.2803621605
232;7;905;0.0021854511;0.2825476116
233;5;910;0.0015610365;0.2841086481
234;4;914;0.0012488292;0.2853574774
235;62;976;0.019356853;0.3047143303
236;13;989;0.004058695;0.3087730253
237;5;994;0.0015610365;0.3103340618
238;13;1007;0.004058695;0.3143927568
239;8;1015;0.0024976584;0.3168904152
240;69;1084;0.0215423041;0.3384327193
241;18;1102;0.0056197315;0.3440524508
242;7;1109;0.0021854511;0.346237902
243;5;1114;0.0015610365;0.3477989385
244;9;1123;0.0028098658;0.3506088042
245;48;1171;0.0149859507;0.3655947549
246;10;1181;0.0031220731;0.368716828
247;17;1198;0.0053075242;0.3740243522
248;6;1204;0.0018732438;0.375897596
249;11;1215;0.0034342804;0.3793318764
250;66;1281;0.0206056822;0.3999375585
251;9;1290;0.0028098658;0.4027474243
252;12;1302;0.0037464877;0.406493912
253;9;1311;0.0028098658;0.4093037777
254;6;1317;0.0018732438;0.4111770215
255;68;1385;0.0212300968;0.4324071183
256;14;1399;0.0043709023;0.4367780206
257;7;1406;0.0021854511;0.4389634717
258;2;1408;0.0006244146;0.4395878864
259;8;1416;0.0024976584;0.4420855448
260;49;1465;0.015298158;0.4573837028
261;7;1472;0.0021854511;0.4595691539
262;12;1484;0.0037464877;0.4633156416
263;12;1496;0.0037464877;0.4670621293
264;13;1509;0.004058695;0.4711208242
265;32;1541;0.0099906338;0.481111458
266;15;1556;0.0046831096;0.4857945676
267;11;1567;0.0034342804;0.489228848
268;4;1571;0.0012488292;0.4904776772
269;11;1582;0.0034342804;0.4939119575
270;57;1639;0.0177958164;0.511707774
271;16;1655;0.0049953169;0.5167030909
272;9;1664;0.0028098658;0.5195129566
273;9;1673;0.0028098658;0.5223228224
274;8;1681;0.0024976584;0.5248204808
275;50;1731;0.0156103653;0.5404308461
276;13;1744;0.004058695;0.5444895411
277;7;1751;0.0021854511;0.5466749922
278;9;1760;0.0028098658;0.5494848579
279;9;1769;0.0028098658;0.5522947237
280;46;1815;0.0143615361;0.5666562598
281;14;1829;0.0043709023;0.571027162
282;10;1839;0.0031220731;0.5741492351
283;6;1845;0.0018732438;0.5760224789
284;8;1853;0.0024976584;0.5785201374
285;51;1904;0.0159225726;0.59444271
286;15;1919;0.0046831096;0.5991258195
287;9;1928;0.0028098658;0.6019356853
288;11;1939;0.0034342804;0.6053699657
289;8;1947;0.0024976584;0.6078676241
290;57;2004;0.0177958164;0.6256634405
291;5;2009;0.0015610365;0.6272244771
292;18;2027;0.0056197315;0.6328442086
293;9;2036;0.0028098658;0.6356540743
294;8;2044;0.0024976584;0.6381517328
295;56;2100;0.0174836091;0.6556353419
296;13;2113;0.004058695;0.6596940368
297;12;2125;0.0037464877;0.6634405245
298;6;2131;0.0018732438;0.6653137683
299;8;2139;0.0024976584;0.6678114268
300;67;2206;0.0209178895;0.6887293163
301;13;2219;0.004058695;0.6927880112
302;8;2227;0.0024976584;0.6952856697
303;15;2242;0.0046831096;0.6999687793
304;10;2252;0.0031220731;0.7030908523
305;48;2300;0.0149859507;0.718076803
306;8;2308;0.0024976584;0.7205744614
307;10;2318;0.0031220731;0.7236965345
308;9;2327;0.0028098658;0.7265064002
309;6;2333;0.0018732438;0.7283796441
310;35;2368;0.0109272557;0.7393068998
