Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
30;3274;3274;0.2168211921;0.2168211921
31;154;3428;0.0101986755;0.2270198675
32;258;3686;0.0170860927;0.2441059603
33;214;3900;0.0141721854;0.2582781457
34;156;4056;0.0103311258;0.2686092715
35;1682;5738;0.1113907285;0.38
36;130;5868;0.0086092715;0.3886092715
37;210;6078;0.0139072848;0.4025165563
38;217;6295;0.0143708609;0.4168874172
39;124;6419;0.0082119205;0.4250993377
40;1815;8234;0.1201986755;0.5452980132
41;126;8360;0.0083443709;0.5536423841
42;181;8541;0.011986755;0.5656291391
43;175;8716;0.011589404;0.577218543
44;134;8850;0.0088741722;0.5860927152
45;2049;10899;0.1356953642;0.7217880795
46;127;11026;0.008410596;0.7301986755
47;167;11193;0.0110596026;0.7412582781
48;143;11336;0.0094701987;0.7507284768
49;110;11446;0.0072847682;0.758013245
50;1642;13088;0.1087417219;0.8667549669
51;116;13204;0.0076821192;0.8744370861
52;127;13331;0.008410596;0.8828476821
53;133;13464;0.008807947;0.8916556291
54;93;13557;0.0061589404;0.8978145695
55;1083;14640;0.0717218543;0.9695364238
56;99;14739;0.0065562914;0.9760927152
57;149;14888;0.0098675497;0.9859602649
58;131;15019;0.0086754967;0.9946357616
59;81;15100;0.0053642384;1
