Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;0
0;Grundnutzen;2;2;-1.755475086
1;male;1;1;0
1;male;2;2;0.4772035925
2;0;1;1;0
2;0;2;2;0
3;dauer_akt_1bis14;1;1;0
3;dauer_akt_1bis14;2;2;3.1202473523
4;dauer_akt_15bis29;1;1;0
4;dauer_akt_15bis29;2;2;2.9207055031
5;dauer_akt_30bis59;1;1;0
5;dauer_akt_30bis59;2;2;2.9305271665
6;0;1;1;0
6;0;2;2;0
7;dauer_akt_60bis119;1;1;0
7;dauer_akt_60bis119;2;2;2.6393470796
8;0;1;1;0
8;0;2;2;0
9;dauer_akt_120bis179;1;1;0
9;dauer_akt_120bis179;2;2;1.9807012726
10;dauer_akt_180bis239;1;1;0
10;dauer_akt_180bis239;2;2;1.194122961
11;dauer_akt_240bis299;1;1;0
11;dauer_akt_240bis299;2;2;0.5944011795
12;dauer_akt_300bis359;1;1;0
12;dauer_akt_300bis359;2;2;0.5257089749
13;dauer_akt_360bis419;1;1;0
13;dauer_akt_360bis419;2;2;0.6324098036
14;dauer_akt_420bis479;1;1;0
14;dauer_akt_420bis479;2;2;0.6945214344
15;0;1;1;0
15;0;2;2;0
16;0;1;1;0
16;0;2;2;0
17;ersteaktintour;1;1;0
17;ersteaktintour;2;2;-1.108289842
18;0;1;1;0
18;0;2;2;0
19;0;1;1;0
19;0;2;2;0
20;0;1;1;0
20;0;2;2;0
21;tag_sa;1;1;0
21;tag_sa;2;2;0.638992494
22;tag_so;1;1;0
22;tag_so;2;2;0.606966868
23;0;1;1;0
23;0;2;2;0
24;beruf_vollzeit;1;1;0
24;beruf_vollzeit;2;2;-0.613612875
25;beruf_teilzeit;1;1;0
25;beruf_teilzeit;2;2;-1.027276686
26;beruf_azubi;1;1;0
26;beruf_azubi;2;2;-1.381090805
27;0;1;1;0
27;0;2;2;0
28;0;1;1;0
28;0;2;2;0
29;0;1;1;0
29;0;2;2;0
30;0;1;1;0
30;0;2;2;0
31;0;1;1;0
31;0;2;2;0
32;0;1;1;0
32;0;2;2;0
33;0;1;1;0
33;0;2;2;0
34;0;1;1;0
34;0;2;2;0
35;0;1;1;0
35;0;2;2;0
36;0;1;1;0
36;0;2;2;0
37;0;1;1;0
37;0;2;2;0
38;0;1;1;0
38;0;2;2;0
39;0;1;1;0
39;0;2;2;0
40;0;1;1;0
40;0;2;2;0
41;0;1;1;0
41;0;2;2;0
42;0;1;1;0
42;0;2;2;0
43;0;1;1;0
43;0;2;2;0
44;0;1;1;0
44;0;2;2;0
45;0;1;1;0
45;0;2;2;0
46;0;1;1;0
46;0;2;2;0
47;0;1;1;0
47;0;2;2;0
48;0;1;1;0
48;0;2;2;0
49;0;1;1;0
49;0;2;2;0
50;0;1;1;0
50;0;2;2;0
