Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;0
0;Grundnutzen;2;2;-0.787325564
0;Grundnutzen;3;3;-1.384369497
0;Grundnutzen;4;4;-2.900750709
0;Grundnutzen;5;5;-3.710827036
0;Grundnutzen;6;6;-5.106797508
0;Grundnutzen;7;7;-6.245711682
0;Grundnutzen;8;8;-7.582657568
0;Grundnutzen;9;9;-9.473046327
0;Grundnutzen;10;10;-10.99728141
0;Grundnutzen;11;11;-16.78100183
1;beruf_vollzeit;1;1;0
1;beruf_vollzeit;2;2;-0.414184168
1;beruf_vollzeit;3;3;-0.393954638
1;beruf_vollzeit;4;4;-0.366092437
1;beruf_vollzeit;5;5;-0.565311248
1;beruf_vollzeit;6;6;-0.470861277
1;beruf_vollzeit;7;7;-0.402408988
1;beruf_vollzeit;8;8;-0.267621571
1;beruf_vollzeit;9;9;-0.21760856
1;beruf_vollzeit;10;10;-0.047438934
1;beruf_vollzeit;11;11;0.6225502458
2;beruf_teilzeit;1;1;0
2;beruf_teilzeit;2;2;-0.240266953
2;beruf_teilzeit;3;3;-0.190816246
2;beruf_teilzeit;4;4;-0.256249591
2;beruf_teilzeit;5;5;-0.022613527
2;beruf_teilzeit;6;6;0.0701941952
2;beruf_teilzeit;7;7;0.0085423514
2;beruf_teilzeit;8;8;0.0502320724
2;beruf_teilzeit;9;9;0.0947253102
2;beruf_teilzeit;10;10;0.3357701144
2;beruf_teilzeit;11;11;0.4227738704
3;beruf_schueler;1;1;0
3;beruf_schueler;2;2;0.6270705735
3;beruf_schueler;3;3;1.2664066529
3;beruf_schueler;4;4;1.2964713841
3;beruf_schueler;5;5;1.5960236026
3;beruf_schueler;6;6;1.7847413096
3;beruf_schueler;7;7;1.8709717006
3;beruf_schueler;8;8;1.8015522969
3;beruf_schueler;9;9;1.7688280361
3;beruf_schueler;10;10;1.6399927642
3;beruf_schueler;11;11;2.7698014418
4;beruf_azubi;1;1;0
4;beruf_azubi;2;2;-0.001833131
4;beruf_azubi;3;3;0.2333952516
4;beruf_azubi;4;4;0.2225460555
4;beruf_azubi;5;5;0.1934082545
4;beruf_azubi;6;6;0.316845608
4;beruf_azubi;7;7;0.5544301025
4;beruf_azubi;8;8;0.7937954391
4;beruf_azubi;9;9;0.9333031053
4;beruf_azubi;10;10;1.1664613471
4;beruf_azubi;11;11;2.3770505191
5;0;1;1;0
5;0;2;2;0
5;0;3;3;0
5;0;4;4;0
5;0;5;5;0
5;0;6;6;0
5;0;7;7;0
5;0;8;8;0
5;0;9;9;0
5;0;10;10;0
5;0;11;11;0
6;0;1;1;0
6;0;2;2;0
6;0;3;3;0
6;0;4;4;0
6;0;5;5;0
6;0;6;6;0
6;0;7;7;0
6;0;8;8;0
6;0;9;9;0
6;0;10;10;0
6;0;11;11;0
7;tourtyp_work;1;1;0
7;tourtyp_work;2;2;-1.080928152
7;tourtyp_work;3;3;-0.880539967
7;tourtyp_work;4;4;-0.95420195
7;tourtyp_work;5;5;-1.61041772
7;tourtyp_work;6;6;-2.069070653
7;tourtyp_work;7;7;-2.071926192
7;tourtyp_work;8;8;-2.379199788
7;tourtyp_work;9;9;-2.613118364
7;tourtyp_work;10;10;-3.054031012
7;tourtyp_work;11;11;-1.871627241
8;tourtyp_education;1;1;0
8;tourtyp_education;2;2;-1.355671207
8;tourtyp_education;3;3;-1.304676223
8;tourtyp_education;4;4;-1.277737052
8;tourtyp_education;5;5;-2.465177034
8;tourtyp_education;6;6;-3.024604175
8;tourtyp_education;7;7;-3.399465828
