Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
840;1396;1396;0.2160990712;0.2160990712
841;18;1414;0.0027863777;0.2188854489
842;35;1449;0.0054179567;0.2243034056
843;20;1469;0.0030959752;0.2273993808
844;17;1486;0.0026315789;0.2300309598
845;195;1681;0.0301857585;0.2602167183
846;13;1694;0.0020123839;0.2622291022
847;23;1717;0.0035603715;0.2657894737
848;21;1738;0.003250774;0.2690402477
849;13;1751;0.0020123839;0.2710526316
850;361;2112;0.0558823529;0.3269349845
851;21;2133;0.003250774;0.3301857585
852;44;2177;0.0068111455;0.336996904
853;14;2191;0.0021671827;0.3391640867
854;14;2205;0.0021671827;0.3413312693
855;468;2673;0.0724458204;0.4137770898
856;20;2693;0.0030959752;0.416873065
857;22;2715;0.0034055728;0.4202786378
858;19;2734;0.0029411765;0.4232198142
859;7;2741;0.0010835913;0.4243034056
860;267;3008;0.0413312693;0.4656346749
861;16;3024;0.0024767802;0.4681114551
862;15;3039;0.0023219814;0.4704334365
863;23;3062;0.0035603715;0.473993808
864;9;3071;0.0013931889;0.4753869969
865;164;3235;0.0253869969;0.5007739938
866;9;3244;0.0013931889;0.5021671827
867;13;3257;0.0020123839;0.5041795666
868;29;3286;0.0044891641;0.5086687307
869;6;3292;0.0009287926;0.5095975232
870;1161;4453;0.1797213622;0.6893188854
871;15;4468;0.0023219814;0.6916408669
872;23;4491;0.0035603715;0.6952012384
873;16;4507;0.0024767802;0.6976780186
874;20;4527;0.0030959752;0.7007739938
875;170;4697;0.0263157895;0.7270897833
876;28;4725;0.0043343653;0.7314241486
877;27;4752;0.0041795666;0.7356037152
878;23;4775;0.0035603715;0.7391640867
879;12;4787;0.0018575851;0.7410216718
880;273;5060;0.0422600619;0.7832817337
881;9;5069;0.0013931889;0.7846749226
882;28;5097;0.0043343653;0.7890092879
883;16;5113;0.0024767802;0.7914860681
884;12;5125;0.0018575851;0.7933436533
885;561;5686;0.0868421053;0.8801857585
886;19;5705;0.0029411765;0.883126935
887;18;5723;0.0027863777;0.8859133127
888;30;5753;0.0046439628;0.8905572755
889;10;5763;0.0015479876;0.8921052632
890;367;6130;0.0568111455;0.9489164087
891;17;6147;0.0026315789;0.9515479876
892;32;6179;0.0049535604;0.956501548
893;20;6199;0.0030959752;0.9595975232
894;18;6217;0.0027863777;0.9623839009
895;178;6395;0.0275541796;0.9899380805
896;8;6403;0.0012383901;0.9911764706
897;17;6420;0.0026315789;0.9938080495
898;26;6446;0.0040247678;0.9978328173
899;14;6460;0.0021671827;1
