Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;0
0;Grundnutzen;2;2;2.7247686289
0;Grundnutzen;3;3;2.9446566091
0;Grundnutzen;4;4;1.6825379637
0;Grundnutzen;5;5;1.1063131701
0;Grundnutzen;6;6;0.2495584511
0;Grundnutzen;7;7;-0.488906383
0;Grundnutzen;8;8;-1.080603568
0;Grundnutzen;9;9;-2.126208105
0;Grundnutzen;10;10;-1.87169216
0;Grundnutzen;11;11;-1.174324735
1;beruf_vollzeit;1;1;0
1;beruf_vollzeit;2;2;-0.829965377
1;beruf_vollzeit;3;3;-1.153511833
1;beruf_vollzeit;4;4;-1.088302006
1;beruf_vollzeit;5;5;-1.077882212
1;beruf_vollzeit;6;6;-0.930129224
1;beruf_vollzeit;7;7;-0.958964982
1;beruf_vollzeit;8;8;-0.927331723
1;beruf_vollzeit;9;9;-0.764131132
1;beruf_vollzeit;10;10;-0.419604601
1;beruf_vollzeit;11;11;-0.52175564
2;beruf_teilzeit;1;1;0
2;beruf_teilzeit;2;2;-0.174348337
2;beruf_teilzeit;3;3;-0.09262247
2;beruf_teilzeit;4;4;-0.388583273
2;beruf_teilzeit;5;5;-0.271680387
2;beruf_teilzeit;6;6;-0.146573295
2;beruf_teilzeit;7;7;-0.349407618
2;beruf_teilzeit;8;8;-0.363202773
2;beruf_teilzeit;9;9;-0.236348761
2;beruf_teilzeit;10;10;0.0106885679
2;beruf_teilzeit;11;11;-0.28885252
3;0;1;1;0
3;0;2;2;0
3;0;3;3;0
3;0;4;4;0
3;0;5;5;0
3;0;6;6;0
3;0;7;7;0
3;0;8;8;0
3;0;9;9;0
3;0;10;10;0
3;0;11;11;0
4;beruf_azubi;1;1;0
4;beruf_azubi;2;2;-3.167125243
4;beruf_azubi;3;3;8.5562100448
4;beruf_azubi;4;4;8.5027608647
4;beruf_azubi;5;5;8.7586460287
4;beruf_azubi;6;6;8.8419378763
4;beruf_azubi;7;7;8.7850617047
4;beruf_azubi;8;8;9.0917047331
4;beruf_azubi;9;9;8.7653873503
4;beruf_azubi;10;10;9.3220871182
4;beruf_azubi;11;11;10.192542376
5;0;1;1;0
5;0;2;2;0
5;0;3;3;0
5;0;4;4;0
5;0;5;5;0
5;0;6;6;0
5;0;7;7;0
5;0;8;8;0
5;0;9;9;0
5;0;10;10;0
5;0;11;11;0
6;0;1;1;0
6;0;2;2;0
6;0;3;3;0
6;0;4;4;0
6;0;5;5;0
6;0;6;6;0
6;0;7;7;0
6;0;8;8;0
6;0;9;9;0
6;0;10;10;0
6;0;11;11;0
7;tourtyp_work;1;1;0
7;tourtyp_work;2;2;-2.724054694
7;tourtyp_work;3;3;-2.452132903
7;tourtyp_work;4;4;-2.40272778
7;tourtyp_work;5;5;-3.253044023
7;tourtyp_work;6;6;-3.408993802
