paramname;in;out;alternative;contextIdentifier
touristhaupttour;yes;no;no;tour
anztourenamtag;yes;no;no;day
tour2destages;yes;no;no;tour
tour3destages;yes;no;no;tour
dauer_akt_tag_4bis6std;yes;no;no;day
dauer_akt_tag_6bis8std;yes;no;no;day
dauer_akt_tag_8bis10std;yes;no;no;day
dauer_akt_tag_10bis12std;yes;no;no;day
dauer_akt_tag_12bis14std;yes;no;no;day
1;no;yes;yes;tour
2;no;yes;yes;tour
3;no;yes;yes;tour
4;no;yes;yes;tour
5;no;yes;yes;tour
6;no;yes;yes;tour
7;no;yes;yes;tour
8;no;yes;yes;tour
9;no;yes;yes;tour
10;no;yes;yes;tour
