paramname;in;out;alternative;contextIdentifier
beruf_vollzeit;yes;no;no;default
beruf_teilzeit;yes;no;no;default
alter_10bis17;yes;no;no;default
alter_26bis35;yes;no;no;default
alter_36bis50;yes;no;no;default
Raumtyp_mobitopp_conurbation;yes;no;no;default
anzahlkinder_u18;yes;no;no;default
haushalthatkinderunter10;yes;no;no;default
male;yes;no;no;default
1;no;yes;yes;person
2;no;yes;yes;person
3;no;yes;yes;person
4;no;yes;yes;person
5;no;yes;yes;person
6;no;yes;yes;person
7;no;yes;yes;person
0;no;yes;yes;person
