Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;yes;0
0;Grundnutzen;2;no;-0.240935128
1;anztourenvorhaupttour;1;yes;0
1;anztourenvorhaupttour;2;no;-0.367843046
2;anztourennachhaupttour;1;yes;0
2;anztourennachhaupttour;2;no;-0.289698774
3;0;1;yes;0
3;0;2;no;0
4;tourhat1akt;1;yes;0
4;tourhat1akt;2;no;-0.187616759
5;alter_10bis17;1;yes;0
5;alter_10bis17;2;no;-0.870593923
6;0;1;yes;0
6;0;2;no;0
7;tourtyp_work;1;yes;0
7;tourtyp_work;2;no;-0.35223209
8;0;1;yes;0
8;0;2;no;0
9;0;1;yes;0
9;0;2;no;0
10;0;1;yes;0
10;0;2;no;0
11;tag_sa;1;yes;0
11;tag_sa;2;no;1.4060730809
12;tag_so;1;yes;0
12;tag_so;2;no;1.7575801798
13;0;1;yes;0
13;0;2;no;0
14;dauer_akt_in_tour_2bis4std;1;yes;0
14;dauer_akt_in_tour_2bis4std;2;no;0.3189654702
15;dauer_akt_in_tour_4bis6std;1;yes;0
15;dauer_akt_in_tour_4bis6std;2;no;-0.528307906
16;dauer_akt_in_tour_6bis8std;1;yes;0
16;dauer_akt_in_tour_6bis8std;2;no;-0.512020627
17;dauer_akt_in_tour_8bis10std;1;yes;0
17;dauer_akt_in_tour_8bis10std;2;no;-0.998854395
18;dauer_akt_in_tour_10bis12std;1;yes;0
18;dauer_akt_in_tour_10bis12std;2;no;-1.002087179
19;0;1;yes;0
19;0;2;no;0
20;dauer_akt_vorht_tag_1bis120;1;yes;0
20;dauer_akt_vorht_tag_1bis120;2;no;0.8132489771
21;0;1;yes;0
21;0;2;no;0
22;0;1;yes;0
22;0;2;no;0
23;0;1;yes;0
23;0;2;no;0
24;0;1;yes;0
24;0;2;no;0
25;std_start_T1_6_7_Uhr;1;yes;0
25;std_start_T1_6_7_Uhr;2;no;-0.187085214
26;std_start_T1_7_8_Uhr;1;yes;0
26;std_start_T1_7_8_Uhr;2;no;-0.32143086
27;0;2;no;0
28;0;2;no;0
29;0;2;no;0
30;0;2;no;0
31;0;2;no;0
32;0;2;no;0
33;0;2;no;0
34;0;2;no;0
35;0;2;no;0
36;0;2;no;0
37;0;2;no;0
38;0;2;no;0
39;0;2;no;0
40;0;2;no;0
41;0;2;no;0
42;0;2;no;0
43;0;2;no;0
44;0;2;no;0
45;0;2;no;0
46;0;2;no;0
47;0;2;no;0
48;0;2;no;0
49;0;2;no;0
50;0;2;no;0
