paramname;in;alternative;contextIdentifier
beruf_vollzeit;yes;no;default
beruf_teilzeit;yes;no;default
beruf_schueler;yes;no;default
beruf_azubi;yes;no;default
tourtyp_work;yes;no;tour
tourtyp_education;yes;no;tour
tourtyp_shopping;yes;no;tour
tourtyp_transport;yes;no;tour
tag_sa;yes;no;day
tag_so;yes;no;day
dauer_akt_tag_4bis6std;yes;no;day
dauer_akt_tag_6bis8std;yes;no;day
dauer_akt_tag_8bis10std;yes;no;day
dauer_akt_tag_10bis12std;yes;no;day
dauer_akt_tag_12bis14std;yes;no;day
taghat1akt;yes;no;day
taghat2akt;yes;no;day
taghat3akt;yes;no;day
taghat1tour;yes;no;day
taghat2touren;yes;no;day
haupttour_work;yes;no;day
haupttour_education;yes;no;day
touristhaupttour;yes;no;tour
1;no;yes;tour
2;no;yes;tour
3;no;yes;tour
4;no;yes;tour
5;no;yes;tour
6;no;yes;tour
7;no;yes;tour
8;no;yes;tour
9;no;yes;tour
10;no;yes;tour
11;no;yes;tour
12;no;yes;tour
13;no;yes;tour
14;no;yes;tour
15;no;yes;tour
16;no;yes;tour
