Slot;Anzahl
780;1033
781;12
782;17
783;10
784;18
785;143
786;4
787;13
788;16
789;11
790;217
791;10
792;30
793;10
794;5
795;321
796;8
797;15
798;9
799;5
800;188
801;6
802;7
803;8
804;10
805;114
806;11
807;9
808;15
809;12
810;824
811;16
812;23
813;20
814;15
815;103
816;10
817;13
818;10
819;4
820;184
821;5
822;17
823;3
824;13
825;340
826;6
827;14
828;12
829;8
830;215
831;9
832;11
833;4
834;14
835;89
836;11
837;14
838;15
839;2
840;1501
841;11
842;23
843;19
844;5
845;149
846;8
847;27
848;14
849;8
850;358
851;11
852;22
853;9
854;9
855;353
856;10
857;11
858;11
859;6
860;202
861;8
862;8
863;8
864;5
865;114
866;12
867;11
868;17
869;15
870;983
871;6
872;13
873;10
874;12
875;117
876;7
877;9
878;19
879;5
880;132
881;9
882;15
883;8
884;4
885;333
886;9
887;12
888;15
889;2
890;200
891;11
892;14
893;11
894;3
895;91
896;3
897;9
898;16
899;6
