Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;0
Grundnutzen;2;2.7248
Grundnutzen;3;2.9447
Grundnutzen;4;1.6825
Grundnutzen;5;1.1063
Grundnutzen;6;0.2496
Grundnutzen;7;-0.4889
Grundnutzen;8;-1.0806
Grundnutzen;9;-2.1262
Grundnutzen;10;-1.8717
Grundnutzen;11;-1.1743
beruf_vollzeit;1;0
beruf_vollzeit;2;-0.8300
beruf_vollzeit;3;-1.1535
beruf_vollzeit;4;-1.0883
beruf_vollzeit;5;-1.0779
beruf_vollzeit;6;-0.9301
beruf_vollzeit;7;-0.9590
beruf_vollzeit;8;-0.9273
beruf_vollzeit;9;-0.7641
beruf_vollzeit;10;-0.4196
beruf_vollzeit;11;-0.5218
beruf_teilzeit;1;0
beruf_teilzeit;2;-0.1743
beruf_teilzeit;3;-0.0926
beruf_teilzeit;4;-0.3886
beruf_teilzeit;5;-0.2717
beruf_teilzeit;6;-0.1466
beruf_teilzeit;7;-0.3494
beruf_teilzeit;8;-0.3632
beruf_teilzeit;9;-0.2363
beruf_teilzeit;10;0.0107
beruf_teilzeit;11;-0.2889
beruf_azubi;1;0
beruf_azubi;2;-3.1671
beruf_azubi;3;8.5562
beruf_azubi;4;8.5028
beruf_azubi;5;8.7586
beruf_azubi;6;8.8419
beruf_azubi;7;8.7851
beruf_azubi;8;9.0917
beruf_azubi;9;8.7654
beruf_azubi;10;9.3221
beruf_azubi;11;10.1925
tourtyp_work;1;0
tourtyp_work;2;-2.7241
tourtyp_work;3;-2.4521
tourtyp_work;4;-2.4027
tourtyp_work;5;-3.2530
tourtyp_work;6;-3.4090
tourtyp_work;7;-3.5720
tourtyp_work;8;-3.9655
tourtyp_work;9;-4.0680
tourtyp_work;10;-4.3250
tourtyp_work;11;-3.4740
tourtyp_shopping;1;0
tourtyp_shopping;2;-0.9163
tourtyp_shopping;3;-1.2998
tourtyp_shopping;4;-1.6784
tourtyp_shopping;5;-1.7911
tourtyp_shopping;6;-1.9183
tourtyp_shopping;7;-2.1581
tourtyp_shopping;8;-2.3059
tourtyp_shopping;9;-2.9312
tourtyp_shopping;10;-3.6923
tourtyp_shopping;11;-4.1834
tourtyp_transport;1;0
tourtyp_transport;2;-1.8891
tourtyp_transport;3;-0.4684
tourtyp_transport;4;-0.9101
tourtyp_transport;5;-1.1993
tourtyp_transport;6;-1.4498
tourtyp_transport;7;-1.7063
tourtyp_transport;8;-1.7644
tourtyp_transport;9;-1.9786
tourtyp_transport;10;-2.2029
tourtyp_transport;11;-1.5982
tag_fr;1;0
tag_fr;2;1.5748
tag_fr;3;1.4892
tag_fr;4;1.3603
tag_fr;5;1.3872
tag_fr;6;1.4749
tag_fr;7;1.3590
tag_fr;8;1.4915
tag_fr;9;1.4873
tag_fr;10;1.3658
tag_fr;11;1.9671
tag_sa;1;0
tag_sa;2;1.4206
tag_sa;3;1.5625
tag_sa;4;1.3364
tag_sa;5;1.1005
tag_sa;6;0.9540
tag_sa;7;0.9925
tag_sa;8;1.1765
tag_sa;9;1.2212
tag_sa;10;1.1107
tag_sa;11;1.8340
tag_so;1;0
tag_so;2;10.1722
tag_so;3;9.9903
tag_so;4;9.9511
tag_so;5;9.9471
tag_so;6;9.5273
tag_so;7;9.4822
tag_so;8;9.4449
tag_so;9;9.3213
tag_so;10;8.7089
tag_so;11;9.8334
taghat3akt;1;0
taghat3akt;2;-0.2802
taghat3akt;3;-0.1928
taghat3akt;4;-0.3425
taghat3akt;5;-0.1897
taghat3akt;6;-0.2839
taghat3akt;7;-0.1777
taghat3akt;8;-0.0349
taghat3akt;9;0.1089
taghat3akt;10;0.1192
taghat3akt;11;-0.2030
taghat3touren;1;0
taghat3touren;2;1.7641
taghat3touren;3;2.6609
taghat3touren;4;3.4381
taghat3touren;5;3.8975
taghat3touren;6;4.4041
taghat3touren;7;4.8270
taghat3touren;8;5.4336
taghat3touren;9;6.0278
taghat3touren;10;6.7406
taghat3touren;11;8.1035
dauer_akt_in_tour_0bis2std;1;0
dauer_akt_in_tour_0bis2std;2;0.8975
dauer_akt_in_tour_0bis2std;3;1.3118
dauer_akt_in_tour_0bis2std;4;1.8364
dauer_akt_in_tour_0bis2std;5;2.3098
dauer_akt_in_tour_0bis2std;6;2.8171
dauer_akt_in_tour_0bis2std;7;3.2238
dauer_akt_in_tour_0bis2std;8;2.8395
dauer_akt_in_tour_0bis2std;9;2.7951
dauer_akt_in_tour_0bis2std;10;2.7417
dauer_akt_in_tour_0bis2std;11;1.7477
dauer_akt_in_tour_2bis4std;1;0
dauer_akt_in_tour_2bis4std;2;-0.00299
dauer_akt_in_tour_2bis4std;3;0.4633
dauer_akt_in_tour_2bis4std;4;1.4199
dauer_akt_in_tour_2bis4std;5;1.6105
dauer_akt_in_tour_2bis4std;6;1.8218
dauer_akt_in_tour_2bis4std;7;1.8984
dauer_akt_in_tour_2bis4std;8;1.5697
dauer_akt_in_tour_2bis4std;9;2.0539
dauer_akt_in_tour_2bis4std;10;2.5885
dauer_akt_in_tour_2bis4std;11;0.9414
dauer_akt_in_tour_4bis6std;1;0
dauer_akt_in_tour_4bis6std;2;-0.9208
dauer_akt_in_tour_4bis6std;3;0.2118
dauer_akt_in_tour_4bis6std;4;0.7404
dauer_akt_in_tour_4bis6std;5;0.5732
dauer_akt_in_tour_4bis6std;6;0.6928
