paramname;in;alternative;contextIdentifier
beruf_vollzeit;yes;no;default
beruf_teilzeit;yes;no;default
beruf_azubi;yes;no;default
tourtyp_work;yes;no;tour
tourtyp_shopping;yes;no;tour
tourtyp_transport;yes;no;tour
tag_fr;yes;no;day
tag_sa;yes;no;day
tag_so;yes;no;day
taghat3akt;yes;no;day
taghat3touren;yes;no;day
dauer_akt_in_tour_0bis2std;yes;no;tour
dauer_akt_in_tour_2bis4std;yes;no;tour
dauer_akt_in_tour_4bis6std;yes;no;tour
touristhaupttour;yes;no;tour
endetourvorher_Std_12;yes;no;tour
endetourvorher_Std_13;yes;no;tour
endetourvorher_Std_14;yes;no;tour
endetourvorher_Std_15;yes;no;tour
endetourvorher_Std_16;yes;no;tour
endetourvorher_Std_17;yes;no;tour
endetourvorher_Std_18;yes;no;tour
1;no;yes;tour
2;no;yes;tour
3;no;yes;tour
4;no;yes;tour
5;no;yes;tour
6;no;yes;tour
7;no;yes;tour
8;no;yes;tour
9;no;yes;tour
10;no;yes;tour
11;no;yes;tour
