Slot;Anzahl
1020;402
1021;5
1022;10
1023;11
1024;5
1025;67
1026;7
1027;8
1028;6
1029;4
1030;118
1031;5
1032;8
1033;7
1034;5
1035;185
1036;10
1037;7
1038;10
1039;4
1040;128
1041;5
1042;8
1043;10
1044;3
1045;71
1046;10
1047;6
1048;2
1049;3
1050;336
1051;5
1052;6
1053;4
1054;7
1055;71
1056;9
1057;6
1058;4
1059;1
1060;105
1061;2
1062;7
1063;6
1064;8
1065;192
1066;6
1067;6
1068;3
1069;3
1070;136
1071;6
1072;4
1073;10
1074;7
1075;83
1076;4
1077;2
1078;17
1079;5
