Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;0
Grundnutzen;2;0.1341
Grundnutzen;3;0.7663
Grundnutzen;4;2.1946
Grundnutzen;5;3.5931
Grundnutzen;6;4.9440
Grundnutzen;7;5.7805
Grundnutzen;8;7.9486
Grundnutzen;9;8.5418
Grundnutzen;10;10.3029
touristhaupttour;1;0
touristhaupttour;2;0.2231
touristhaupttour;3;0.3158
touristhaupttour;4;0.4874
touristhaupttour;5;0.5254
touristhaupttour;6;0.4227
touristhaupttour;7;0.4657
touristhaupttour;8;0.2789
touristhaupttour;9;0.5739
touristhaupttour;10;0.3539
anztourenamtag;1;0
anztourenamtag;2;-0.0952
anztourenamtag;3;-0.1568
anztourenamtag;4;-0.3771
anztourenamtag;5;-0.6532
anztourenamtag;6;-0.9387
anztourenamtag;7;-1.1594
anztourenamtag;8;-1.7531
anztourenamtag;9;-2.0416
anztourenamtag;10;-2.3914
tour2destages;1;0
tour2destages;2;0
tour2destages;3;0
tour2destages;4;0
tour2destages;5;0
tour2destages;6;0
tour2destages;7;0
tour2destages;8;0
tour2destages;9;0
tour2destages;10;0
tour3destages;1;0
tour3destages;2;-0.1791
tour3destages;3;-0.1153
tour3destages;4;-0.3799
tour3destages;5;-0.7836
tour3destages;6;-1.2009
tour3destages;7;-1.4793
tour3destages;8;-1.9178
tour3destages;9;-2.0759
tour3destages;10;-2.3772
dauer_akt_tag_4bis6std;1;0
dauer_akt_tag_4bis6std;2;0.0751
dauer_akt_tag_4bis6std;3;0.1616
dauer_akt_tag_4bis6std;4;0.1581
dauer_akt_tag_4bis6std;5;0.0182
dauer_akt_tag_4bis6std;6;-0.0597
dauer_akt_tag_4bis6std;7;-0.2354
dauer_akt_tag_4bis6std;8;-0.2285
dauer_akt_tag_4bis6std;9;-0.0593
dauer_akt_tag_4bis6std;10;-0.0609
dauer_akt_tag_6bis8std;1;0
dauer_akt_tag_6bis8std;2;0.1291
dauer_akt_tag_6bis8std;3;0.1545
dauer_akt_tag_6bis8std;4;0.0951
dauer_akt_tag_6bis8std;5;-0.0452
dauer_akt_tag_6bis8std;6;-0.2767
dauer_akt_tag_6bis8std;7;-0.4066
dauer_akt_tag_6bis8std;8;-0.6030
dauer_akt_tag_6bis8std;9;-0.6588
dauer_akt_tag_6bis8std;10;-1.0828
dauer_akt_tag_8bis10std;1;0
dauer_akt_tag_8bis10std;2;0.1472
dauer_akt_tag_8bis10std;3;0.0872
dauer_akt_tag_8bis10std;4;-0.0283
dauer_akt_tag_8bis10std;5;-0.2601
dauer_akt_tag_8bis10std;6;-0.4731
dauer_akt_tag_8bis10std;7;-0.6907
dauer_akt_tag_8bis10std;8;-1.2784
dauer_akt_tag_8bis10std;9;-1.8302
dauer_akt_tag_8bis10std;10;-2.0661
dauer_akt_tag_10bis12std;1;0
dauer_akt_tag_10bis12std;2;0.0363
dauer_akt_tag_10bis12std;3;0.1258
dauer_akt_tag_10bis12std;4;0.0693
dauer_akt_tag_10bis12std;5;-0.2742
dauer_akt_tag_10bis12std;6;-0.5696
dauer_akt_tag_10bis12std;7;-0.9211
dauer_akt_tag_10bis12std;8;-1.1118
dauer_akt_tag_10bis12std;9;-1.0646
dauer_akt_tag_10bis12std;10;-0.7366
dauer_akt_tag_12bis14std;1;0
dauer_akt_tag_12bis14std;2;0.1750
dauer_akt_tag_12bis14std;3;0.1627
dauer_akt_tag_12bis14std;4;-0.0440
dauer_akt_tag_12bis14std;5;-0.4756
dauer_akt_tag_12bis14std;6;-0.6048
dauer_akt_tag_12bis14std;7;-0.8866
dauer_akt_tag_12bis14std;8;-2.4201
dauer_akt_tag_12bis14std;9;-1.6250
dauer_akt_tag_12bis14std;10;-0.8548
endetourvorher_Std_12;1;0
endetourvorher_Std_12;2;0.2911
endetourvorher_Std_12;3;0.7256
endetourvorher_Std_12;4;0.8749
endetourvorher_Std_12;5;0.8715
endetourvorher_Std_12;6;0.7826
endetourvorher_Std_12;7;0.6373
endetourvorher_Std_12;8;0.5122
endetourvorher_Std_12;9;0.2800
endetourvorher_Std_12;10;-0.3623
endetourvorher_Std_13;1;0
endetourvorher_Std_13;2;0.4526
endetourvorher_Std_13;3;0.3542
endetourvorher_Std_13;4;0.6140
endetourvorher_Std_13;5;0.4369
endetourvorher_Std_13;6;0.1992
endetourvorher_Std_13;7;0.0584
endetourvorher_Std_13;8;-0.0547
endetourvorher_Std_13;9;-0.5576
endetourvorher_Std_13;10;-1.5100
endetourvorher_Std_14;1;0
endetourvorher_Std_14;2;0.1986
endetourvorher_Std_14;3;0.3405
endetourvorher_Std_14;4;0.3411
endetourvorher_Std_14;5;-0.0672
endetourvorher_Std_14;6;-0.2245
endetourvorher_Std_14;7;-0.4015
endetourvorher_Std_14;8;-1.0027
endetourvorher_Std_14;9;-2.1032
endetourvorher_Std_14;10;-2.3839
endetourvorher_Std_15;1;0
endetourvorher_Std_15;2;0.2343
endetourvorher_Std_15;3;0.2213
endetourvorher_Std_15;4;0.2169
endetourvorher_Std_15;5;-0.1903
endetourvorher_Std_15;6;-0.4709
endetourvorher_Std_15;7;-0.9397
endetourvorher_Std_15;8;-2.1441
endetourvorher_Std_15;9;-2.1594
endetourvorher_Std_15;10;-3.9647
endetourvorher_Std_16;1;0
endetourvorher_Std_16;2;0.3217
endetourvorher_Std_16;3;0.2167
endetourvorher_Std_16;4;0.1062
endetourvorher_Std_16;5;-0.2464
endetourvorher_Std_16;6;-0.7989
endetourvorher_Std_16;7;-2.1330
endetourvorher_Std_16;8;-2.1177
endetourvorher_Std_16;9;-3.0717
endetourvorher_Std_16;10;-5.0565
endetourvorher_Std_17;1;0
endetourvorher_Std_17;2;0.0876
endetourvorher_Std_17;3;-0.0544
endetourvorher_Std_17;4;-0.0207
endetourvorher_Std_17;5;-0.7211
endetourvorher_Std_17;6;-1.9341
endetourvorher_Std_17;7;-2.2980
endetourvorher_Std_17;8;-3.0222
endetourvorher_Std_17;9;-3.6574
endetourvorher_Std_17;10;-16.1510
endetourvorher_Std_18;1;0
endetourvorher_Std_18;2;0.2340
endetourvorher_Std_18;3;0.2020
endetourvorher_Std_18;4;-0.1354
endetourvorher_Std_18;5;-1.6022
endetourvorher_Std_18;6;-1.7732
endetourvorher_Std_18;7;-2.1788
endetourvorher_Std_18;8;-3.8269
endetourvorher_Std_18;9;-15.7913
endetourvorher_Std_18;10;-16.2502
endetourvorher_Std_19;1;0
endetourvorher_Std_19;2;0.0499
endetourvorher_Std_19;3;-0.3160
endetourvorher_Std_19;4;-0.9052
endetourvorher_Std_19;5;-1.6536
endetourvorher_Std_19;6;-2.1700
endetourvorher_Std_19;7;-4.1258
endetourvorher_Std_19;8;-16.1005
endetourvorher_Std_19;9;-16.2651
endetourvorher_Std_19;10;-16.7455
endetourvorher_Std_20;1;0
endetourvorher_Std_20;2;-0.4339
