Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;-2.585987375
0;Grundnutzen;2;2;-2.214357044
0;Grundnutzen;3;3;-4.028619999
0;Grundnutzen;4;4;0
1;beruf_rentner;1;1;0.5144749015
1;beruf_rentner;2;2;0.5976815665
1;beruf_rentner;3;3;0.3388705431
1;beruf_rentner;4;4;0
2;beruf_schueler;1;1;-0.456984965
2;beruf_schueler;2;2;-0.547368205
2;beruf_schueler;3;3;0.2594056322
2;beruf_schueler;4;4;0
3;beruf_azubi;1;1;-0.937621637
3;beruf_azubi;2;2;-1.103390191
3;beruf_azubi;3;3;-0.643629177
3;beruf_azubi;4;4;0
4;0;1;1;0
4;0;2;2;0
4;0;3;3;0
4;0;4;4;0
5;anzahlkinder_u18;1;1;-0.159490814
5;anzahlkinder_u18;2;2;0.1801277147
5;anzahlkinder_u18;3;3;0.3355895928
5;anzahlkinder_u18;4;4;0
6;haushalthatkinderunter10;1;1;-0.140395276
6;haushalthatkinderunter10;2;2;-0.760616847
6;haushalthatkinderunter10;3;3;-1.039374636
6;haushalthatkinderunter10;4;4;0
7;0;1;1;0
7;0;2;2;0
7;0;3;3;0
7;0;4;4;0
8;tag_fr;1;1;0.2359138965
8;tag_fr;2;2;0.2245270788
8;tag_fr;3;3;0.0534049051
8;tag_fr;4;4;0
9;tag_sa;1;1;0.7465221128
9;tag_sa;2;2;0.7433786417
9;tag_sa;3;3;0.4964069389
9;tag_sa;4;4;0
10;tag_so;1;1;1.1140039511
10;tag_so;2;2;1.308315225
10;tag_so;3;3;0.4026787458
10;tag_so;4;4;0
11;0;1;1;0
11;0;2;2;0
11;0;3;3;0
11;0;4;4;0
12;haupttour_work;1;1;-0.650180753
12;haupttour_work;2;2;-0.49875483
12;haupttour_work;3;3;-0.3535606
12;haupttour_work;4;4;0
13;haupttour_education;1;1;-0.26408103
13;haupttour_education;2;2;-0.370928604
13;haupttour_education;3;3;0.3005879676
13;haupttour_education;4;4;0
14;0;1;1;0
14;0;2;2;0
14;0;3;3;0
14;0;4;4;0
15;aktzweck_leisure;1;1;0.6422777617
15;aktzweck_leisure;2;2;-0.792536012
15;aktzweck_leisure;3;3;0.2852148059
15;aktzweck_leisure;4;4;0
16;aktzweck_shopping;1;1;0.8263939783
16;aktzweck_shopping;2;2;-2.169365469
16;aktzweck_shopping;3;3;-0.026156244
16;aktzweck_shopping;4;4;0
17;aktzweck_transport;1;1;-0.149794862
17;aktzweck_transport;2;2;-2.661891925
17;aktzweck_transport;3;3;1.4536183904
17;aktzweck_transport;4;4;0
18;aktzweck_work;1;1;-1.166882146
18;aktzweck_work;2;2;-2.82887804
18;aktzweck_work;3;3;-0.539435435
18;aktzweck_work;4;4;0
19;0;1;1;0
19;0;2;2;0
19;0;3;3;0
19;0;4;4;0
20;dauer_akt;1;1;0.0006933079
20;dauer_akt;2;2;-0.004528555
20;dauer_akt;3;3;0.0013227433
20;dauer_akt;4;4;0
21;0;1;1;0
21;0;2;2;0
21;0;3;3;0
21;0;4;4;0
22;start_stunde_akt_0_5;1;1;-0.188621479
22;start_stunde_akt_0_5;2;2;0.842764281
22;start_stunde_akt_0_5;3;3;-0.137063958
22;start_stunde_akt_0_5;4;4;0
23;start_stunde_akt_6_8;1;1;-0.544206097
23;start_stunde_akt_6_8;2;2;-0.014660254
23;start_stunde_akt_6_8;3;3;-0.056612161
23;start_stunde_akt_6_8;4;4;0
24;start_stunde_akt_10_12;1;1;0.2326967263
24;start_stunde_akt_10_12;2;2;0.3000728386
24;start_stunde_akt_10_12;3;3;-0.170323106
24;start_stunde_akt_10_12;4;4;0
25;start_stunde_akt_13_15;1;1;0.2963455466
25;start_stunde_akt_13_15;2;2;0.7103912321
25;start_stunde_akt_13_15;3;3;0.0628283388
25;start_stunde_akt_13_15;4;4;0
26;start_stunde_akt_16_18;1;1;0.3862113167
26;start_stunde_akt_16_18;2;2;0.5999938643
26;start_stunde_akt_16_18;3;3;0.1960030986
26;start_stunde_akt_16_18;4;4;0
27;start_stunde_akt_19_21;1;1;0.3649399031
27;start_stunde_akt_19_21;2;2;0.1325879
27;start_stunde_akt_19_21;3;3;-0.215144421
27;start_stunde_akt_19_21;4;4;0
28;start_stunde_akt_22_23;1;1;-0.747464601
28;start_stunde_akt_22_23;2;2;0.3181033752
28;start_stunde_akt_22_23;3;3;-0.772146131
28;start_stunde_akt_22_23;4;4;0
29;0;1;1;0
29;0;2;2;0
29;0;3;3;0
29;0;4;4;0
30;letztetourdestages;1;1;0.3687345011
30;letztetourdestages;2;2;0.3611163941
30;letztetourdestages;3;3;0.2442719015
30;letztetourdestages;4;4;0
31;ersteaktamtag;1;1;0.0973339854
31;ersteaktamtag;2;2;0.1605157595
31;ersteaktamtag;3;3;0.358594584
31;ersteaktamtag;4;4;0
32;0;1;1;0
32;0;2;2;0
32;0;3;3;0
33;0;1;1;0
33;0;2;2;0
33;0;3;3;0
34;0;1;1;0
34;0;2;2;0
34;0;3;3;0
35;0;1;1;0
35;0;2;2;0
35;0;3;3;0
36;0;1;1;0
36;0;2;2;0
36;0;3;3;0
37;0;1;1;0
37;0;2;2;0
37;0;3;3;0
38;0;1;1;0
38;0;2;2;0
38;0;3;3;0
39;0;1;1;0
39;0;2;2;0
39;0;3;3;0
40;0;1;1;0
40;0;2;2;0
40;0;3;3;0
41;0;1;1;0
41;0;2;2;0
41;0;3;3;0
42;0;1;1;0
42;0;2;2;0
42;0;3;3;0
43;0;1;1;0
43;0;2;2;0
43;0;3;3;0
44;0;1;1;0
44;0;2;2;0
44;0;3;3;0
45;0;1;1;0
45;0;2;2;0
45;0;3;3;0
46;0;1;1;0
46;0;2;2;0
46;0;3;3;0
47;0;1;1;0
47;0;2;2;0
47;0;3;3;0
48;0;1;1;0
48;0;2;2;0
48;0;3;3;0
49;0;1;1;0
49;0;2;2;0
49;0;3;3;0
50;0;1;1;0
50;0;2;2;0
50;0;3;3;0
