Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;0.7714
Grundnutzen;2;1.0050
Grundnutzen;3;1.3068
Grundnutzen;4;1.3841
Grundnutzen;5;1.2402
Grundnutzen;6;1.0663
Grundnutzen;7;0.9369
Grundnutzen;0;0
beruf_erwerbstaetig;1;-0.1966
beruf_erwerbstaetig;2;-0.0281
beruf_erwerbstaetig;3;-0.2120
beruf_erwerbstaetig;4;-0.2480
beruf_erwerbstaetig;5;-0.3081
beruf_erwerbstaetig;6;-0.4165
beruf_erwerbstaetig;7;-0.5151
beruf_erwerbstaetig;0;0
beruf_schueler;1;-0.2525
beruf_schueler;2;0.0364
beruf_schueler;3;-0.0352
beruf_schueler;4;-0.1466
beruf_schueler;5;0.0997
beruf_schueler;6;0.0254
beruf_schueler;7;-0.5478
beruf_schueler;0;0
alter_61bis70;1;0.0147
alter_61bis70;2;0.1588
alter_61bis70;3;0.1633
alter_61bis70;4;0.2794
alter_61bis70;5;0.3593
alter_61bis70;6;0.4184
alter_61bis70;7;0.4617
alter_61bis70;0;0
Raumtyp_mobitopp_rural;1;-0.3753
Raumtyp_mobitopp_rural;2;-0.4818
Raumtyp_mobitopp_rural;3;-0.5532
Raumtyp_mobitopp_rural;4;-0.8125
Raumtyp_mobitopp_rural;5;-1.0029
Raumtyp_mobitopp_rural;6;-1.3017
Raumtyp_mobitopp_rural;7;-0.9691
Raumtyp_mobitopp_rural;0;0
haushalthatkinderunter10;1;0.2130
haushalthatkinderunter10;2;0.3640
haushalthatkinderunter10;3;0.3833
haushalthatkinderunter10;4;0.3782
haushalthatkinderunter10;5;0.2191
haushalthatkinderunter10;6;0.1361
haushalthatkinderunter10;7;-0.0764
haushalthatkinderunter10;0;0
anztage_w;1;-0.00570
anztage_w;2;-0.0381
anztage_w;3;-0.0663
anztage_w;4;-0.1161
anztage_w;5;-0.1402
anztage_w;6;-0.1811
anztage_w;7;-0.2329
anztage_w;0;0
