Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;-1.2172
Grundnutzen;2;-2.1790
Grundnutzen;3;-3.0977
Grundnutzen;4;-3.7580
Grundnutzen;5;-3.9756
Grundnutzen;6;-5.3297
Grundnutzen;7;-6.5684
Grundnutzen;0;0
beruf_vollzeit;1;-0.1229
beruf_vollzeit;2;-0.2866
beruf_vollzeit;3;-0.4666
beruf_vollzeit;4;-0.7686
beruf_vollzeit;5;-0.9124
beruf_vollzeit;6;-0.6603
beruf_vollzeit;7;-1.3006
beruf_vollzeit;0;0
beruf_teilzeit;1;0.2107
beruf_teilzeit;2;0.4389
beruf_teilzeit;3;0.7064
beruf_teilzeit;4;0.7016
beruf_teilzeit;5;0.2978
beruf_teilzeit;6;0.6219
beruf_teilzeit;7;0.2101
beruf_teilzeit;0;0
alter_10bis17;1;-1.2521
alter_10bis17;2;-2.0616
alter_10bis17;3;-3.0800
alter_10bis17;4;-4.2393
alter_10bis17;5;-4.6221
alter_10bis17;6;-3.9789
alter_10bis17;7;-11.4473
alter_10bis17;0;0
alter_26bis35;1;-0.0203
alter_26bis35;2;-0.0528
alter_26bis35;3;0.1707
alter_26bis35;4;0.6319
alter_26bis35;5;0.9999
alter_26bis35;6;1.0719
alter_26bis35;7;1.2377
alter_26bis35;0;0
alter_36bis50;1;0.0688
alter_36bis50;2;0.3667
alter_36bis50;3;0.4437
alter_36bis50;4;0.8019
alter_36bis50;5;1.0698
alter_36bis50;6;1.1898
alter_36bis50;7;1.4420
alter_36bis50;0;0
Raumtyp_mobitopp_conurbation;1;-0.1962
Raumtyp_mobitopp_conurbation;2;-0.2582
Raumtyp_mobitopp_conurbation;3;-0.3219
Raumtyp_mobitopp_conurbation;4;-0.2717
Raumtyp_mobitopp_conurbation;5;-0.2423
Raumtyp_mobitopp_conurbation;6;-0.3103
Raumtyp_mobitopp_conurbation;7;-0.3470
Raumtyp_mobitopp_conurbation;0;0
anzahlkinder_u18;1;0.2413
anzahlkinder_u18;2;0.4494
anzahlkinder_u18;3;0.6039
anzahlkinder_u18;4;0.6232
anzahlkinder_u18;5;0.4820
anzahlkinder_u18;6;0.7116
anzahlkinder_u18;7;0.7588
anzahlkinder_u18;0;0
haushalthatkinderunter10;1;0.2955
haushalthatkinderunter10;2;0.4345
haushalthatkinderunter10;3;0.7027
haushalthatkinderunter10;4;1.4051
haushalthatkinderunter10;5;2.4615
haushalthatkinderunter10;6;1.6530
haushalthatkinderunter10;7;1.0888
haushalthatkinderunter10;0;0
male;1;0.0740
male;2;0.1216
male;3;0.2155
male;4;-0.0667
male;5;-0.6287
male;6;-0.5425
male;7;-0.5573
male;0;0
