Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;0
Grundnutzen;2;-0.2683
Grundnutzen;3;-2.9111
Grundnutzen;4;-5.1338
beruf_vollzeit;1;0
beruf_vollzeit;2;-0.4042
beruf_vollzeit;3;-1.3990
beruf_vollzeit;4;-1.7418
beruf_teilzeit;1;0
beruf_teilzeit;2;0.4274
beruf_teilzeit;3;0.3747
beruf_teilzeit;4;-0.3285
beruf_schueler;1;0
beruf_schueler;2;0.1331
beruf_schueler;3;-0.9105
beruf_schueler;4;-2.2448
alter_26bis35;1;0
alter_26bis35;2;0.1219
alter_26bis35;3;1.0101
alter_26bis35;4;1.5401
alter_36bis50;1;0
alter_36bis50;2;0.3386
alter_36bis50;3;1.4530
alter_36bis50;4;2.1000
alter_51bis60;1;0
alter_51bis60;2;0.1542
alter_51bis60;3;0.9634
alter_51bis60;4;1.4808
alter_61bis70;1;0
alter_61bis70;2;0.2268
alter_61bis70;3;0.7962
alter_61bis70;4;0.8747
Raumtyp_mobitopp_conurbation;1;0
Raumtyp_mobitopp_conurbation;2;-0.1595
Raumtyp_mobitopp_conurbation;3;-0.5179
Raumtyp_mobitopp_conurbation;4;-0.4314
Raumtyp_mobitopp_rural;1;0
Raumtyp_mobitopp_rural;2;-0.4380
Raumtyp_mobitopp_rural;3;-0.5972
Raumtyp_mobitopp_rural;4;-0.4502
pendeln_ueber50km;1;0
pendeln_ueber50km;2;-0.4031
pendeln_ueber50km;3;-0.9523
pendeln_ueber50km;4;-10.7277
pendeln_0bis5km;1;0
pendeln_0bis5km;2;0.5536
pendeln_0bis5km;3;0.5824
pendeln_0bis5km;4;0.6899
haushalthatkinderunter10;1;0
haushalthatkinderunter10;2;0.3813
haushalthatkinderunter10;3;0.9318
haushalthatkinderunter10;4;0.7007
male;1;0
male;2;0.1910
male;3;0.4350
male;4;-0.0365
