Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;0
Grundnutzen;2;0.3956
Grundnutzen;3;-0.9043
Grundnutzen;4;-2.5651
Grundnutzen;5;-3.7358
Grundnutzen;6;-4.6359
beruf_teilzeit;1;0
beruf_teilzeit;2;0.4052
beruf_teilzeit;3;0.6790
beruf_teilzeit;4;0.8759
beruf_teilzeit;5;0.9369
beruf_teilzeit;6;0.9776
beruf_schueler;1;0
beruf_schueler;2;0.3082
beruf_schueler;3;0.2746
beruf_schueler;4;0.2732
beruf_schueler;5;0.3443
beruf_schueler;6;0.5584
beruf_azubi;1;0
beruf_azubi;2;0.2121
beruf_azubi;3;0.1893
beruf_azubi;4;0.9468
beruf_azubi;5;0.5735
beruf_azubi;6;0.3049
alter_26bis35;1;0
alter_26bis35;2;0.4286
alter_26bis35;3;1.1473
alter_26bis35;4;1.6813
alter_26bis35;5;1.8968
alter_26bis35;6;2.0686
alter_36bis50;1;0
alter_36bis50;2;0.5350
alter_36bis50;3;1.1567
alter_36bis50;4;1.7647
alter_36bis50;5;1.7846
alter_36bis50;6;1.8213
alter_51bis60;1;0
alter_51bis60;2;0.3188
alter_51bis60;3;0.6968
alter_51bis60;4;1.1197
alter_51bis60;5;1.0495
alter_51bis60;6;1.4204
alter_61bis70;1;0
alter_61bis70;2;0.3318
alter_61bis70;3;0.6427
alter_61bis70;4;0.8423
alter_61bis70;5;0.5129
alter_61bis70;6;0.4929
Raumtyp_mobitopp_rural;1;0
Raumtyp_mobitopp_rural;2;-0.5865
Raumtyp_mobitopp_rural;3;-0.6093
Raumtyp_mobitopp_rural;4;-1.0050
Raumtyp_mobitopp_rural;5;-0.3769
Raumtyp_mobitopp_rural;6;-0.0415
pendeln_ueber50km;1;0
pendeln_ueber50km;2;-0.1666
pendeln_ueber50km;3;-0.4316
pendeln_ueber50km;4;-0.4089
pendeln_ueber50km;5;-0.3099
pendeln_ueber50km;6;-0.1946
pendeln_0bis5km;1;0
pendeln_0bis5km;2;0.2628
pendeln_0bis5km;3;0.3914
pendeln_0bis5km;4;0.4109
pendeln_0bis5km;5;0.2829
pendeln_0bis5km;6;0.2037
haushalthatkinderunter10;1;0
haushalthatkinderunter10;2;0.1804
haushalthatkinderunter10;3;0.5053
haushalthatkinderunter10;4;0.6865
haushalthatkinderunter10;5;0.6870
haushalthatkinderunter10;6;0.7003
