Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;0;0
Grundnutzen;1;0.7630
Grundnutzen;2;0.4677
Grundnutzen;3;-0.4980
Grundnutzen;4;-2.3133
Grundnutzen;5;-3.3742
beruf_vollzeit;0;0
beruf_vollzeit;1;-0.1760
beruf_vollzeit;2;-0.1081
beruf_vollzeit;3;-0.0125
beruf_vollzeit;4;-0.1058
beruf_vollzeit;5;0.1436
haupttour_work;0;0
haupttour_work;1;-1.6877
haupttour_work;2;-2.4572
haupttour_work;3;-2.9908
haupttour_work;4;-3.2268
haupttour_work;5;-3.4376
haupttour_education;0;0
haupttour_education;1;-2.5719
haupttour_education;2;-3.3469
haupttour_education;3;-4.6668
haupttour_education;4;-2.8818
haupttour_education;5;-11.8487
haupttour_shopping;0;0
haupttour_shopping;1;-0.9099
haupttour_shopping;2;-1.4774
haupttour_shopping;3;-1.9111
haupttour_shopping;4;-1.8705
haupttour_shopping;5;-2.5762
tag_sa;0;0
tag_sa;1;0.1418
tag_sa;2;-0.0442
tag_sa;3;-0.2036
tag_sa;4;-0.1871
tag_sa;5;-0.1417
tag_so;0;0
tag_so;1;-0.9393
tag_so;2;-1.8903
tag_so;3;-2.5550
tag_so;4;-3.3593
tag_so;5;-2.8644
male;0;0
male;1;0.1119
male;2;0.2344
male;3;0.3343
male;4;0.4994
male;5;0.3232
alter_10bis17;0;0
alter_10bis17;1;-0.9380
alter_10bis17;2;-1.2095
alter_10bis17;3;-0.8478
alter_10bis17;4;-1.6217
alter_10bis17;5;-8.9737
alter_26bis35;0;0
alter_26bis35;1;0.00470
alter_26bis35;2;0.2807
alter_26bis35;3;0.6538
alter_26bis35;4;0.8452
alter_26bis35;5;1.7751
alter_36bis50;0;0
alter_36bis50;1;-0.0107
alter_36bis50;2;0.1175
alter_36bis50;3;0.5881
alter_36bis50;4;0.9128
alter_36bis50;5;1.4184
alter_51bis60;0;0
alter_51bis60;1;0.0557
alter_51bis60;2;0.1013
alter_51bis60;3;0.3034
alter_51bis60;4;0.4848
alter_51bis60;5;1.3157
pendeln_0bis5km;0;0
pendeln_0bis5km;1;0.0946
pendeln_0bis5km;2;0.0773
pendeln_0bis5km;3;0.1524
pendeln_0bis5km;4;0.5226
pendeln_0bis5km;5;0.0508
mean_1tour;0;0
mean_1tour;1;-2.1886
mean_1tour;2;-4.7503
mean_1tour;3;-7.5700
mean_1tour;4;-16.4474
mean_1tour;5;-16.1372
mean_2touren;0;0
mean_2touren;1;-0.8743
mean_2touren;2;-1.7349
mean_2touren;3;-2.7737
mean_2touren;4;-3.4787
mean_2touren;5;-4.3569
tagvorher_0vortouren;0;0
tagvorher_0vortouren;1;-0.3108
tagvorher_0vortouren;2;-0.3532
tagvorher_0vortouren;3;-0.4455
tagvorher_0vortouren;4;-0.1075
tagvorher_0vortouren;5;-0.8014
tagvorher_1vortour;0;0
tagvorher_1vortour;1;0.1726
tagvorher_1vortour;2;-0.0819
tagvorher_1vortour;3;-0.2092
tagvorher_1vortour;4;-0.2115
tagvorher_1vortour;5;-0.8141
