paramname;in;alternative;contextIdentifier
tourliegtvorhaupttour;yes;no;tour
tourliegtnachhaupttour;yes;no;tour
tourtyp_work;yes;no;tour
tourtyp_education;yes;no;tour
tourtyp_shopping;yes;no;tour
tourtyp_transport;yes;no;tour
tag_sa;yes;no;day
tag_so;yes;no;day
alter_18bis35;yes;no;default
alter_36bis50;yes;no;default
alter_51bis60;yes;no;default
taghat1tour;yes;no;day
taghat2touren;yes;no;day
mean_1akt;yes;no;person
mean_2akt;yes;no;person
mean_3akt;yes;no;person
0;no;yes;tour
1;no;yes;tour
2;no;yes;tour
3;no;yes;tour
4;no;yes;tour
5;no;yes;tour
