paramname;in;out;alternative;contextIdentifier
anzakt_woche_w;yes;no;no;person
anzakt_woche_e;yes;no;no;person
beruf_vollzeit;yes;no;no;default
beruf_teilzeit;yes;no;no;default
beruf_schueler;yes;no;no;default
beruf_azubi;yes;no;no;default
male;yes;no;no;default
alter_18bis25;yes;no;no;default
alter_26bis35;yes;no;no;default
alter_36bis50;yes;no;no;default
alter_51bis60;yes;no;no;default
tagemit_wakt_1;yes;no;no;person
tagemit_wakt_2;yes;no;no;person
tagemit_wakt_3;yes;no;no;person
tagemit_wakt_4;yes;no;no;person
tagemit_wakt_5;yes;no;no;person
tagemit_wakt_6;yes;no;no;person
1;no;yes;yes;person
2;no;yes;yes;person
3;no;yes;yes;person
4;no;yes;yes;person
5;no;yes;yes;person
6;no;yes;yes;person
7;no;yes;yes;person
8;no;yes;yes;person
9;no;yes;yes;person
