Slot;Anzahl
2101;3
2102;4
2103;1
2104;2
2105;8
2106;1
2107;1
2108;3
2109;2
2110;11
2111;2
2112;2
2113;1
2114;1
2115;6
2116;2
2117;2
2118;3
2119;0
2120;7
2121;2
2122;1
2123;3
2124;1
2125;10
2126;5
2127;3
2128;1
2129;2
2130;17
2131;4
2132;2
2133;2
2134;1
2135;9
2136;3
2137;2
2138;2
2139;2
2140;5
2141;0
2142;2
2143;0
2144;0
2145;10
2146;4
2147;2
2148;0
2149;1
2150;4
2151;3
2152;2
2153;0
2154;0
2155;6
2156;4
2157;1
2158;1
2159;1
2160;7
2161;1
2162;1
2163;0
2164;1
2165;6
2166;1
2167;0
2168;6
2169;2
2170;9
2171;3
2172;1
2173;2
2174;1
2175;5
2176;2
2177;2
2178;4
2179;3
2180;12
2181;1
2182;1
2183;2
2184;2
2185;7
2186;2
2187;5
2188;4
2189;3
2190;8
2191;4
2192;3
2193;1
2194;0
2195;14
2196;0
2197;2
2198;0
2199;1
2200;8
2201;0
2202;1
2203;3
2204;0
2205;3
2206;3
2207;1
2208;4
2209;3
2210;9
2211;3
2212;2
2213;2
2214;2
2215;9
2216;2
2217;3
2218;2
2219;3
2220;14
2221;6
2222;2
2223;1
2224;2
2225;6
2226;1
2227;1
2228;3
2229;1
2230;6
2231;2
2232;4
2233;0
2234;4
2235;9
2236;1
2237;1
2238;0
2239;2
2240;5
2241;2
2242;1
2243;1
2244;3
2245;8
2246;3
2247;2
2248;1
2249;2
2250;18
2251;3
2252;3
2253;3
2254;0
2255;14
2256;0
2257;0
2258;3
2259;1
2260;7
