Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;0.0826
Grundnutzen;2;-0.3110
Grundnutzen;3;0
Grundnutzen;4;-0.5612
Grundnutzen;5;-0.3159
anzakt_woche_w;1;0.0619
anzakt_woche_w;2;0.0342
anzakt_woche_w;3;0
anzakt_woche_w;4;-0.0342
anzakt_woche_w;5;-0.0597
anzakt_woche_l;1;0.0566
anzakt_woche_l;2;0.0127
anzakt_woche_l;3;0
anzakt_woche_l;4;-0.0107
anzakt_woche_l;5;-0.0474
anzakt_woche_s;1;-0.5868
anzakt_woche_s;2;-0.1860
anzakt_woche_s;3;0
anzakt_woche_s;4;0.0769
anzakt_woche_s;5;0.1253
beruf_vollzeit;1;0.2800
beruf_vollzeit;2;0.1946
beruf_vollzeit;3;0
beruf_vollzeit;4;-0.2313
beruf_vollzeit;5;-0.4267
beruf_teilzeit;1;-0.0544
beruf_teilzeit;2;0.1101
beruf_teilzeit;3;0
beruf_teilzeit;4;-0.1265
beruf_teilzeit;5;-0.3545
beruf_schueler;1;0.5929
beruf_schueler;2;0.2652
beruf_schueler;3;0
beruf_schueler;4;-0.3019
beruf_schueler;5;-0.7126
tagemit_sakt_1;1;1.5346
tagemit_sakt_1;2;0.9219
tagemit_sakt_1;3;0
tagemit_sakt_1;4;-0.8605
tagemit_sakt_1;5;-1.2950
tagemit_sakt_2;1;0.5645
tagemit_sakt_2;2;0.6691
tagemit_sakt_2;3;0
tagemit_sakt_2;4;-0.4907
tagemit_sakt_2;5;-1.2527
tagemit_sakt_3;1;-0.0589
tagemit_sakt_3;2;0.2181
tagemit_sakt_3;3;0
tagemit_sakt_3;4;-0.4661
tagemit_sakt_3;5;-0.9871
tagemit_sakt_4;1;-0.1618
tagemit_sakt_4;2;0.1537
tagemit_sakt_4;3;0
tagemit_sakt_4;4;-0.1199
tagemit_sakt_4;5;-0.5124
