Slot;Anzahl
1801;0
1802;1
1803;1
1804;0
1805;4
1806;2
1807;3
1808;1
1809;2
1810;9
1811;1
1812;2
1813;2
1814;0
1815;4
1816;2
1817;1
1818;2
1819;2
1820;7
1821;1
1822;0
1823;1
1824;0
1825;5
1826;1
1827;2
1828;0
1829;1
1830;3
1831;1
1832;1
1833;3
1834;2
1835;5
1836;1
1837;1
1838;3
1839;3
1840;9
1841;0
1842;0
1843;1
1844;1
1845;1
1846;1
1847;0
1848;1
1849;0
1850;8
1851;0
1852;2
1853;1
1854;0
1855;6
1856;0
1857;1
1858;1
1859;2
1860;6
1861;0
1862;2
1863;0
1864;2
1865;5
1866;1
1867;3
1868;2
1869;0
1870;6
1871;1
1872;2
1873;1
1874;1
1875;7
1876;0
1877;1
1878;1
1879;1
1880;2
1881;2
1882;4
1883;0
1884;1
1885;2
1886;2
1887;1
1888;1
1889;1
1890;5
1891;1
1892;4
1893;1
1894;1
1895;4
1896;1
1897;0
1898;1
1899;0
1900;8
1901;0
1902;0
1903;2
1904;2
1905;6
1906;1
1907;1
1908;1
1909;1
1910;4
1911;0
1912;0
1913;2
1914;1
1915;5
1916;1
1917;0
1918;1
1919;1
1920;7
1921;1
1922;0
1923;1
1924;0
1925;7
1926;1
1927;0
1928;2
1929;1
1930;9
1931;1
1932;0
1933;0
1934;0
1935;5
1936;0
1937;1
1938;0
1939;0
1940;6
1941;0
1942;2
1943;2
1944;3
1945;2
1946;0
1947;2
1948;3
1949;0
1950;6
1951;1
1952;1
1953;0
1954;0
1955;4
1956;0
1957;3
1958;0
1959;0
1960;3
1961;1
1962;0
1963;2
1964;0
1965;1
1966;0
1967;0
1968;1
1969;2
1970;6
1971;1
1972;1
1973;0
1974;0
1975;1
1976;1
1977;0
1978;2
1979;0
1980;3
1981;0
1982;2
1983;2
1984;1
1985;3
1986;1
1987;3
1988;0
1989;0
1990;8
1991;1
1992;1
1993;1
1994;0
1995;6
1996;0
1997;0
1998;1
1999;0
2000;9
2001;0
2002;1
2003;1
2004;0
2005;5
2006;4
2007;1
2008;1
2009;1
2010;7
2011;0
2012;0
2013;1
2014;1
2015;2
2016;0
2017;1
2018;0
2019;0
2020;5
2021;0
2022;1
2023;0
2024;1
2025;9
2026;0
2027;1
2028;1
2029;2
2030;1
2031;1
2032;0
2033;3
2034;0
2035;3
2036;0
2037;2
2038;2
2039;1
2040;4
2041;0
2042;2
2043;1
2044;0
2045;3
2046;1
2047;2
2048;2
2049;1
2050;3
2051;1
2052;0
2053;0
2054;1
2055;6
2056;2
2057;1
2058;0
2059;0
2060;5
2061;0
2062;1
2063;0
2064;0
2065;6
2066;2
2067;1
2068;3
2069;0
2070;3
2071;0
2072;1
2073;0
2074;0
2075;4
2076;3
2077;1
2078;1
2079;3
2080;9
2081;2
2082;1
2083;3
2084;0
2085;3
2086;1
2087;0
2088;1
2089;1
2090;5
2091;0
2092;1
2093;0
2094;0
2095;2
2096;1
2097;1
2098;0
2099;1
2100;3
