Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;0
0;Grundnutzen;2;2;-1.236525482
0;Grundnutzen;3;3;-1.720788142
0;Grundnutzen;4;4;-1.64739463
1;anzakt_woche_w;1;1;0
1;anzakt_woche_w;2;2;-0.038670928
1;anzakt_woche_w;3;3;-0.061100721
1;anzakt_woche_w;4;4;-0.056992895
2;0;1;1;0
2;0;2;2;0
2;0;3;3;0
2;0;4;4;0
3;0;1;1;0
3;0;2;2;0
3;0;3;3;0
3;0;4;4;0
4;anzakt_woche_s;1;1;0
4;anzakt_woche_s;2;2;-0.048593071
4;anzakt_woche_s;3;3;-0.050490431
4;anzakt_woche_s;4;4;-0.109495884
5;anzakt_woche_t;1;1;0
5;anzakt_woche_t;2;2;0.2417177289
5;anzakt_woche_t;3;3;0.3177465399
5;anzakt_woche_t;4;4;0.3642464041
6;0;1;1;0
6;0;2;2;0
6;0;3;3;0
6;0;4;4;0
7;0;1;1;0
7;0;2;2;0
7;0;3;3;0
7;0;4;4;0
8;0;1;1;0
8;0;2;2;0
8;0;3;3;0
8;0;4;4;0
9;0;1;1;0
9;0;2;2;0
9;0;3;3;0
9;0;4;4;0
10;beruf_vollzeit;1;1;0
10;beruf_vollzeit;2;2;-0.249675277
10;beruf_vollzeit;3;3;-0.19336436
10;beruf_vollzeit;4;4;-0.620482821
11;beruf_teilzeit;1;1;0
11;beruf_teilzeit;2;2;-0.126356988
11;beruf_teilzeit;3;3;-0.070674582
11;beruf_teilzeit;4;4;-0.526804746
12;0;1;1;0
12;0;2;2;0
12;0;3;3;0
12;0;4;4;0
13;beruf_schueler;1;1;0
13;beruf_schueler;2;2;-0.790394073
13;beruf_schueler;3;3;-0.5535425
13;beruf_schueler;4;4;-0.58621497
14;0;1;1;0
14;0;2;2;0
14;0;3;3;0
14;0;4;4;0
15;tagemit_takt_1;1;1;0
15;tagemit_takt_1;2;2;-0.44811507
15;tagemit_takt_1;3;3;-0.309613768
15;tagemit_takt_1;4;4;-0.836501495
16;0;2;2;0
16;0;3;3;0
16;0;4;4;0
17;0;2;2;0
17;0;3;3;0
17;0;4;4;0
18;0;2;2;0
18;0;3;3;0
18;0;4;4;0
19;0;2;2;0
19;0;3;3;0
19;0;4;4;0
20;0;2;2;0
20;0;3;3;0
20;0;4;4;0
