Slot;Anzahl
2261;1
2262;3
2263;5
2264;2
2265;8
2266;1
2267;3
2268;1
2269;2
2270;6
2271;3
2272;1
2273;2
2274;3
2275;8
2276;2
2277;3
2278;2
2279;1
2280;9
2281;2
2282;1
2283;3
2284;2
2285;9
2286;3
2287;2
2288;2
2289;0
2290;8
2291;0
2292;3
2293;0
2294;2
2295;4
2296;4
2297;2
2298;3
2299;0
2300;7
2301;1
2302;1
2303;2
2304;0
2305;12
2306;3
2307;5
2308;0
2309;4
2310;9
2311;0
2312;3
2313;0
2314;1
2315;9
2316;1
2317;4
2318;2
2319;2
2320;6
2321;1
2322;0
2323;0
2324;2
2325;12
2326;3
2327;3
2328;2
2329;3
2330;7
2331;1
2332;1
2333;3
2334;0
2335;3
2336;3
2337;2
2338;1
2339;2
2340;10
2341;1
2342;1
2343;2
2344;3
2345;9
2346;3
2347;6
2348;2
2349;1
2350;13
2351;2
2352;5
2353;3
2354;0
2355;13
2356;1
2357;0
2358;1
2359;4
2360;7
2361;4
2362;0
2363;1
2364;3
2365;15
2366;2
2367;5
2368;3
2369;0
2370;9
2371;2
2372;2
2373;2
2374;2
2375;9
2376;5
2377;0
2378;3
2379;2
2380;8
2381;2
2382;2
2383;3
2384;0
2385;15
2386;2
2387;3
2388;2
2389;3
2390;8
2391;2
2392;4
2393;1
2394;2
2395;10
2396;2
2397;3
2398;1
2399;2
2400;16
2401;2
2402;0
2403;1
2404;2
2405;10
2406;1
2407;1
2408;4
2409;1
2410;11
2411;6
2412;2
2413;2
2414;2
2415;7
2416;2
2417;4
2418;0
2419;3
2420;11
2421;1
2422;6
2423;3
2424;3
2425;11
2426;0
2427;0
2428;3
2429;2
2430;13
2431;3
2432;3
2433;3
2434;2
2435;11
2436;2
2437;3
2438;3
2439;3
2440;7
2441;5
2442;5
2443;3
2444;1
2445;10
2446;3
2447;0
2448;3
2449;2
2450;8
2451;1
2452;2
2453;3
2454;1
2455;7
2456;4
2457;1
2458;3
2459;0
2460;15
2461;4
2462;3
2463;1
2464;2
2465;8
2466;3
2467;6
2468;2
2469;3
2470;11
2471;2
2472;3
2473;2
2474;2
2475;9
2476;1
2477;2
2478;2
2479;1
2480;10
2481;5
2482;2
2483;0
2484;3
2485;11
2486;3
2487;2
2488;3
2489;4
2490;14
2491;3
2492;2
2493;1
2494;4
2495;9
2496;2
2497;1
2498;4
2499;2
2500;12
2501;4
2502;5
2503;3
2504;1
2505;11
2506;2
2507;4
2508;1
2509;3
2510;8
2511;3
2512;6
2513;3
2514;5
2515;16
2516;1
2517;3
2518;0
2519;1
2520;13
2521;6
2522;5
2523;1
2524;3
2525;13
2526;2
2527;2
2528;7
2529;2
2530;10
2531;5
2532;3
2533;3
2534;4
2535;22
2536;3
2537;0
2538;4
2539;2
2540;5
2541;7
2542;2
2543;6
2544;3
2545;11
2546;5
2547;2
2548;2
2549;1
2550;20
2551;0
2552;7
2553;5
2554;1
2555;12
2556;2
2557;2
2558;3
2559;4
2560;14
2561;4
2562;4
2563;7
2564;1
2565;14
2566;3
2567;1
2568;3
2569;3
2570;6
2571;5
2572;4
2573;5
2574;0
2575;16
2576;3
2577;3
2578;2
2579;2
2580;11
2581;2
2582;2
2583;4
2584;4
2585;17
2586;0
2587;0
2588;3
2589;3
2590;17
2591;0
2592;5
2593;5
2594;3
2595;23
2596;2
2597;2
2598;3
2599;5
2600;19
2601;3
2602;2
2603;3
2604;3
2605;4
2606;3
2607;4
2608;2
2609;5
2610;22
2611;3
2612;7
2613;3
2614;3
2615;11
2616;3
2617;4
2618;2
2619;2
2620;12
2621;2
2622;3
2623;8
2624;6
2625;12
2626;2
2627;1
2628;3
2629;5
2630;16
2631;1
2632;2
2633;4
2634;4
2635;15
2636;3
2637;2
2638;2
2639;2
2640;13
2641;5
2642;3
2643;1
2644;3
2645;14
2646;2
2647;2
2648;3
2649;3
2650;16
2651;4
2652;4
2653;3
2654;1
2655;13
2656;1
2657;3
2658;5
2659;2
2660;15
2661;4
2662;2
2663;4
2664;5
2665;20
2666;1
2667;2
2668;1
2669;3
2670;16
2671;1
2672;3
2673;1
2674;3
2675;7
2676;5
2677;3
2678;3
2679;2
2680;8
2681;2
2682;3
2683;0
2684;1
2685;12
2686;3
2687;1
2688;4
2689;0
2690;8
2691;4
2692;1
2693;3
2694;5
2695;14
2696;2
2697;5
2698;5
2699;2
2700;26
