Slot;Anzahl
1201;0
1202;0
1203;0
1204;0
1205;0
1206;0
1207;0
1208;1
1209;0
1210;1
1211;0
1212;0
1213;0
1214;0
1215;1
1216;2
1217;0
1218;0
1219;1
1220;2
1221;0
1222;0
1223;0
1224;0
1225;2
1226;1
1227;0
1228;0
1229;3
1230;2
1231;0
1232;0
1233;0
1234;0
1235;3
1236;1
1237;0
1238;1
1239;2
1240;2
1241;0
1242;0
1243;0
1244;0
1245;1
1246;1
1247;0
1248;0
1249;1
1250;1
1251;0
1252;1
1253;0
1254;0
1255;1
1256;0
1257;0
1258;0
1259;0
1260;3
1261;1
1262;0
1263;1
1264;1
1265;2
1266;0
1267;0
1268;0
1269;1
1270;0
1271;0
1272;0
1273;1
1274;0
1275;2
1276;0
1277;1
1278;0
1279;2
1280;2
1281;0
1282;0
1283;0
1284;0
1285;4
1286;0
1287;0
1288;0
1289;0
1290;3
1291;1
1292;1
1293;2
1294;0
1295;3
1296;1
1297;0
1298;0
1299;0
1300;5
1301;0
1302;0
1303;3
1304;1
1305;3
1306;1
1307;0
1308;0
1309;0
1310;7
1311;0
1312;0
1313;0
1314;0
1315;2
1316;3
1317;1
1318;0
1319;1
1320;3
1321;1
1322;3
1323;0
1324;0
1325;4
1326;1
1327;0
1328;0
1329;0
1330;4
1331;0
1332;1
1333;1
1334;0
1335;2
1336;2
1337;1
1338;1
1339;0
1340;2
1341;0
1342;1
1343;0
1344;0
1345;1
1346;0
1347;0
1348;0
1349;1
1350;1
1351;1
1352;0
1353;1
1354;0
1355;2
1356;0
1357;2
1358;1
1359;0
1360;1
1361;0
1362;0
1363;1
1364;0
1365;8
1366;0
1367;3
1368;0
1369;0
1370;1
1371;1
1372;1
1373;0
1374;0
1375;4
1376;0
1377;1
1378;0
1379;1
1380;3
1381;0
1382;1
1383;0
1384;0
1385;4
1386;1
1387;0
1388;0
1389;0
1390;4
1391;0
1392;1
1393;0
1394;1
1395;0
1396;2
1397;0
1398;1
1399;0
1400;3
1401;0
1402;1
1403;1
1404;0
1405;1
1406;1
1407;0
1408;2
1409;0
1410;2
1411;0
1412;1
1413;0
1414;0
1415;2
1416;0
1417;0
1418;0
1419;0
1420;9
1421;1
1422;0
1423;0
1424;1
1425;4
1426;1
1427;0
1428;1
1429;0
1430;1
1431;2
1432;2
1433;0
1434;0
1435;3
1436;3
1437;0
1438;0
1439;0
1440;4
1441;1
1442;0
1443;0
1444;1
1445;1
1446;1
1447;0
1448;1
1449;1
1450;4
1451;2
1452;3
1453;0
1454;0
1455;5
1456;0
1457;1
1458;1
1459;1
1460;4
1461;0
1462;0
1463;0
1464;1
1465;3
1466;0
1467;0
1468;0
1469;0
1470;1
1471;0
1472;2
1473;2
1474;0
1475;3
1476;2
1477;1
1478;0
1479;1
1480;4
1481;0
1482;0
1483;0
1484;2
1485;5
1486;2
1487;2
1488;0
1489;0
1490;4
1491;0
1492;0
1493;0
1494;2
1495;6
1496;2
1497;1
1498;1
1499;1
1500;11
