Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
2101;0;0;0;0
2102;0;0;0;0
2103;3;3;0.0089820359;0.0089820359
2104;0;3;0;0.0089820359
2105;4;7;0.0119760479;0.0209580838
2106;0;7;0;0.0209580838
2107;1;8;0.002994012;0.0239520958
2108;2;10;0.005988024;0.0299401198
2109;1;11;0.002994012;0.0329341317
2110;3;14;0.0089820359;0.0419161677
2111;0;14;0;0.0419161677
2112;0;14;0;0.0419161677
2113;2;16;0.005988024;0.0479041916
2114;1;17;0.002994012;0.0508982036
2115;0;17;0;0.0508982036
2116;2;19;0.005988024;0.0568862275
2117;1;20;0.002994012;0.0598802395
2118;2;22;0.005988024;0.0658682635
2119;0;22;0;0.0658682635
2120;1;23;0.002994012;0.0688622754
2121;0;23;0;0.0688622754
2122;0;23;0;0.0688622754
2123;1;24;0.002994012;0.0718562874
2124;1;25;0.002994012;0.0748502994
2125;4;29;0.0119760479;0.0868263473
2126;0;29;0;0.0868263473
2127;0;29;0;0.0868263473
2128;0;29;0;0.0868263473
2129;0;29;0;0.0868263473
2130;6;35;0.0179640719;0.1047904192
2131;0;35;0;0.1047904192
2132;0;35;0;0.1047904192
2133;0;35;0;0.1047904192
2134;0;35;0;0.1047904192
2135;4;39;0.0119760479;0.1167664671
2136;1;40;0.002994012;0.119760479
2137;0;40;0;0.119760479
2138;0;40;0;0.119760479
2139;0;40;0;0.119760479
2140;2;42;0.005988024;0.125748503
2141;1;43;0.002994012;0.128742515
2142;0;43;0;0.128742515
2143;0;43;0;0.128742515
2144;0;43;0;0.128742515
2145;2;45;0.005988024;0.1347305389
2146;1;46;0.002994012;0.1377245509
2147;2;48;0.005988024;0.1437125749
2148;1;49;0.002994012;0.1467065868
2149;0;49;0;0.1467065868
2150;4;53;0.0119760479;0.1586826347
2151;1;54;0.002994012;0.1616766467
2152;0;54;0;0.1616766467
2153;1;55;0.002994012;0.1646706587
2154;1;56;0.002994012;0.1676646707
2155;4;60;0.0119760479;0.1796407186
2156;1;61;0.002994012;0.1826347305
2157;0;61;0;0.1826347305
2158;1;62;0.002994012;0.1856287425
2159;0;62;0;0.1856287425
2160;6;68;0.0179640719;0.2035928144
2161;1;69;0.002994012;0.2065868263
2162;0;69;0;0.2065868263
2163;1;70;0.002994012;0.2095808383
2164;0;70;0;0.2095808383
2165;7;77;0.0209580838;0.2305389222
2166;1;78;0.002994012;0.2335329341
2167;1;79;0.002994012;0.2365269461
2168;0;79;0;0.2365269461
2169;0;79;0;0.2365269461
2170;3;82;0.0089820359;0.245508982
2171;0;82;0;0.245508982
2172;2;84;0.005988024;0.251497006
2173;1;85;0.002994012;0.254491018
2174;1;86;0.002994012;0.2574850299
2175;0;86;0;0.2574850299
2176;0;86;0;0.2574850299
2177;0;86;0;0.2574850299
2178;0;86;0;0.2574850299
2179;1;87;0.002994012;0.2604790419
2180;4;91;0.0119760479;0.2724550898
2181;0;91;0;0.2724550898
2182;0;91;0;0.2724550898
2183;0;91;0;0.2724550898
2184;0;91;0;0.2724550898
2185;3;94;0.0089820359;0.2814371257
2186;1;95;0.002994012;0.2844311377
2187;1;96;0.002994012;0.2874251497
2188;1;97;0.002994012;0.2904191617
2189;0;97;0;0.2904191617
2190;3;100;0.0089820359;0.2994011976
2191;0;100;0;0.2994011976
2192;0;100;0;0.2994011976
2193;0;100;0;0.2994011976
2194;1;101;0.002994012;0.3023952096
2195;3;104;0.0089820359;0.3113772455
2196;0;104;0;0.3113772455
2197;1;105;0.002994012;0.3143712575
2198;0;105;0;0.3143712575
2199;1;106;0.002994012;0.3173652695
2200;4;110;0.0119760479;0.3293413174
2201;1;111;0.002994012;0.3323353293
2202;0;111;0;0.3323353293
2203;0;111;0;0.3323353293
2204;0;111;0;0.3323353293
2205;2;113;0.005988024;0.3383233533
2206;0;113;0;0.3383233533
2207;0;113;0;0.3383233533
2208;1;114;0.002994012;0.3413173653
2209;0;114;0;0.3413173653
2210;1;115;0.002994012;0.3443113772
2211;0;115;0;0.3443113772
2212;1;116;0.002994012;0.3473053892
2213;0;116;0;0.3473053892
2214;0;116;0;0.3473053892
2215;0;116;0;0.3473053892
2216;0;116;0;0.3473053892
2217;0;116;0;0.3473053892
2218;0;116;0;0.3473053892
2219;0;116;0;0.3473053892
2220;2;118;0.005988024;0.3532934132
2221;1;119;0.002994012;0.3562874251
2222;0;119;0;0.3562874251
2223;2;121;0.005988024;0.3622754491
2224;0;121;0;0.3622754491
2225;2;123;0.005988024;0.3682634731
2226;0;123;0;0.3682634731
2227;0;123;0;0.3682634731
2228;0;123;0;0.3682634731
2229;0;123;0;0.3682634731
2230;4;127;0.0119760479;0.380239521
2231;0;127;0;0.380239521
2232;0;127;0;0.380239521
2233;1;128;0.002994012;0.3832335329
2234;2;130;0.005988024;0.3892215569
2235;3;133;0.0089820359;0.3982035928
2236;1;134;0.002994012;0.4011976048
2237;0;134;0;0.4011976048
2238;0;134;0;0.4011976048
2239;0;134;0;0.4011976048
2240;3;137;0.0089820359;0.4101796407
2241;0;137;0;0.4101796407
2242;0;137;0;0.4101796407
2243;0;137;0;0.4101796407
2244;0;137;0;0.4101796407
2245;1;138;0.002994012;0.4131736527
2246;0;138;0;0.4131736527
2247;0;138;0;0.4131736527
2248;0;138;0;0.4131736527
2249;0;138;0;0.4131736527
2250;1;139;0.002994012;0.4161676647
2251;2;141;0.005988024;0.4221556886
2252;0;141;0;0.4221556886
2253;0;141;0;0.4221556886
2254;1;142;0.002994012;0.4251497006
2255;1;143;0.002994012;0.4281437126
2256;1;144;0.002994012;0.4311377246
2257;0;144;0;0.4311377246
2258;1;145;0.002994012;0.4341317365
2259;1;146;0.002994012;0.4371257485
2260;0;146;0;0.4371257485
2261;1;147;0.002994012;0.4401197605
2262;1;148;0.002994012;0.4431137725
2263;0;148;0;0.4431137725
2264;0;148;0;0.4431137725
2265;1;149;0.002994012;0.4461077844
2266;0;149;0;0.4461077844
2267;0;149;0;0.4461077844
2268;0;149;0;0.4461077844
2269;0;149;0;0.4461077844
