Slot;Anzahl
600;54
601;12
602;8
603;5
604;12
605;41
606;9
607;8
608;7
609;5
610;28
611;11
612;7
613;8
614;6
615;41
616;7
617;10
618;7
619;9
620;38
621;15
622;11
623;7
624;4
625;29
626;10
627;9
628;9
629;9
630;39
631;9
632;10
633;10
634;4
635;40
636;9
637;13
638;12
639;7
640;25
641;7
642;8
643;13
644;6
645;37
646;12
647;6
648;5
649;5
650;41
651;11
652;13
653;8
654;5
655;39
656;5
657;5
658;5
659;5
660;45
661;3
662;4
663;9
664;7
665;40
666;9
667;9
668;8
669;6
670;34
671;10
672;9
673;4
674;6
675;39
676;8
677;11
678;7
679;4
680;35
681;13
682;9
683;4
684;4
685;29
686;6
687;9
688;6
689;5
690;38
691;16
692;8
693;2
694;5
695;26
696;11
697;10
698;13
699;7
700;42
701;8
702;4
703;12
704;4
705;34
706;6
707;8
708;4
709;9
710;32
711;8
712;10
713;9
714;5
715;26
716;6
717;9
718;3
719;14
720;37
721;11
722;4
723;8
724;4
725;28
726;8
727;10
728;5
729;2
730;29
731;9
732;9
733;8
734;4
735;40
736;3
737;10
738;4
739;3
740;35
741;4
742;11
743;4
744;2
745;24
746;5
747;4
748;7
749;8
750;30
751;11
752;4
753;8
754;8
755;28
756;8
757;7
758;5
759;7
760;29
761;8
762;7
763;4
764;5
765;31
766;12
767;7
768;4
769;5
770;25
771;6
772;11
773;5
774;2
775;24
776;7
777;7
778;5
779;6
780;28
781;5
782;8
783;7
784;2
785;29
786;10
787;4
788;5
789;6
790;18
791;5
792;4
793;7
794;3
795;25
796;7
797;9
798;7
799;7
800;26
801;4
802;4
803;11
804;3
805;13
806;5
807;10
808;7
809;4
810;24
811;9
812;5
813;9
814;6
815;22
816;7
817;6
818;6
819;3
820;23
821;7
822;11
823;6
824;5
825;32
826;7
827;7
828;4
829;7
830;24
831;13
832;6
833;6
834;7
835;25
836;5
837;5
838;3
839;6
840;28
841;5
842;5
843;5
844;5
845;18
846;11
847;7
848;4
849;0
850;22
851;6
852;4
853;4
854;4
855;21
856;7
857;7
858;4
859;7
860;24
861;9
862;6
863;6
864;4
865;25
866;6
867;8
868;7
869;1
870;22
871;5
872;5
873;8
874;4
875;20
876;7
877;5
878;8
879;2
880;18
881;12
882;4
883;4
884;5
885;13
886;3
887;8
888;4
889;8
890;23
891;3
892;9
893;5
894;5
895;25
896;7
897;3
898;5
899;5
900;23
901;10
902;7
903;0
904;10
905;27
906;5
907;6
908;9
909;7
910;15
911;5
912;5
913;6
914;7
915;20
916;5
917;5
918;6
919;6
920;17
921;7
922;8
923;8
924;4
925;21
926;6
927;7
928;6
929;2
930;22
931;5
932;4
933;6
934;2
935;22
936;6
937;4
938;5
939;5
940;17
941;13
942;6
943;8
944;2
945;27
946;5
947;4
948;4
949;5
950;18
951;3
952;8
953;4
954;6
955;15
956;8
957;3
958;8
959;2
960;19
961;4
962;4
963;8
964;2
965;20
966;5
967;5
968;4
969;4
970;21
971;7
972;3
973;5
974;5
975;18
976;7
977;8
978;4
979;3
980;20
981;5
982;5
983;5
984;6
985;16
986;7
987;6
988;4
989;3
990;16
991;6
992;6
993;4
994;5
995;10
996;4
997;2
998;3
999;8
1000;21
1001;6
1002;4
1003;6
1004;3
1005;19
1006;7
1007;1
1008;7
1009;6
1010;19
1011;5
1012;1
1013;3
1014;2
1015;18
1016;5
1017;5
1018;5
1019;4
1020;12
1021;5
1022;4
1023;7
1024;1
1025;12
1026;8
1027;2
1028;4
1029;4
1030;23
1031;9
1032;8
1033;2
1034;2
1035;15
1036;3
1037;7
1038;6
1039;2
1040;23
1041;2
1042;7
1043;3
1044;4
1045;15
1046;4
1047;8
1048;4
1049;1
1050;18
1051;1
1052;1
1053;5
1054;2
1055;18
1056;10
1057;4
1058;6
1059;2
1060;11
1061;4
1062;4
1063;2
1064;7
1065;14
1066;3
1067;7
1068;0
1069;5
1070;13
1071;5
1072;2
1073;6
1074;3
1075;16
1076;3
1077;4
1078;3
1079;3
1080;14
1081;5
1082;5
1083;3
1084;2
1085;7
1086;5
1087;5
1088;1
1089;1
1090;11
1091;2
1092;4
1093;3
1094;7
1095;13
1096;5
1097;4
1098;2
1099;3
1100;12
1101;4
1102;1
1103;4
1104;3
1105;14
1106;3
1107;6
1108;4
1109;3
1110;19
1111;2
1112;3
1113;5
1114;3
1115;15
1116;4
1117;7
1118;7
1119;0
1120;12
1121;2
1122;2
1123;5
1124;4
1125;11
1126;6
1127;5
1128;4
1129;0
1130;16
1131;4
1132;9
1133;4
1134;4
1135;11
1136;2
1137;2
1138;4
1139;2
1140;17
1141;5
1142;4
1143;5
1144;3
1145;12
1146;3
1147;4
1148;4
1149;4
1150;9
1151;3
1152;2
1153;2
1154;4
1155;11
1156;2
1157;1
1158;3
1159;3
1160;7
1161;5
1162;4
1163;2
1164;4
1165;6
1166;2
1167;2
1168;3
1169;1
1170;10
1171;4
1172;3
1173;2
1174;3
1175;12
1176;3
1177;1
1178;2
1179;4
1180;8
1181;1
1182;3
1183;0
1184;3
1185;11
1186;5
1187;4
1188;1
1189;0
1190;17
1191;4
1192;3
1193;4
1194;3
1195;8
1196;1
1197;3
1198;4
1199;4
