Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
60;2425;2425;0.1409146377;0.1409146377
61;85;2510;0.004939276;0.1458539136
62;112;2622;0.0065082224;0.1523621361
63;135;2757;0.0078447324;0.1602068685
64;85;2842;0.004939276;0.1651461445
65;1091;3933;0.0633970597;0.2285432041
66;90;4023;0.0052298216;0.2337730257
67;127;4150;0.0073798594;0.2411528851
68;143;4293;0.0083096054;0.2494624906
69;78;4371;0.0045325121;0.2539950026
70;1285;5656;0.0746702307;0.3286652333
71;70;5726;0.004067639;0.3327328723
72;112;5838;0.0065082224;0.3392410948
73;82;5920;0.0047649486;0.3440060433
74;97;6017;0.0056365855;0.3496426289
75;1470;7487;0.0854204195;0.4350630484
76;60;7547;0.0034865477;0.4385495961
77;108;7655;0.0062757859;0.4448253821
78;89;7744;0.0051717125;0.4499970945
79;64;7808;0.0037189843;0.4537160788
80;1047;8855;0.060840258;0.5145563368
81;75;8930;0.0043581847;0.5189145215
82;96;9026;0.0055784764;0.5244929978
83;93;9119;0.005404149;0.5298971468
84;56;9175;0.0032541112;0.5331512581
85;766;9941;0.0445115928;0.5776628508
86;52;9993;0.0030216747;0.5806845255
87;82;10075;0.0047649486;0.5854494741
88;83;10158;0.0048230577;0.5902725318
89;54;10212;0.003137893;0.5934104248
90;1686;11898;0.0979719914;0.6913824162
91;42;11940;0.0024405834;0.6938229996
92;77;12017;0.0044744029;0.6982974025
93;77;12094;0.0044744029;0.7027718055
94;48;12142;0.0027892382;0.7055610436
95;637;12779;0.0370155151;0.7425765588
96;64;12843;0.0037189843;0.746295543
97;77;12920;0.0044744029;0.750769946
98;73;12993;0.0042419664;0.7550119124
99;50;13043;0.0029054564;0.7579173688
100;909;13952;0.0528211982;0.810738567
101;48;14000;0.0027892382;0.8135278052
102;75;14075;0.0043581847;0.8178859899
103;58;14133;0.0033703295;0.8212563194
104;48;14181;0.0027892382;0.8240455576
105;995;15176;0.0578185833;0.8818641409
106;45;15221;0.0026149108;0.8844790517
107;66;15287;0.0038352025;0.8883142542
108;84;15371;0.0048811668;0.893195421
109;48;15419;0.0027892382;0.8959846592
110;801;16220;0.0465454123;0.9425300715
111;44;16264;0.0025568017;0.9450868731
112;59;16323;0.0034284386;0.9485153118
113;65;16388;0.0037770934;0.9522924051
114;41;16429;0.0023824743;0.9546748794
115;563;16992;0.0327154396;0.987390319
116;45;17037;0.0026149108;0.9900052298
117;55;17092;0.0031960021;0.9932012319
118;79;17171;0.0045906212;0.9977918531
119;38;17209;0.0022081469;1
