Slot;Anzahl
240;744
241;24
242;44
243;50
244;33
245;369
246;37
247;55
248;41
249;35
250;470
251;35
252;40
253;50
254;26
255;484
256;31
257;49
258;39
259;29
260;439
261;28
262;43
263;39
264;39
265;399
266;45
267;45
268;37
269;38
270;714
271;32
272;64
273;36
274;40
275;397
276;26
277;46
278;63
279;30
280;469
281;44
282;56
283;60
284;44
285;557
286;34
287;55
288;50
289;29
290;403
291;30
292;44
293;49
294;30
295;362
296;33
297;47
298;40
299;29
