Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;0
0;Grundnutzen;2;2;5.5848695685
0;Grundnutzen;3;3;7.0578676904
0;Grundnutzen;4;4;7.8651176576
0;Grundnutzen;5;5;7.555353036
0;Grundnutzen;6;6;6.0271554917
0;Grundnutzen;7;7;3.1323833553
0;Grundnutzen;8;8;-0.450420999
0;Grundnutzen;9;9;0.6949033349
0;Grundnutzen;10;10;0.5622185488
0;Grundnutzen;11;11;0.7991571634
0;Grundnutzen;12;12;3.2678052177
0;Grundnutzen;13;13;-1.299745719
0;Grundnutzen;14;14;7.0177645431
0;Grundnutzen;15;15;-5.013272551
1;mittl_zeit_akt_1bis14min;1;1;0
1;mittl_zeit_akt_1bis14min;2;2;-2.481551505
1;mittl_zeit_akt_1bis14min;3;3;-4.251098955
1;mittl_zeit_akt_1bis14min;4;4;-6.078173461
1;mittl_zeit_akt_1bis14min;5;5;-8.42774047
1;mittl_zeit_akt_1bis14min;6;6;-9.730723312
1;mittl_zeit_akt_1bis14min;7;7;-5.96493681
1;mittl_zeit_akt_1bis14min;8;8;-6.82587831
1;mittl_zeit_akt_1bis14min;9;9;-8.10300956
1;mittl_zeit_akt_1bis14min;10;10;-9.038507483
1;mittl_zeit_akt_1bis14min;11;11;-7.544827535
1;mittl_zeit_akt_1bis14min;12;12;-7.283385853
1;mittl_zeit_akt_1bis14min;13;13;-3.989886001
1;mittl_zeit_akt_1bis14min;14;14;-9.266593342
1;mittl_zeit_akt_1bis14min;15;15;-16.39398888
2;mittl_zeit_akt_15bis29min;1;1;0
2;mittl_zeit_akt_15bis29min;2;2;-1.429613895
2;mittl_zeit_akt_15bis29min;3;3;-2.500401067
2;mittl_zeit_akt_15bis29min;4;4;-4.090812396
2;mittl_zeit_akt_15bis29min;5;5;-5.673007292
2;mittl_zeit_akt_15bis29min;6;6;-8.289593902
2;mittl_zeit_akt_15bis29min;7;7;-5.607221783
2;mittl_zeit_akt_15bis29min;8;8;-6.116452124
2;mittl_zeit_akt_15bis29min;9;9;-6.895710474
2;mittl_zeit_akt_15bis29min;10;10;-7.942971847
2;mittl_zeit_akt_15bis29min;11;11;-6.839174082
2;mittl_zeit_akt_15bis29min;12;12;-6.083555864
2;mittl_zeit_akt_15bis29min;13;13;-3.249236861
2;mittl_zeit_akt_15bis29min;14;14;-7.467872345
2;mittl_zeit_akt_15bis29min;15;15;-9.563969456
3;mittl_zeit_akt_30bis59min;1;1;0
3;mittl_zeit_akt_30bis59min;2;2;-1.370435979
3;mittl_zeit_akt_30bis59min;3;3;-1.673694247
3;mittl_zeit_akt_30bis59min;4;4;-2.645452877
3;mittl_zeit_akt_30bis59min;5;5;-3.849531985
3;mittl_zeit_akt_30bis59min;6;6;-4.933813908
3;mittl_zeit_akt_30bis59min;7;7;-5.277851346
3;mittl_zeit_akt_30bis59min;8;8;-5.565222424
3;mittl_zeit_akt_30bis59min;9;9;-6.196025625
3;mittl_zeit_akt_30bis59min;10;10;-6.856795448
3;mittl_zeit_akt_30bis59min;11;11;-6.534441282
3;mittl_zeit_akt_30bis59min;12;12;-6.123475131
3;mittl_zeit_akt_30bis59min;13;13;-2.784271933
3;mittl_zeit_akt_30bis59min;14;14;-6.789219412
3;mittl_zeit_akt_30bis59min;15;15;-6.919073763
4;mittl_zeit_akt_60bis119min;1;1;0
4;mittl_zeit_akt_60bis119min;2;2;-1.315193657
4;mittl_zeit_akt_60bis119min;3;3;-1.43999208
4;mittl_zeit_akt_60bis119min;4;4;-1.563175028
4;mittl_zeit_akt_60bis119min;5;5;-2.272346059
4;mittl_zeit_akt_60bis119min;6;6;-3.24301254
4;mittl_zeit_akt_60bis119min;7;7;-3.973415884
4;mittl_zeit_akt_60bis119min;8;8;-4.142067936
4;mittl_zeit_akt_60bis119min;9;9;-4.621463417
4;mittl_zeit_akt_60bis119min;10;10;-5.274113839
4;mittl_zeit_akt_60bis119min;11;11;-4.982898653
4;mittl_zeit_akt_60bis119min;12;12;-4.748104805
4;mittl_zeit_akt_60bis119min;13;13;-1.945159699
4;mittl_zeit_akt_60bis119min;14;14;-5.40022175
4;mittl_zeit_akt_60bis119min;15;15;-4.990596246
5;mittl_zeit_akt_120bis179min;1;1;0
5;mittl_zeit_akt_120bis179min;2;2;-1.372807284
5;mittl_zeit_akt_120bis179min;3;3;-1.467282466
5;mittl_zeit_akt_120bis179min;4;4;-1.357173907
5;mittl_zeit_akt_120bis179min;5;5;-1.463313466
5;mittl_zeit_akt_120bis179min;6;6;-2.127589242
5;mittl_zeit_akt_120bis179min;7;7;-2.829315819
5;mittl_zeit_akt_120bis179min;8;8;-3.395059906
5;mittl_zeit_akt_120bis179min;9;9;-3.732766305
