paramname;in;alternative;contextIdentifier
mittl_zeit_akt_1bis14min;yes;no;activity
mittl_zeit_akt_15bis29min;yes;no;activity
mittl_zeit_akt_30bis59min;yes;no;activity
mittl_zeit_akt_60bis119min;yes;no;activity
mittl_zeit_akt_120bis179min;yes;no;activity
mittl_zeit_akt_180bis239min;yes;no;activity
tag_fr;yes;no;day
tag_sa;yes;no;day
tag_so;yes;no;day
anzaktwieanztagemitzweck;yes;no;activity
aktzweck_work;yes;no;activity
aktzweck_education;yes;no;activity
aktzweck_shopping;yes;no;activity
aktzweck_transport;yes;no;activity
wochenzbudget_zweck_kat1;yes;no;activity
wochenzbudget_zweck_kat2;yes;no;activity
wochenzbudget_zweck_kat3;yes;no;activity
wochenzbudget_zweck_kat4;yes;no;activity
wochenzbudget_zweck_kat5;yes;no;activity
tourhat1akt;yes;no;tour
tourhat2akt;yes;no;tour
tourhat3akt;yes;no;tour
taghat2akt;yes;no;day
taghat3akt;yes;no;day
letztetourdestages;yes;no;tour
taghat2touren;yes;no;day
beruf_vollzeit;yes;no;default
beruf_teilzeit;yes;no;default
beruf_schueler_azubi;yes;no;default
tourliegtvorhaupttour;yes;no;tour
tourliegtnachhaupttour;yes;no;tour
1;no;yes;activity
2;no;yes;activity
3;no;yes;activity
4;no;yes;activity
5;no;yes;activity
6;no;yes;activity
7;no;yes;activity
8;no;yes;activity
9;no;yes;activity
10;no;yes;activity
11;no;yes;activity
12;no;yes;activity
13;no;yes;activity
14;no;yes;activity
15;no;yes;activity
