Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;0
Grundnutzen;2;-0.5672
Grundnutzen;3;0.2095
Grundnutzen;4;0.6407
Grundnutzen;5;-0.1102
Grundnutzen;6;-1.6345
Grundnutzen;7;-10.0325
Grundnutzen;8;-11.6719
Grundnutzen;9;-13.6203
Grundnutzen;10;-15.2629
Grundnutzen;11;-14.4972
Grundnutzen;12;-15.0095
Grundnutzen;13;-17.4957
Grundnutzen;14;-16.4033
Grundnutzen;15;-15.6044
dauer_hauptakt_tag_4bis6std;1;0
dauer_hauptakt_tag_4bis6std;2;0.1687
dauer_hauptakt_tag_4bis6std;3;0.1345
dauer_hauptakt_tag_4bis6std;4;0.2311
dauer_hauptakt_tag_4bis6std;5;0.7024
dauer_hauptakt_tag_4bis6std;6;1.7693
dauer_hauptakt_tag_4bis6std;7;9.2974
dauer_hauptakt_tag_4bis6std;8;8.5462
dauer_hauptakt_tag_4bis6std;9;-0.5717
dauer_hauptakt_tag_4bis6std;10;-0.1639
dauer_hauptakt_tag_4bis6std;11;0.0493
dauer_hauptakt_tag_4bis6std;12;-0.0779
dauer_hauptakt_tag_4bis6std;13;0.6924
dauer_hauptakt_tag_4bis6std;14;1.3670
dauer_hauptakt_tag_4bis6std;15;2.3993
dauer_hauptakt_tag_6bis8std;1;0
dauer_hauptakt_tag_6bis8std;2;0.1458
dauer_hauptakt_tag_6bis8std;3;0.0523
dauer_hauptakt_tag_6bis8std;4;0.1809
dauer_hauptakt_tag_6bis8std;5;0.4896
dauer_hauptakt_tag_6bis8std;6;1.1678
dauer_hauptakt_tag_6bis8std;7;8.5565
dauer_hauptakt_tag_6bis8std;8;9.4057
dauer_hauptakt_tag_6bis8std;9;9.8408
dauer_hauptakt_tag_6bis8std;10;-0.2036
dauer_hauptakt_tag_6bis8std;11;0.0805
dauer_hauptakt_tag_6bis8std;12;0.0314
dauer_hauptakt_tag_6bis8std;13;0.7131
dauer_hauptakt_tag_6bis8std;14;1.6039
