paramname;in;alternative;contextIdentifier
dauer_hauptakt_tag_4bis6std;yes;no;day
dauer_hauptakt_tag_6bis8std;yes;no;day
dauer_hauptakt_tag_8bis10std;yes;no;day
dauer_hauptakt_tag_10bis12std;yes;no;day
dauer_hauptakt_tag_12bis14std;yes;no;day
dauer_hauptakt_tag_ueber14std;yes;no;day
mittl_zeit_akt_1bis14min;yes;no;activity
mittl_zeit_akt_15bis29min;yes;no;activity
mittl_zeit_akt_30bis59min;yes;no;activity
mittl_zeit_akt_60bis119min;yes;no;activity
tag_so;yes;no;day
aktzweck_work;yes;no;activity
aktzweck_education;yes;no;activity
aktzweck_shopping;yes;no;activity
aktzweck_transport;yes;no;activity
taghat2akt;yes;no;day
taghat3akt;yes;no;day
taghat4akt;yes;no;day
taghat5akt;yes;no;day
taghat6akt;yes;no;day
tourtyp_work;yes;no;tour
tourtyp_education;yes;no;tour
tourtyp_shopping;yes;no;tour
tourtyp_transport;yes;no;tour
tourhat2akt;yes;no;tour
taghat1tour;yes;no;day
taghat2touren;yes;no;day
aktliegtvorhauptakt;yes;no;activity
tourliegtvorhaupttour;yes;no;tour
tourliegtnachhaupttour;yes;no;tour
1;no;yes;activity
2;no;yes;activity
3;no;yes;activity
4;no;yes;activity
5;no;yes;activity
6;no;yes;activity
7;no;yes;activity
8;no;yes;activity
9;no;yes;activity
10;no;yes;activity
11;no;yes;activity
12;no;yes;activity
13;no;yes;activity
14;no;yes;activity
15;no;yes;activity
