Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;12;0
Grundnutzen;51;-2.766437294
Grundnutzen;52;-2.57451743
Grundnutzen;53;-0.645206293
Grundnutzen;77;-3.146367478
male;12;0
male;51;0.1445293042
male;52;0.3413755017
male;53;0.2419610472
male;77;0.2172644233
dauer_akt_1bis14;12;0
dauer_akt_1bis14;51;2.101891285
dauer_akt_1bis14;52;2.5309404534
dauer_akt_1bis14;53;1.6284011338
dauer_akt_1bis14;77;2.6091512942
dauer_akt_15bis29;12;0
dauer_akt_15bis29;51;2.3154657792
dauer_akt_15bis29;52;0.8405144155
dauer_akt_15bis29;53;0.4726584034
dauer_akt_15bis29;77;3.787194575
dauer_akt_30bis59;12;0
dauer_akt_30bis59;51;2.7086226904
dauer_akt_30bis59;52;1.5918438891
dauer_akt_30bis59;53;0.5591147908
dauer_akt_30bis59;77;4.1701640719
dauer_akt_60bis119;12;0
dauer_akt_60bis119;51;2.8153718411
dauer_akt_60bis119;52;2.8152537847
dauer_akt_60bis119;53;0.7071593538
dauer_akt_60bis119;77;3.7368507868
dauer_akt_120bis179;12;0
dauer_akt_120bis179;51;2.7883416872
dauer_akt_120bis179;52;2.4302877045
dauer_akt_120bis179;53;0.589526671
dauer_akt_120bis179;77;2.4818753084
dauer_akt_180bis239;12;0
dauer_akt_180bis239;51;2.6527901336
dauer_akt_180bis239;52;1.7609363853
dauer_akt_180bis239;53;0.3080660567
dauer_akt_180bis239;77;1.7165133093
dauer_akt_240bis299;12;0
dauer_akt_240bis299;51;2.2919877215
dauer_akt_240bis299;52;1.4630573777
dauer_akt_240bis299;53;0.1750667759
dauer_akt_240bis299;77;1.2872556284
dauer_akt_300bis359;12;0
dauer_akt_300bis359;51;1.8762518199
dauer_akt_300bis359;52;0.9692077674
dauer_akt_300bis359;53;-0.078394732
dauer_akt_300bis359;77;0.7538373102
dauer_akt_360bis419;12;0
dauer_akt_360bis419;51;1.5878339637
dauer_akt_360bis419;52;1.0864832332
dauer_akt_360bis419;53;-0.027641547
dauer_akt_360bis419;77;0.6996143118
dauer_akt_420bis479;12;0
dauer_akt_420bis479;51;1.6024227233
dauer_akt_420bis479;52;1.3177647999
dauer_akt_420bis479;53;0.4575751777
dauer_akt_420bis479;77;1.2007793817
dauer_akt_480bis539;12;0
dauer_akt_480bis539;51;1.1296077852
dauer_akt_480bis539;52;0.9628044007
dauer_akt_480bis539;53;0.3918022994
dauer_akt_480bis539;77;0.5935486441
beruf_vollzeit;12;0
beruf_vollzeit;51;0.1496374098
beruf_vollzeit;52;0.3501810879
beruf_vollzeit;53;-0.061908799
beruf_vollzeit;77;-0.210047231
beruf_teilzeit;12;0
beruf_teilzeit;51;-0.163681683
beruf_teilzeit;52;0.2494596991
beruf_teilzeit;53;0.0003328424
beruf_teilzeit;77;-0.175711477
beruf_schueler;12;0
beruf_schueler;51;0.1113729087
beruf_schueler;52;0.435069719
beruf_schueler;53;-0.1118205
beruf_schueler;77;-0.336683027
beruf_azubi;12;0
beruf_azubi;51;0.0653365015
beruf_azubi;52;0.2077062295
beruf_azubi;53;-0.029802565
beruf_azubi;77;-0.581721102
alter_10bis17;12;0
alter_10bis17;51;-0.776188504
alter_10bis17;52;0.0959883987
alter_10bis17;53;0.2423494173
alter_10bis17;77;-0.701484564
alter_18bis25;12;0
alter_18bis25;51;-0.545726132
alter_18bis25;52;-0.366165527
alter_18bis25;53;-0.011619669
alter_18bis25;77;-1.006417825
alter_26bis35;12;0
alter_26bis35;51;-0.206135992
alter_26bis35;52;-0.293658758
alter_26bis35;53;-0.264371355
alter_26bis35;77;-0.508392412
alter_51bis60;12;0
alter_51bis60;51;-0.055302506
alter_51bis60;52;-0.13842416
alter_51bis60;53;-0.092515535
alter_51bis60;77;0.0844479967
ersteaktamtag;12;0
ersteaktamtag;51;-0.313323556
ersteaktamtag;52;0.517765753
ersteaktamtag;53;0.3195040628
ersteaktamtag;77;0.3866045373
tag_fr;12;0
tag_fr;51;0.128503683
tag_fr;52;-0.24244693
tag_fr;53;-0.072258887
tag_fr;77;-0.068836128
tag_sa;12;0
tag_sa;51;0.0638182866
tag_sa;52;-0.672763949
tag_sa;53;-0.111644229
tag_sa;77;0.0662042136
tag_so;12;0
tag_so;51;0.2019479144
tag_so;52;-0.860955627
tag_so;53;-0.020516517
tag_so;77;0.378930083
