Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;0
Grundnutzen;2;-0.1337
Grundnutzen;3;1.1075
Grundnutzen;4;2.5469
Grundnutzen;5;3.8551
Grundnutzen;6;4.6217
Grundnutzen;7;4.4222
Grundnutzen;8;3.9128
Grundnutzen;9;3.3745
Grundnutzen;10;2.5423
Grundnutzen;11;1.0580
Grundnutzen;12;0.2472
Grundnutzen;13;-1.1733
Grundnutzen;14;-2.0173
Grundnutzen;15;-11.3856
Grundnutzen;16;-12.3619
beruf_vollzeit;1;0
beruf_vollzeit;2;-0.5086
beruf_vollzeit;3;0.3370
beruf_vollzeit;4;0.1945
beruf_vollzeit;5;-0.1356
beruf_vollzeit;6;-0.5320
beruf_vollzeit;7;-0.7762
beruf_vollzeit;8;-0.6891
beruf_vollzeit;9;-0.4841
beruf_vollzeit;10;-0.4873
beruf_vollzeit;11;-0.4555
beruf_vollzeit;12;-0.1517
beruf_vollzeit;13;0.00130
beruf_vollzeit;14;0.1364
beruf_vollzeit;15;0.8830
beruf_vollzeit;16;0.2040
beruf_teilzeit;1;0
beruf_teilzeit;2;0.3488
beruf_teilzeit;3;0.2542
beruf_teilzeit;4;0.2841
beruf_teilzeit;5;0.5127
beruf_teilzeit;6;0.3566
beruf_teilzeit;7;0.1406
beruf_teilzeit;8;0.1775
beruf_teilzeit;9;0.3306
beruf_teilzeit;10;0.3461
beruf_teilzeit;11;0.4846
beruf_teilzeit;12;0.7182
beruf_teilzeit;13;0.6637
beruf_teilzeit;14;0.8564
beruf_teilzeit;15;1.2153
beruf_teilzeit;16;0.2523
beruf_schueler;1;0
beruf_schueler;2;-0.4746
beruf_schueler;3;-1.8580
beruf_schueler;4;-0.9391
beruf_schueler;5;-0.7108
beruf_schueler;6;-1.4738
beruf_schueler;7;-1.2400
beruf_schueler;8;-0.9910
beruf_schueler;9;-0.5827
beruf_schueler;10;-0.4176
beruf_schueler;11;-0.2024
beruf_schueler;12;0.0672
beruf_schueler;13;0.1793
beruf_schueler;14;0.4140
beruf_schueler;15;1.3234
beruf_schueler;16;0.9094
beruf_azubi;1;0
beruf_azubi;2;-0.9165
beruf_azubi;3;-0.2363
beruf_azubi;4;-0.2845
beruf_azubi;5;-0.8763
beruf_azubi;6;-1.2926
beruf_azubi;7;-1.4138
beruf_azubi;8;-1.2435
beruf_azubi;9;-0.6785
beruf_azubi;10;-0.3720
beruf_azubi;11;-0.3618
beruf_azubi;12;0.2314
beruf_azubi;13;0.0348
beruf_azubi;14;0.6759
beruf_azubi;15;1.1697
beruf_azubi;16;-0.1246
tourtyp_work;1;0
tourtyp_work;2;1.6367
tourtyp_work;3;0.5191
tourtyp_work;4;0.2022
tourtyp_work;5;0.4169
tourtyp_work;6;-0.2514
tourtyp_work;7;-1.0895
tourtyp_work;8;-1.5961
tourtyp_work;9;-1.3508
tourtyp_work;10;-1.9024
tourtyp_work;11;-2.9762
tourtyp_work;12;-2.5225
tourtyp_work;13;-2.8277
tourtyp_work;14;-2.7890
tourtyp_work;15;-0.1342
tourtyp_work;16;-0.9661
tourtyp_education;1;0
tourtyp_education;2;8.2613
tourtyp_education;3;7.1522
tourtyp_education;4;8.4351
tourtyp_education;5;8.9852
tourtyp_education;6;7.3939
tourtyp_education;7;6.7033
tourtyp_education;8;6.3985
tourtyp_education;9;5.5946
tourtyp_education;10;4.9731
tourtyp_education;11;4.5461
tourtyp_education;12;4.9536
tourtyp_education;13;5.9255
tourtyp_education;14;6.1523
tourtyp_education;15;1.4912
tourtyp_education;16;-5.4409
tourtyp_shopping;1;0
tourtyp_shopping;2;0.7627
tourtyp_shopping;3;0.6589
tourtyp_shopping;4;2.0289
tourtyp_shopping;5;2.6062
tourtyp_shopping;6;2.6471
tourtyp_shopping;7;2.7512
tourtyp_shopping;8;2.8701
tourtyp_shopping;9;2.6825
tourtyp_shopping;10;1.9531
tourtyp_shopping;11;1.8940
tourtyp_shopping;12;1.9566
tourtyp_shopping;13;1.7132
tourtyp_shopping;14;0.7901
tourtyp_shopping;15;0.0826
tourtyp_shopping;16;-0.9766
tourtyp_transport;1;0
tourtyp_transport;2;-0.6238
tourtyp_transport;3;-1.0968
tourtyp_transport;4;-0.9277
tourtyp_transport;5;-0.3571
tourtyp_transport;6;-1.0950
tourtyp_transport;7;-2.0437
tourtyp_transport;8;-2.2687
tourtyp_transport;9;-1.5373
tourtyp_transport;10;-1.8545
tourtyp_transport;11;-1.6234
tourtyp_transport;12;-1.8063
tourtyp_transport;13;-1.6445
tourtyp_transport;14;-1.7908
tourtyp_transport;15;-0.8394
tourtyp_transport;16;-0.00958
tag_sa;1;0
tag_sa;2;-0.4974
tag_sa;3;-0.9762
tag_sa;4;-1.9285
tag_sa;5;-1.7439
tag_sa;6;-1.2557
tag_sa;7;-0.9428
tag_sa;8;-0.8001
tag_sa;9;-0.6900
tag_sa;10;-0.8794
tag_sa;11;-1.1237
tag_sa;12;-1.2944
tag_sa;13;-1.2800
tag_sa;14;-1.0871
tag_sa;15;-0.5850
tag_sa;16;-0.2761
tag_so;1;0
tag_so;2;-0.8705
tag_so;3;-1.6198
tag_so;4;-2.4587
tag_so;5;-2.4887
tag_so;6;-1.6240
tag_so;7;-1.0307
tag_so;8;-0.8625
tag_so;9;-0.6943
tag_so;10;-0.7709
tag_so;11;-0.9296
tag_so;12;-1.4320
tag_so;13;-1.6058
tag_so;14;-2.1213
tag_so;15;-1.6312
tag_so;16;-1.7526
dauer_akt_tag_4bis6std;1;0
dauer_akt_tag_4bis6std;2;-0.2188
dauer_akt_tag_4bis6std;3;0.2218
dauer_akt_tag_4bis6std;4;0.7858
dauer_akt_tag_4bis6std;5;1.0270
dauer_akt_tag_4bis6std;6;0.6486
dauer_akt_tag_4bis6std;7;0.6301
dauer_akt_tag_4bis6std;8;0.5215
dauer_akt_tag_4bis6std;9;0.5900
dauer_akt_tag_4bis6std;10;0.1695
dauer_akt_tag_4bis6std;11;-0.2582
dauer_akt_tag_4bis6std;12;-0.3337
dauer_akt_tag_4bis6std;13;-0.0220
dauer_akt_tag_4bis6std;14;-0.3291
dauer_akt_tag_4bis6std;15;-0.00895
dauer_akt_tag_4bis6std;16;0.2461
dauer_akt_tag_6bis8std;1;0
dauer_akt_tag_6bis8std;2;0.0332
dauer_akt_tag_6bis8std;3;1.0789
dauer_akt_tag_6bis8std;4;1.5311
dauer_akt_tag_6bis8std;5;1.4431
dauer_akt_tag_6bis8std;6;0.9674
dauer_akt_tag_6bis8std;7;0.7631
dauer_akt_tag_6bis8std;8;0.5331
dauer_akt_tag_6bis8std;9;0.4405
dauer_akt_tag_6bis8std;10;-0.3192
dauer_akt_tag_6bis8std;11;-0.7296
dauer_akt_tag_6bis8std;12;-1.2064
dauer_akt_tag_6bis8std;13;-1.3563
dauer_akt_tag_6bis8std;14;-1.4299
dauer_akt_tag_6bis8std;15;-0.8398
dauer_akt_tag_6bis8std;16;0.0153
dauer_akt_tag_8bis10std;1;0
dauer_akt_tag_8bis10std;2;0.2295
dauer_akt_tag_8bis10std;3;1.8665
dauer_akt_tag_8bis10std;4;1.8958
dauer_akt_tag_8bis10std;5;1.6668
dauer_akt_tag_8bis10std;6;1.0652
dauer_akt_tag_8bis10std;7;0.5666
dauer_akt_tag_8bis10std;8;0.0938
dauer_akt_tag_8bis10std;9;0.1122
dauer_akt_tag_8bis10std;10;-0.6882
dauer_akt_tag_8bis10std;11;-1.3569
dauer_akt_tag_8bis10std;12;-1.5084
dauer_akt_tag_8bis10std;13;-2.5462
dauer_akt_tag_8bis10std;14;-2.1335
dauer_akt_tag_8bis10std;15;0.8992
dauer_akt_tag_8bis10std;16;-0.0564
dauer_akt_tag_10bis12std;1;0
dauer_akt_tag_10bis12std;2;0.0628
dauer_akt_tag_10bis12std;3;1.2577
dauer_akt_tag_10bis12std;4;1.2736
dauer_akt_tag_10bis12std;5;0.8321
dauer_akt_tag_10bis12std;6;0.0481
dauer_akt_tag_10bis12std;7;-0.5794
dauer_akt_tag_10bis12std;8;-0.9776
dauer_akt_tag_10bis12std;9;-1.4073
dauer_akt_tag_10bis12std;10;-2.1059
dauer_akt_tag_10bis12std;11;-2.2945
dauer_akt_tag_10bis12std;12;-2.6798
dauer_akt_tag_10bis12std;13;-2.4981
dauer_akt_tag_10bis12std;14;-1.7101
dauer_akt_tag_10bis12std;15;-1.5157
dauer_akt_tag_10bis12std;16;-0.8193
dauer_akt_tag_12bis14std;1;0
dauer_akt_tag_12bis14std;2;0.3127
dauer_akt_tag_12bis14std;3;1.6419
dauer_akt_tag_12bis14std;4;1.4358
dauer_akt_tag_12bis14std;5;0.9095
dauer_akt_tag_12bis14std;6;0.2603
dauer_akt_tag_12bis14std;7;-0.4997
dauer_akt_tag_12bis14std;8;-1.1326
dauer_akt_tag_12bis14std;9;-1.2739
dauer_akt_tag_12bis14std;10;-1.9049
dauer_akt_tag_12bis14std;11;-1.8120
dauer_akt_tag_12bis14std;12;-1.2844
dauer_akt_tag_12bis14std;13;-0.9806
dauer_akt_tag_12bis14std;14;-1.3507
dauer_akt_tag_12bis14std;15;-1.6072
dauer_akt_tag_12bis14std;16;-0.5186
taghat1akt;1;0
taghat1akt;2;0.4699
taghat1akt;3;1.0225
taghat1akt;4;0.1961
taghat1akt;5;-0.0832
taghat1akt;6;-0.2261
taghat1akt;7;0.0974
taghat1akt;8;0.2553
taghat1akt;9;0.4333
taghat1akt;10;0.9673
taghat1akt;11;1.1439
taghat1akt;12;1.4283
taghat1akt;13;1.6995
taghat1akt;14;2.5463
taghat1akt;15;2.4330
taghat1akt;16;2.2672
taghat2akt;1;0
taghat2akt;2;0.2401
taghat2akt;3;0.5641
taghat2akt;4;-0.00715
taghat2akt;5;-0.1055
taghat2akt;6;-0.1947
taghat2akt;7;-0.0308
taghat2akt;8;0.0736
taghat2akt;9;0.1689
taghat2akt;10;0.4931
taghat2akt;11;0.5190
taghat2akt;12;0.7469
taghat2akt;13;0.7944
taghat2akt;14;1.2179
taghat2akt;15;0.5260
taghat2akt;16;0.8592
taghat3akt;1;0
taghat3akt;2;0.00617
taghat3akt;3;0.3040
taghat3akt;4;0.0532
taghat3akt;5;-0.0237
taghat3akt;6;-0.00978
taghat3akt;7;0.1814
taghat3akt;8;0.2287
taghat3akt;9;0.2511
taghat3akt;10;0.4294
taghat3akt;11;0.5060
taghat3akt;12;0.5932
taghat3akt;13;0.6316
taghat3akt;14;0.7188
taghat3akt;15;0.7394
taghat3akt;16;0.6487
taghat1tour;1;0
taghat1tour;2;-0.4016
taghat1tour;3;-0.8536
taghat1tour;4;-0.1057
taghat1tour;5;-0.0644
taghat1tour;6;0.4128
taghat1tour;7;0.7382
taghat1tour;8;1.1122
taghat1tour;9;1.6364
taghat1tour;10;2.6208
taghat1tour;11;3.0914
taghat1tour;12;3.7792
taghat1tour;13;4.9392
taghat1tour;14;6.1616
taghat1tour;15;11.8067
taghat1tour;16;10.8519
taghat2touren;1;0
taghat2touren;2;-0.1077
taghat2touren;3;-0.4556
taghat2touren;4;-0.1588
taghat2touren;5;-0.1046
taghat2touren;6;0.2266
taghat2touren;7;0.5701
taghat2touren;8;0.7600
taghat2touren;9;0.9721
taghat2touren;10;1.4083
taghat2touren;11;1.7569
taghat2touren;12;2.0921
taghat2touren;13;2.5840
taghat2touren;14;2.8645
taghat2touren;15;9.1358
taghat2touren;16;0.3718
haupttour_work;1;0
haupttour_work;2;-0.6176
haupttour_work;3;0.2378
haupttour_work;4;-0.2131
haupttour_work;5;-0.7481
haupttour_work;6;-0.9756
haupttour_work;7;-1.0114
haupttour_work;8;-0.9782
haupttour_work;9;-0.9828
haupttour_work;10;-0.6358
haupttour_work;11;-0.0325
haupttour_work;12;-0.3239
haupttour_work;13;-0.2651
haupttour_work;14;-0.5657
haupttour_work;15;-2.0321
haupttour_work;16;-0.9815
haupttour_education;1;0
haupttour_education;2;7.7944
haupttour_education;3;10.4759
haupttour_education;4;9.7669
haupttour_education;5;9.1624
haupttour_education;6;8.9596
haupttour_education;7;8.5223
haupttour_education;8;8.0052
haupttour_education;9;8.4825
haupttour_education;10;8.2707
haupttour_education;11;8.3581
haupttour_education;12;7.8933
haupttour_education;13;6.4602
haupttour_education;14;6.7978
haupttour_education;15;1.0188
haupttour_education;16;8.1348
touristhaupttour;1;0
touristhaupttour;2;0.7023
touristhaupttour;3;1.0535
touristhaupttour;4;1.1535
touristhaupttour;5;1.0441
touristhaupttour;6;0.8729
touristhaupttour;7;0.8928
touristhaupttour;8;0.8028
touristhaupttour;9;0.6869
touristhaupttour;10;0.6190
touristhaupttour;11;0.6986
touristhaupttour;12;0.2995
touristhaupttour;13;0.0487
touristhaupttour;14;-0.7814
touristhaupttour;15;0.4079
touristhaupttour;16;1.0548
