Slot;Anzahl
0;7
1;2
2;1
3;0
4;0
5;5
6;0
7;1
8;1
9;1
10;7
11;0
12;1
13;0
14;0
15;16
16;0
17;0
18;1
19;0
20;6
21;0
22;0
23;0
24;0
25;5
26;0
27;0
28;0
29;0
30;21
31;0
32;0
33;0
34;0
35;1
36;0
37;0
38;2
39;0
40;3
41;0
42;0
43;0
44;0
45;10
46;1
47;0
48;1
49;0
50;5
51;0
52;0
53;0
54;0
55;1
56;0
57;0
58;1
59;0
60;12
61;0
62;0
63;1
64;0
65;3
66;0
67;0
68;0
69;0
70;2
71;0
72;1
73;0
74;0
75;3
76;1
77;0
78;0
79;0
80;2
81;0
82;0
83;0
84;0
85;1
86;0
87;0
88;0
89;0
90;16
91;0
92;0
93;0
94;0
95;1
96;0
97;0
98;0
99;2
100;2
101;0
102;0
103;1
104;0
105;3
106;0
107;0
108;0
109;1
110;2
111;0
112;0
113;0
114;0
115;1
116;1
117;0
118;1
119;0
