Slot;Anzahl
660;485
661;4
662;11
663;12
664;4
665;110
666;7
667;10
668;11
669;1
670;137
671;7
672;18
673;8
674;14
675;252
676;6
677;12
678;13
679;2
680;129
681;6
682;4
683;13
684;6
685;74
686;7
687;2
688;8
689;7
690;400
691;3
692;12
693;4
694;9
695;80
696;14
697;15
698;7
699;1
700;104
701;6
702;9
703;11
704;7
705;240
706;3
707;18
708;17
709;10
710;168
711;11
712;16
713;9
714;7
715;85
716;10
717;5
718;16
719;6
720;439
721;2
722;9
723;13
724;7
725;138
726;5
727;11
728;12
729;4
730;160
731;11
732;11
733;11
734;9
735;232
736;14
737;11
738;13
739;8
740;126
741;9
742;12
743;11
744;5
745;85
746;10
747;7
748;21
749;4
750;465
751;10
752;6
753;5
754;7
755;110
756;15
757;13
758;7
759;8
760;166
761;12
762;13
763;13
764;9
765;272
766;4
767;10
768;13
769;10
770;191
771;5
772;13
773;13
774;11
775;140
776;8
777;17
778;13
779;8
