Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;3.5739
Grundnutzen;2;7.6320
Grundnutzen;3;11.8825
Grundnutzen;4;15.1575
Grundnutzen;5;18.9161
Grundnutzen;6;22.0357
Grundnutzen;7;21.1712
Grundnutzen;0;0
beruf_ohneerwerb;1;-0.3249
beruf_ohneerwerb;2;-0.7489
beruf_ohneerwerb;3;-1.1891
beruf_ohneerwerb;4;-1.5659
beruf_ohneerwerb;5;-1.4267
beruf_ohneerwerb;6;-2.4041
beruf_ohneerwerb;7;-8.8502
beruf_ohneerwerb;0;0
beruf_rentner;1;-0.3439
beruf_rentner;2;-0.6659
beruf_rentner;3;-1.1118
beruf_rentner;4;-1.4033
beruf_rentner;5;-1.5383
beruf_rentner;6;-2.0068
beruf_rentner;7;-14.6527
beruf_rentner;0;0
alter_18bis25;1;0.3145
alter_18bis25;2;0.3366
alter_18bis25;3;0.8478
alter_18bis25;4;0.8321
alter_18bis25;5;1.5662
alter_18bis25;6;0.6195
alter_18bis25;7;-9.3926
alter_18bis25;0;0
anzahlkinder_u18;1;-0.1346
anzahlkinder_u18;2;-0.2981
anzahlkinder_u18;3;-0.5397
anzahlkinder_u18;4;-0.4287
anzahlkinder_u18;5;-0.7466
anzahlkinder_u18;6;-1.0575
anzahlkinder_u18;7;-0.4333
anzahlkinder_u18;0;0
male;1;-0.2760
male;2;-0.4090
male;3;-0.2338
male;4;-0.1296
male;5;-0.1758
male;6;-0.2178
male;7;12.4611
male;0;0
anztage_w;1;-0.3952
anztage_w;2;-1.0750
anztage_w;3;-2.0793
anztage_w;4;-2.9798
anztage_w;5;-4.6381
anztage_w;6;-5.9946
anztage_w;7;-12.3041
anztage_w;0;0
anztage_e;1;-0.2284
anztage_e;2;-0.7947
anztage_e;3;-1.8776
anztage_e;4;-2.6430
anztage_e;5;-4.1567
anztage_e;6;-6.0716
anztage_e;7;-13.9196
anztage_e;0;0
anztage_l;1;-0.5973
anztage_l;2;-1.1970
anztage_l;3;-1.9709
anztage_l;4;-2.7910
anztage_l;5;-4.1593
anztage_l;6;-5.9283
anztage_l;7;-25.1790
anztage_l;0;0
anztage_s;1;-0.3244
anztage_s;2;-0.9637
anztage_s;3;-1.8096
anztage_s;4;-2.8184
anztage_s;5;-4.4475
anztage_s;6;-6.6534
anztage_s;7;-25.2436
anztage_s;0;0
