paramname;in;alternative;contextIdentifier
beruf_teilzeit;yes;no;default
haupttour_work;yes;no;day
haupttour_education;yes;no;day
haupttour_shopping;yes;no;day
tag_fr;yes;no;day
tag_sa;yes;no;day
tag_so;yes;no;day
alter_26bis35;yes;no;default
alter_36bis50;yes;no;default
alter_51bis60;yes;no;default
Raumtyp_mobitopp_conurbation;yes;no;default
Raumtyp_mobitopp_rural;yes;no;default
anztourenvorhaupttour;yes;no;day
pendeln_ueber50km;yes;no;default
pendeln_0bis5km;yes;no;default
mean_1tour;yes;no;person
mean_2touren;yes;no;person
tagvorher_0nachtouren;yes;no;day
tagvorher_1nachtour;yes;no;day
0;no;yes;day
1;no;yes;day
2;no;yes;day
3;no;yes;day
4;no;yes;day
5;no;yes;day
