Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;0;0
Grundnutzen;1;-2.0784
Grundnutzen;2;-3.1018
Grundnutzen;3;-4.2932
Grundnutzen;4;-5.1109
Grundnutzen;5;-6.0107
tourliegtvorhaupttour;0;0
tourliegtvorhaupttour;1;-0.5151
tourliegtvorhaupttour;2;-0.8201
tourliegtvorhaupttour;3;-1.0606
tourliegtvorhaupttour;4;-1.1327
tourliegtvorhaupttour;5;-1.0865
tourliegtnachhaupttour;0;0
tourliegtnachhaupttour;1;-0.7230
tourliegtnachhaupttour;2;-1.4016
tourliegtnachhaupttour;3;-1.4953
tourliegtnachhaupttour;4;-1.5191
tourliegtnachhaupttour;5;-1.3880
anzaktvorhauptaktist1;0;0
anzaktvorhauptaktist1;1;0.8519
anzaktvorhauptaktist1;2;0.4102
anzaktvorhauptaktist1;3;0.5124
anzaktvorhauptaktist1;4;0.3907
anzaktvorhauptaktist1;5;0.3098
anzaktvorhauptaktist2;0;0
anzaktvorhauptaktist2;1;0.4943
anzaktvorhauptaktist2;2;0.1910
anzaktvorhauptaktist2;3;0.1081
anzaktvorhauptaktist2;4;-0.0821
anzaktvorhauptaktist2;5;0.2972
anzaktvorhauptaktist3;0;0
anzaktvorhauptaktist3;1;0.3991
anzaktvorhauptaktist3;2;0.1471
anzaktvorhauptaktist3;3;0.0437
anzaktvorhauptaktist3;4;0.0576
anzaktvorhauptaktist3;5;0.3875
tourtyp_work;0;0
tourtyp_work;1;0.5193
tourtyp_work;2;0.8456
tourtyp_work;3;0.9072
tourtyp_work;4;1.1357
tourtyp_work;5;1.0696
tourtyp_education;0;0
tourtyp_education;1;0.0403
tourtyp_education;2;0.5640
tourtyp_education;3;0.4734
tourtyp_education;4;0.9179
tourtyp_education;5;0.7483
tag_sa;0;0
tag_sa;1;-0.3161
tag_sa;2;-0.4062
tag_sa;3;-0.6776
tag_sa;4;-0.5851
tag_sa;5;-0.5867
tag_so;0;0
tag_so;1;-0.6726
tag_so;2;-0.9829
tag_so;3;-1.1956
tag_so;4;-1.4169
tag_so;5;-1.6875
alter_18bis35;0;0
alter_18bis35;1;0.2687
alter_18bis35;2;0.2799
alter_18bis35;3;0.3258
alter_18bis35;4;0.0873
alter_18bis35;5;0.0975
alter_36bis50;0;0
alter_36bis50;1;0.1531
alter_36bis50;2;0.1770
alter_36bis50;3;0.2295
alter_36bis50;4;-0.0376
alter_36bis50;5;0.0277
alter_51bis60;0;0
alter_51bis60;1;0.1606
alter_51bis60;2;0.2119
alter_51bis60;3;0.3100
alter_51bis60;4;-0.1265
alter_51bis60;5;0.0450
taghat1tour;0;0
taghat1tour;1;1.2483
taghat1tour;2;1.8677
taghat1tour;3;2.4447
taghat1tour;4;2.9222
taghat1tour;5;3.6449
taghat2touren;0;0
taghat2touren;1;0.5485
taghat2touren;2;0.8603
taghat2touren;3;1.0490
taghat2touren;4;1.4016
taghat2touren;5;1.7386
mean_1akt;0;0
mean_1akt;1;-2.6058
mean_1akt;2;-5.0522
mean_1akt;3;-16.2820
mean_1akt;4;-16.6839
mean_1akt;5;-16.8479
mean_2akt;0;0
mean_2akt;1;-1.1583
mean_2akt;2;-2.3127
mean_2akt;3;-3.3737
mean_2akt;4;-4.5298
mean_2akt;5;-6.0334
mean_3akt;0;0
mean_3akt;1;-0.4630
mean_3akt;2;-0.8452
mean_3akt;3;-1.2953
mean_3akt;4;-1.8738
mean_3akt;5;-2.6684
