paramname;in;alternative;contextIdentifier
tourliegtvorhaupttour;yes;no;tour
tourliegtnachhaupttour;yes;no;tour
aktliegtvorhauptakt;yes;no;activity
tourtyp_work;yes;no;tour
tourtyp_education;yes;no;tour
tourtyp_shopping;yes;no;tour
tourtyp_transport;yes;no;tour
tag_fr;yes;no;day
tag_sa;yes;no;day
tag_so;yes;no;day
haupttour_work;yes;no;day
haupttour_education;yes;no;day
haupttour_shopping;yes;no;day
haupttour_transport;yes;no;day
tourhat2akt;yes;no;tour
tourhat3akt;yes;no;tour
tourhat4akt;yes;no;tour
anzahl_arbeitstage0;yes;no;person
anzahl_bildungstage0;yes;no;person
anzahl_shoppingtage0;yes;no;person
anzahl_transporttage0;yes;no;person
anzahl_arbeitstage1;yes;no;person
anzahl_bildungstage1;yes;no;person
anzahl_shoppingtage1;yes;no;person
anzahl_transporttage1;yes;no;person
W;no;yes;activity
E;no;yes;activity
L;no;yes;activity
S;no;yes;activity
T;no;yes;activity
