Slot;Anzahl
1;16
2;6
3;5
4;2
5;17
6;5
7;1
8;2
9;1
10;25
11;1
12;4
13;3
14;2
15;11
16;4
17;1
18;1
19;0
20;12
21;5
22;3
23;3
24;6
25;12
26;2
27;0
28;1
29;0
30;14
31;0
32;1
33;0
34;1
35;17
36;2
37;4
38;4
39;2
40;16
41;2
42;0
43;4
44;2
45;16
46;1
47;2
48;0
49;2
50;15
51;0
52;1
53;1
54;0
55;20
56;1
57;0
58;2
59;2
60;25
61;3
62;1
63;2
64;3
65;17
66;2
67;5
68;1
69;1
70;19
71;0
72;3
73;1
74;1
75;16
76;2
77;3
78;4
79;0
80;9
81;2
82;0
83;1
84;3
85;16
86;0
87;1
88;1
89;0
90;19
91;1
92;1
93;1
94;0
95;12
96;0
97;3
98;2
99;1
100;16
101;1
102;0
103;4
104;1
105;9
106;0
107;1
108;0
109;2
110;14
111;2
112;2
113;2
114;1
115;7
116;2
117;4
118;1
119;0
120;23
121;2
122;0
123;1
124;1
125;13
126;1
127;2
128;2
129;0
130;14
131;3
132;2
133;1
134;2
135;16
136;1
137;2
138;0
139;0
140;8
141;2
142;1
143;0
144;1
145;10
146;1
147;0
148;3
149;0
150;22
151;3
152;0
153;0
154;3
155;11
156;1
157;3
158;0
159;0
160;12
161;2
162;2
163;3
164;0
165;12
166;1
167;1
168;0
169;0
170;13
171;1
172;0
173;0
174;1
175;8
176;2
177;3
178;2
179;1
180;15
181;2
182;0
183;1
184;1
185;8
186;2
187;0
188;0
189;1
190;9
191;1
192;0
193;0
194;3
195;7
196;2
197;0
198;1
199;1
200;7
201;1
202;1
203;2
204;0
205;8
206;1
207;1
208;2
209;0
210;18
211;0
212;0
213;0
214;0
215;5
216;3
217;3
218;2
219;3
220;12
221;0
222;2
223;0
224;2
225;12
226;3
227;0
228;1
229;1
230;8
231;1
232;2
233;2
234;1
235;10
236;0
237;2
238;2
239;3
240;18
241;0
242;2
243;0
244;0
245;4
246;0
247;0
248;0
249;0
250;11
251;2
252;1
253;4
254;0
255;15
256;1
257;0
258;1
259;0
260;5
261;2
262;1
263;1
264;2
265;5
266;2
267;1
268;0
269;3
270;5
271;0
272;0
273;2
274;3
275;9
276;0
277;2
278;0
279;2
280;7
281;0
282;0
283;2
284;0
285;9
286;1
287;1
288;1
289;0
290;7
291;0
292;0
293;1
294;1
295;4
296;1
297;0
298;1
299;1
300;15
301;1
302;3
303;0
304;0
305;4
306;2
307;1
308;3
309;0
310;8
311;0
312;1
313;0
314;0
315;6
316;1
317;1
318;3
319;0
320;7
321;2
322;1
323;1
324;1
325;2
326;0
327;0
328;2
329;0
330;9
331;2
332;4
333;2
334;2
335;8
336;0
337;0
338;0
339;0
340;4
341;0
342;0
343;3
344;0
345;13
346;2
347;0
348;0
349;0
350;6
351;3
352;1
353;3
354;0
355;8
356;1
357;0
358;0
359;0
360;10
361;0
362;1
363;3
364;1
365;6
366;2
367;1
368;1
369;0
370;5
371;0
372;0
373;3
374;2
375;7
376;2
377;0
378;0
379;0
380;10
381;0
382;0
383;3
384;0
385;7
386;2
387;2
388;1
389;0
390;8
391;0
392;0
393;0
394;1
395;5
396;1
397;2
398;0
399;0
400;8
401;3
402;0
403;1
404;3
405;13
406;2
407;0
408;0
409;1
410;13
411;1
412;1
413;1
414;0
415;4
416;1
417;1
418;1
419;3
420;9
421;1
422;0
423;1
424;0
425;9
426;1
427;1
428;0
429;2
430;9
431;1
432;2
433;0
434;0
435;10
436;1
437;2
438;2
439;0
440;5
441;0
442;1
443;2
444;1
445;4
446;1
447;0
448;0
449;2
450;10
451;1
452;3
453;2
454;3
455;8
456;1
457;0
458;2
459;1
460;4
461;2
462;0
463;2
464;0
465;4
466;1
467;0
468;1
469;1
470;7
471;3
472;0
473;2
474;1
475;5
476;2
477;0
478;2
479;2
480;12
481;1
482;0
483;1
484;2
485;10
486;0
487;1
488;1
489;0
490;9
491;2
492;1
493;1
494;0
495;11
496;2
497;1
498;0
499;1
500;8
501;0
502;1
503;0
504;0
505;8
506;1
507;2
508;3
509;1
510;12
511;0
512;0
513;0
514;2
515;9
516;1
517;0
518;1
519;2
520;7
521;3
522;1
523;2
524;0
525;6
526;2
527;0
528;2
529;0
530;6
531;0
532;1
533;1
534;2
535;8
536;1
537;2
538;1
539;3
540;12
541;0
542;1
543;1
544;0
545;5
546;1
547;2
548;1
549;1
550;12
551;2
552;0
553;1
554;1
555;11
556;0
557;1
558;1
559;2
560;5
561;0
562;1
563;0
564;1
565;6
566;0
567;0
568;1
569;0
570;7
571;2
572;0
573;1
574;2
575;11
576;0
577;1
578;2
579;1
580;7
581;1
582;2
583;0
584;3
585;8
586;0
587;0
588;2
589;3
590;9
591;1
592;4
593;1
594;0
595;6
596;1
597;1
598;0
599;2
600;8
