Slot;Anzahl
601;0
602;0
603;0
604;0
605;2
606;0
607;1
608;0
609;0
610;5
611;0
612;1
613;2
614;0
615;2
616;0
617;0
618;0
619;2
620;1
621;0
622;0
623;0
624;0
625;1
626;0
627;0
628;1
629;0
630;3
631;0
632;0
633;0
634;0
635;2
636;1
637;1
638;0
639;0
640;1
641;0
642;1
643;0
644;1
645;3
646;0
647;0
648;0
649;0
650;1
651;0
652;0
653;0
654;0
655;3
656;0
657;0
658;0
659;0
660;3
661;0
662;0
663;0
664;0
665;2
666;0
667;0
668;1
669;0
670;3
671;0
672;0
673;0
674;1
675;4
676;0
677;0
678;0
679;0
680;0
681;0
682;1
683;1
684;1
685;1
686;0
687;0
688;0
689;1
690;0
691;0
692;0
693;0
694;0
695;1
696;0
697;0
698;2
699;0
700;0
701;1
702;1
703;1
704;0
705;0
706;0
707;0
708;0
709;0
710;0
711;1
712;0
713;0
714;0
715;0
716;0
717;1
718;0
719;0
720;1
721;0
722;0
723;0
724;0
725;1
726;0
727;0
728;0
729;0
730;1
731;0
732;0
733;0
734;0
735;1
736;0
737;1
738;0
739;0
740;3
741;1
742;0
743;0
744;0
745;1
746;0
747;1
748;1
749;1
750;0
751;0
752;0
753;0
754;0
755;1
756;0
757;0
758;0
759;0
760;0
761;1
762;0
763;0
764;1
765;1
766;0
767;0
768;1
769;0
770;1
771;1
772;0
773;0
774;0
775;0
776;0
777;0
778;0
779;0
780;1
781;0
782;0
783;0
784;0
785;3
786;0
787;0
788;0
789;0
790;4
791;0
792;0
793;0
794;0
795;0
796;0
797;0
798;0
799;0
800;1
801;1
802;0
803;0
804;1
805;0
806;1
807;1
808;1
809;0
810;1
811;0
812;0
813;0
814;0
815;1
816;0
817;2
818;1
819;0
820;0
821;0
822;0
823;1
824;0
825;1
826;2
827;0
828;0
829;0
830;2
831;0
832;0
833;0
834;0
835;1
836;0
837;1
838;0
839;0
840;3
841;0
842;0
843;0
844;0
845;0
846;0
847;0
848;0
849;0
850;0
851;0
852;0
853;0
854;1
855;0
856;0
857;1
858;1
859;0
860;1
861;0
862;1
863;0
864;0
865;1
866;0
867;1
868;0
869;0
870;3
871;0
872;1
873;0
874;0
875;0
876;0
877;0
878;0
879;0
880;1
881;1
882;0
883;0
884;0
885;2
886;1
887;1
888;1
889;0
890;0
891;0
892;0
893;0
894;0
895;0
896;0
897;0
898;0
899;0
900;1
901;1
902;0
903;0
904;0
905;1
906;0
907;0
908;0
909;0
910;1
911;2
912;0
913;0
914;0
915;0
916;1
917;0
918;2
919;0
920;2
921;0
922;0
923;0
924;0
925;0
926;0
927;0
928;0
929;0
930;1
931;1
932;0
933;1
934;0
935;1
936;0
937;0
938;0
939;0
940;3
941;0
942;0
943;2
944;0
945;3
946;0
947;1
948;0
949;0
950;1
951;0
952;0
953;0
954;2
955;1
956;0
957;0
958;0
959;0
960;3
961;1
962;0
963;0
964;0
965;1
966;1
967;0
968;1
969;1
970;4
971;0
972;0
973;0
974;1
975;3
976;0
977;0
978;0
979;0
980;1
981;0
982;2
983;0
984;0
985;1
986;0
987;1
988;1
989;0
990;4
991;0
992;1
993;1
994;0
995;1
996;0
997;0
998;1
999;1
1000;2
1001;0
1002;1
1003;1
1004;0
1005;0
1006;0
1007;0
1008;1
1009;0
1010;0
1011;0
1012;1
1013;1
1014;1
1015;2
1016;0
1017;0
1018;0
1019;0
1020;2
1021;0
1022;0
1023;1
1024;0
1025;2
1026;1
1027;0
1028;0
1029;1
1030;0
1031;0
1032;0
1033;0
1034;0
1035;2
1036;0
1037;0
1038;0
1039;0
1040;4
1041;0
1042;0
1043;0
1044;0
1045;1
1046;0
1047;1
1048;0
1049;0
1050;2
1051;1
1052;1
1053;0
1054;0
1055;0
1056;0
1057;0
1058;2
1059;0
1060;0
1061;0
1062;0
1063;0
1064;0
1065;1
1066;0
1067;0
1068;0
1069;0
1070;2
1071;0
1072;0
1073;0
1074;0
1075;0
1076;0
1077;0
1078;1
1079;0
1080;1
1081;1
1082;0
1083;0
1084;1
1085;0
1086;1
1087;1
1088;0
1089;0
1090;0
1091;0
1092;1
1093;1
1094;0
1095;1
1096;0
1097;0
1098;0
1099;1
1100;0
1101;0
1102;1
1103;0
1104;0
1105;2
1106;1
1107;0
1108;1
1109;0
1110;0
1111;0
1112;1
1113;0
1114;0
1115;3
1116;0
1117;0
1118;0
1119;0
1120;0
1121;1
1122;0
1123;0
1124;0
1125;0
1126;1
1127;1
1128;0
1129;0
1130;2
1131;0
1132;0
1133;0
1134;0
1135;1
1136;0
1137;1
1138;1
1139;0
1140;0
1141;0
1142;0
1143;0
1144;0
1145;0
1146;0
1147;0
1148;1
1149;2
1150;1
1151;0
1152;0
1153;0
1154;0
1155;1
1156;0
1157;0
1158;1
1159;0
1160;3
1161;0
1162;0
1163;0
1164;0
1165;3
1166;1
1167;0
1168;0
1169;0
1170;0
1171;0
1172;0
1173;0
1174;1
1175;1
1176;0
1177;0
1178;0
1179;1
1180;1
1181;1
1182;0
1183;0
1184;1
1185;1
1186;0
1187;1
1188;0
1189;0
1190;3
1191;0
1192;0
1193;1
1194;0
1195;0
1196;0
1197;0
1198;2
1199;0
1200;2
