Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;1.0576
Grundnutzen;2;0.1193
Grundnutzen;3;-0.1239
Grundnutzen;4;0
Grundnutzen;5;-1.5743
Grundnutzen;6;-3.1398
anzakt_woche_w;1;0.0143
anzakt_woche_w;2;0.0122
anzakt_woche_w;3;0.0129
anzakt_woche_w;4;0
anzakt_woche_w;5;-0.0263
anzakt_woche_w;6;-0.1197
anzakt_woche_l;1;-0.7111
anzakt_woche_l;2;-0.3675
anzakt_woche_l;3;-0.1611
anzakt_woche_l;4;0
anzakt_woche_l;5;0.1213
anzakt_woche_l;6;0.2145
anzakt_woche_s;1;0.1308
anzakt_woche_s;2;0.0821
anzakt_woche_s;3;0.0409
anzakt_woche_s;4;0
anzakt_woche_s;5;-0.0629
anzakt_woche_s;6;-0.0863
pendeln_0bis5km;1;-0.4133
pendeln_0bis5km;2;-0.2179
pendeln_0bis5km;3;-0.2390
pendeln_0bis5km;4;0
pendeln_0bis5km;5;-0.0422
pendeln_0bis5km;6;-0.2943
beruf_rentner;1;0.1009
beruf_rentner;2;0.0133
beruf_rentner;3;0.0311
beruf_rentner;4;0
beruf_rentner;5;0.0500
beruf_rentner;6;-0.3829
tagemit_lakt_1;1;3.2007
tagemit_lakt_1;2;3.0153
tagemit_lakt_1;3;1.7189
tagemit_lakt_1;4;0
tagemit_lakt_1;5;0.6724
tagemit_lakt_1;6;2.9839
tagemit_lakt_2;1;1.0523
tagemit_lakt_2;2;1.9184
tagemit_lakt_2;3;1.3350
tagemit_lakt_2;4;0
tagemit_lakt_2;5;-1.0757
tagemit_lakt_2;6;0.7981
tagemit_lakt_3;1;-0.2179
tagemit_lakt_3;2;1.0253
tagemit_lakt_3;3;0.8949
tagemit_lakt_3;4;0
tagemit_lakt_3;5;-1.0992
tagemit_lakt_3;6;-0.2040
tagemit_lakt_4;1;-0.9268
tagemit_lakt_4;2;0.2947
tagemit_lakt_4;3;0.5184
tagemit_lakt_4;4;0
tagemit_lakt_4;5;-0.7921
tagemit_lakt_4;6;-0.3433
tagemit_lakt_5;1;-1.0579
tagemit_lakt_5;2;-0.2229
tagemit_lakt_5;3;0.0611
tagemit_lakt_5;4;0
tagemit_lakt_5;5;-0.2934
tagemit_lakt_5;6;-0.5545
